time_s,filtered_u,filtered_v,filtered_Δθ
0,8,0,0.00241094827652
600,3.80066180229,0.137467965484,0.0264592804015
1200,4.07526063919,0.187873408198,0.0569562613964
1800,3.57856941223,0.295303434134,0.0920622721314
2400,3.40497708321,0.412639766932,0.128436177969
3000,3.05326890945,0.495247364044,0.15243370831
3600,2.88003110886,0.619377791882,0.17543399334
4200,2.73225617409,0.763297140598,0.196628749371
4800,2.5225019455,0.857705712318,0.211062297225
5400,2.37931394577,0.957745432854,0.222022920847
6000,2.30003380775,1.16242980957,0.23603579402
6600,2.19823288918,1.2856323719,0.245425641537
7200,2.22651863098,1.37310194969,0.26139447093
7800,2.24169111252,1.42290341854,0.272986412048
8400,2.11221837997,1.50457668304,0.282306730747
9000,2.12068772316,1.58041191101,0.292746841908
9600,2.06850194931,1.63486731052,0.301263153553
10200,2.20853281021,1.7379347086,0.319139450788
10800,2.13222694397,1.74400854111,0.317181766033
11400,2.20509934425,1.83861970901,0.331201374531
12000,2.17430472374,1.84774625301,0.334180772305
12600,2.12417864799,1.89237165451,0.335676133633
13200,2.21895670891,1.95592141151,0.351237893105
13800,2.39178562164,1.93042874336,0.369332104921
14400,2.35143589973,1.93607318401,0.366883635521
15000,2.34543609619,1.94151616096,0.371849000454
15600,2.35140562057,1.9620847702,0.375305920839
16200,2.39222955704,1.97476840019,0.386346340179
16800,2.33115029335,1.95257854462,0.375499159098
17400,2.30422329903,1.9665569067,0.374749660492
18000,2.26262903214,1.93822968006,0.371828377247
18600,2.27791881561,2.02369832993,0.388235926628
19200,2.35683751106,2.02112030983,0.393597185612
19800,2.51161527634,2.07787680626,0.412524610758
20400,2.47068738937,1.96691823006,0.408010870218
21000,2.69114732742,2.10201668739,0.438190579414
21600,2.87394499779,2.04219317436,0.461779385805
22200,2.72724795341,1.89626204967,0.446105509996
22800,2.78196001053,1.88463044167,0.450326949358
23400,2.49562644958,1.83886444569,0.419937610626
24000,2.54024338722,1.89905798435,0.428119003773
24600,2.61335968971,1.88847994804,0.437804192305
25200,2.53210401535,1.886931777,0.436126828194
25800,2.48914217949,1.83659148216,0.426823347807
26400,2.54412102699,1.88556420803,0.444338470697
27000,2.75303697586,1.88764619827,0.465020090342
27600,2.6347990036,1.91139495373,0.455623090267
28200,2.46688580513,1.81245481968,0.438884943724
28800,2.4406888485,1.81689941883,0.440513402224
29400,2.81788086891,1.99270057678,0.482660531998
30000,2.72510147095,1.88395226002,0.477874606848
30600,2.7740521431,1.77269458771,0.481320470572
31200,2.6096303463,1.76232802868,0.465228497982
31800,2.49497151375,1.76019895077,0.449081867933
32400,2.44911527634,1.79149508476,0.458611339331
