time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length_moist,obukhov_length_moist_valid,prescribed_surface_pressure,prescribed_surface_q,prescribed_surface_theta,q_maximum,q_minimum,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_bulk_richardson_minimum,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_ρqᵉ_active_fraction,surface_layer_face1_ρqᵉ_cap_fraction,surface_layer_face1_ρqᵉ_deficit,surface_layer_face1_ρqᵉ_diffusivity,surface_layer_face1_ρqᵉ_filtered_scalar_mean,surface_layer_face1_ρqᵉ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵉ_filtered_scalar_w_product,surface_layer_face1_ρqᵉ_resolved_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_resolved_flux,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵉ_active_fraction,surface_layer_face2_ρqᵉ_cap_fraction,surface_layer_face2_ρqᵉ_deficit,surface_layer_face2_ρqᵉ_diffusivity,surface_layer_face2_ρqᵉ_filtered_scalar_mean,surface_layer_face2_ρqᵉ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵉ_filtered_scalar_w_product,surface_layer_face2_ρqᵉ_resolved_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_resolved_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵉ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_q_dynamic_flux,surface_q_kinematic_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,surface_unstable_fraction,surface_zeta_cap_fraction,surface_zeta_maximum,surface_zeta_mean,surface_zeta_minimum,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
20980,163.73047252000865,1,0.30552053451538086,131.25,6.3834824562072754,2.2172818183898926,1,-89.794601440429688,1,102226.55555555556,0.01081388898504277,291.96150614420571,0.010648595169186592,0.007930033840239048,31.37071418762207,7.0517873764038086,155.5439488940082,-0.0082873590290546417,-0.017148613929748535,-0.043666396290063858,0.00067427824251353741,1.2043560743331909,0.10938969254493713,0.090828366577625275,-0.025917094200849533,-0.021519461646676064,-2.867821216583252,0.010641392320394516,0.03818841278553009,0.67085111141204834,-0.0027062664739787579,-0.013068527914583683,2.9103830456733704e-10,1,0.67942327260971069,0.027547020465135574,-0.010362260974943638,-0.0039255106821656227,1.0371922254562378,0,1,0,0.49458560347557068,0.76360988616943359,0.012344366870820522,2.5068802642636001e-06,1.2316862921579741e-05,9.8099862952949479e-06,1,0,0.76145267486572266,1.1614093780517578,350.06185913085938,0.001158103346824646,0.0056603848934173584,0.0045020710676908493,-3.3215541839599609,0.020540794357657433,0.070097096264362335,0.78826743364334106,-0.0051530739292502403,-0.026938945055007935,-4.164758138358593e-08,0,0.99526524543762207,0.049556300044059753,-0.021785872057080269,-0.00093527045100927353,0,0,0,0,0.9999840259552002,0,0.012185102328658104,4.1265520849265158e-06,1.9993793102912605e-05,1.5867237380007282e-05,0,0,0.99471122026443481,0,349.01791381835938,0.0015187561511993408,0.0068073570728302002,0.005288783460855484,0.30298742651939392,1.9595512640080415e-05,0.019474111497402191,0.089916840195655823,-0.020801976323127747,2.3981594495126046e-05,1.9912378775188699e-05,24.352497100830078,0.024231340736150742,0.020119747146964073,1,0,-0.036112032830715179,-0.075214162468910217,-0.19357594847679138,300.232666015625,291.2381591796875,6.2321386337280273,5.5869565010070801,1.1968746185302734,0.089211538434028625
20990,167.68545910860584,1,0.30550086498260498,131.25,6.3813533782958984,2.2173676490783691,1,-89.56317138671875,1,102226.61111111111,0.010815277874159316,291.96825612386067,0.010643006302416325,0.0079301390796899796,31.058961868286133,7.032691478729248,159.30118615317554,-0.0083955377340316772,-0.017191555351018906,-0.046890471130609512,0.00067614315776154399,1.2043560743331909,0.10937843471765518,0.090819016098976135,-0.025901850312948227,-0.021506804972887039,-2.8671889305114746,0.010777693241834641,0.038151472806930542,0.67219072580337524,-0.0027552898973226547,-0.012932773679494858,5.8207660913467407e-10,1,0.68142640590667725,0.027373779565095901,-0.010177483782172203,-0.0037577515468001366,1.0407744646072388,0,1,0,0.49762150645256042,0.76864933967590332,0.012345525436103344,2.5273966457461938e-06,1.2290593076613732e-05,9.7632000688463449e-06,1,0,0.76213371753692627,1.1625823974609375,350.06832885742188,0.0011807084083557129,0.0056872963905334473,0.0045065204612910748,-3.319284200668335,0.020698074251413345,0.069699347019195557,0.78984785079956055,-0.0052193012088537216,-0.026574186980724335,-4.1909515857696533e-08,0,0.99532419443130493,0.04900127649307251,-0.021354883909225464,-0.00090773531701415777,0,0,0,0,0.9999842643737793,0,0.012186265550553799,4.1563962440704927e-06,1.9894079741789028e-05,1.5737694411654957e-05,0,0,0.99469262361526489,0,349.0240478515625,0.0015690326690673828,0.0068763792514801025,0.0053073782473802567,0.30309000611305237,1.962605347216595e-05,0.019538480788469315,0.089972525835037231,-0.020862467586994171,2.3990525733097456e-05,1.9919794794986956e-05,24.419851303100586,0.024298358708620071,0.020175393670797348,1,0,-0.036586634814739227,-0.075404375791549683,-0.20807740092277527,300.23336791992188,291.23812866210938,6.2361721992492676,5.6369762420654297,1.1525182723999023,0.08818729966878891
21000,178.01791073444414,1,0.3054443895816803,131.25,6.3785839080810547,2.2177150249481201,1,-89.29547119140625,1,102226.66666666667,0.010816666763275862,291.97500610351562,0.010665169917047024,0.0079300357028841972,30.738433837890625,6.9906907081604004,169.11701519772194,-0.0086938934400677681,-0.017237788066267967,-0.045675791800022125,0.00067805452272295952,1.2043560743331909,0.109339639544487,0.090786807239055634,-0.025885187089443207,-0.021492969244718552,-2.8663790225982666,0.010889407247304916,0.038089178502559662,0.67334198951721191,-0.0028032599948346615,-0.012807587161660194,5.8207660913467407e-10,1,0.68356752395629883,0.027199769392609596,-0.010004326701164246,-0.0035992367193102837,1.0444785356521606,0,1,0,0.50011467933654785,0.77277034521102905,0.012346729636192322,2.5476638256805018e-06,1.2269242688489612e-05,9.7215743153356016e-06,1,0,0.76277148723602295,1.1635384559631348,350.07476806640625,0.0012058466672897339,0.005719304084777832,0.0045132567174732685,-3.3166885375976562,0.02078455314040184,0.069250419735908508,0.79134488105773926,-0.0053004827350378036,-0.026190489530563354,-4.1385646909475327e-08,0,0.99538058042526245,0.048465877771377563,-0.0208900086581707,-0.00087686686310917139,0,0,0,0,0.99998444318771362,0,0.012187469750642776,4.1806047192949336e-06,1.9812810933217406e-05,1.5632200302206911e-05,0,0,0.99466490745544434,0,349.0301513671875,0.0016219913959503174,0.0069570094347000122,0.0053351260721683502,0.30317923426628113,1.9654420611914247e-05,0.019602213054895401,0.090021342039108276,-0.020915111526846886,2.3999242330319248e-05,1.9927032553823665e-05,24.488880157470703,0.024367045611143112,0.020232426002621651,1,0,-0.03789607435464859,-0.07560904324054718,-0.20261165499687195,300.2340087890625,291.2373046875,6.241300106048584,5.6272263526916504,1.050849437713623,0.087109759449958801
21010,181.59936814816243,1,0.3053344190120697,131.25,6.3756003379821777,2.2182896137237549,1,-88.976295471191406,1,102226.72222222222,0.010818055652392407,291.98175608317058,0.010676736012101173,0.0079301660880446434,30.423606872558594,6.9529762268066406,172.5193997407543,-0.0086719486862421036,-0.01729220524430275,-0.044306565076112747,0.00068003195337951183,1.2043560743331909,0.10926100611686707,0.090721510350704193,-0.025866253301501274,-0.021477246657013893,-2.8653764724731445,0.010977555066347122,0.03798249363899231,0.67430150508880615,-0.0028480826877057552,-0.012692831456661224,7.5669959187507629e-10,1,0.68570053577423096,0.02700493298470974,-0.0098447483032941818,-0.0034593795426189899,1.0480655431747437,0,1,0,0.50308728218078613,0.77733069658279419,0.01234796829521656,2.568458512541838e-06,1.2248001439729705e-05,9.6795420176931657e-06,1,0,0.76340878009796143,1.1644531488418579,350.08123779296875,0.0012332051992416382,0.0057534873485565186,0.0045202076435089111,-3.3137772083282471,0.020823510363698006,0.068767689168453217,0.79273384809494019,-0.0053925784304738045,-0.025795867666602135,-4.1502062231302261e-08,0,0.99543470144271851,0.047944176942110062,-0.020403292030096054,-0.00084468559361994267,0,0,0,0,0.99998444318771362,0,0.012188698165118694,4.2006049625342712e-06,1.976094972633291e-05,1.5560341125819832e-05,0,0,0.99463307857513428,0,349.03616333007812,0.0016741752624511719,0.0070409476757049561,0.0053669139742851257,0.3032524585723877,1.9680668629007414e-05,0.019665347412228584,0.090061023831367493,-0.020961213856935501,2.4005492377909832e-05,1.9932222130591981e-05,24.560297012329102,0.024438107386231422,0.020291430875658989,1,0,-0.037799589335918427,-0.075849905610084534,-0.1964537501335144,300.23480224609375,291.23822021484375,6.2461357116699219,5.6085481643676758,1.0292537212371826,0.086155518889427185
21020,131.31865003342381,1,0.30515184998512268,131.25,6.3730096817016602,2.2188735008239746,1,-88.623435974121094,1,102226.77777777778,0.010819444541508953,291.98850606282554,0.010690053924918175,0.0079300608485937119,30.122608184814453,6.9409546852111816,124.75271753175262,-0.008661971427500248,-0.017349407076835632,-0.047056607902050018,0.00068178673973307014,1.2043560743331909,0.10912889242172241,0.090611815452575684,-0.025841701775789261,-0.02145686186850071,-2.8641726970672607,0.011036038398742676,0.037816304713487625,0.67507219314575195,-0.0028869700618088245,-0.012586962431669235,-4.6566128730773926e-10,1,0.68775331974029541,0.026780262589454651,-0.009699992835521698,-0.0033382275141775608,1.0515267848968506,0,1,0,0.50530087947845459,0.78074657917022705,0.012349228374660015,2.5875551727949642e-06,1.222185164806433e-05,9.6342992037534714e-06,1,0,0.76413500308990479,1.1655046939849854,350.087646484375,0.0012609362602233887,0.0057864785194396973,0.0045254053547978401,-3.310598611831665,0.020823044702410698,0.068272635340690613,0.79400539398193359,-0.0054856394417583942,-0.025397902354598045,-4.1909515857696533e-08,0,0.99548631906509399,0.047449581325054169,-0.019912263378500938,-0.00081064109690487385,0,0,0,0,0.99998438358306885,0,0.012189928442239761,4.2154151742579415e-06,1.9743243683478795e-05,1.5527830328210257e-05,0,0,0.9946015477180481,0,349.0421142578125,0.0017217099666595459,0.0071201026439666748,0.0053985132835805416,0.30330583453178406,1.9704648366314359e-05,0.019727688282728195,0.090088531374931335,-0.021001610904932022,2.4005830709938891e-05,1.9932502254960127e-05,24.623674392700195,0.024501169100403786,0.02034379169344902,1,0,-0.037755630910396576,-0.076103046536445618,-0.20882543921470642,300.23553466796875,291.24368286132812,6.2512545585632324,5.5958957672119141,0.9699741005897522,0.085376285016536713
21030,129.74489741643831,1,0.30489280819892883,131.25,6.3701920509338379,2.2192997932434082,1,-88.215789794921875,1,102226.83333333333,0.010820833430625499,291.99525604248049,0.010704400017857552,0.0079302079975605011,29.832502365112305,6.8534765243530273,123.25765254561639,-0.0085792532190680504,-0.017414906993508339,-0.050800133496522903,0.0006834830273874104,1.2043560743331909,0.10894066095352173,0.090455524623394012,-0.025810658931732178,-0.021431086584925652,-2.8627636432647705,0.011053427122533321,0.037582192569971085,0.67565441131591797,-0.0029166715685278177,-0.012486176565289497,-7.5669959187507629e-10,1,0.68986266851425171,0.026528766378760338,-0.0095695061609148979,-0.0032357664313167334,1.0550318956375122,0,1,0,0.50713413953781128,0.78352892398834229,0.012350494042038918,2.6014777176897041e-06,1.2188848813821096e-05,9.5873738246154971e-06,1,0,0.76500880718231201,1.1667391061782837,350.0941162109375,0.0012868344783782959,0.0058157742023468018,0.0045288093388080597,-3.3072333335876465,0.020775783807039261,0.067775659263134003,0.7951580286026001,-0.0055664903484284878,-0.025003861635923386,-4.5285560190677643e-08,0,0.99553388357162476,0.04699987918138504,-0.019437370821833611,-0.00077674014028161764,0,0,0,0,0.9999845027923584,0,0.012191132642328739,4.2241736082360148e-06,1.9757746485993266e-05,1.5533556506852619e-05,0,0,0.99457299709320068,0,349.04803466796875,0.0017595887184143066,0.0071867406368255615,0.0054270261898636818,0.30333420634269714,1.97261124412762e-05,0.019788939505815506,0.090100452303886414,-0.02103600837290287,2.3999831682885997e-05,1.9927521861973219e-05,24.684938430786133,0.024562127888202667,0.020394407212734222,1,0,-0.037392787635326385,-0.076392963528633118,-0.22568720579147339,300.23623657226562,291.24490356445312,6.2562427520751953,5.5695371627807617,0.95528596639633179,0.084800980985164642
21040,173.24465049012323,1,0.30455684661865234,131.25,6.3669590950012207,2.2195324897766113,1,-87.779167175292969,1,102226.88888888889,0.010822222319742043,292.00200602213539,0.01071244478225708,0.007930106483399868,29.548519134521484,6.785163402557373,164.58241796561705,-0.0086853038519620895,-0.017483886331319809,-0.05410410463809967,0.000684889848344028,1.2043560743331909,0.10869652032852173,0.090252809226512909,-0.025771424174308777,-0.021398508921265602,-2.861152172088623,0.011017811484634876,0.037278175354003906,0.67605924606323242,-0.0029339177999645472,-0.012384787201881409,-1.3387762010097504e-09,1,0.69198238849639893,0.026260362938046455,-0.0094508696347475052,-0.0031489357352256775,1.0585182905197144,0,1,0,0.50874978303909302,0.78592467308044434,0.012351745739579201,2.6062862161779776e-06,1.2148515452281572e-05,9.5422255981247872e-06,1,0,0.76594316959381104,1.1680035591125488,350.1005859375,0.0013079941272735596,0.0058391094207763672,0.0045309159904718399,-3.3037850856781006,0.020669801160693169,0.067276656627655029,0.79620760679244995,-0.0056242453865706921,-0.02463671937584877,-5.0175003707408905e-08,0,0.99557644128799438,0.046606864780187607,-0.019012473523616791,-0.00074525270611047745,0,0,0,0,0.99998444318771362,0,0.012192284688353539,4.227353201713413e-06,1.9798355424427427e-05,1.55709949467564e-05,0,0,0.99454885721206665,0,349.05389404296875,0.0017857253551483154,0.007236778736114502,0.0054511511698365211,0.3033333420753479,1.9744726159842685e-05,0.019848670810461044,0.09009377658367157,-0.021064020693302155,2.3986711312318221e-05,1.9916627934435382e-05,24.735748291015625,0.024612685665488243,0.02043638564646244,1,0,-0.037858076393604279,-0.076698124408721924,-0.24058836698532104,300.23696899414062,291.2464599609375,6.2607583999633789,5.526005744934082,0.99578863382339478,0.084703937172889709
21050,166.73024492306934,1,0.30416423082351685,131.25,6.3632216453552246,2.2196495532989502,1,-87.316642761230469,1,102226.94444444444,0.010823611208858589,292.00875600179035,0.010729602538049221,0.0079301837831735611,29.295110702514648,6.794069766998291,158.39373267691587,-0.0086750565096735954,-0.01755727082490921,-0.053609278053045273,0.00068612431641668081,1.2043560743331909,0.1084112673997879,0.090015962719917297,-0.025726879015564919,-0.021361522376537323,-2.85935378074646,0.010919897817075253,0.036913566291332245,0.67631423473358154,-0.0029363203793764114,-0.012280063703656197,-1.1059455573558807e-09,1,0.69413888454437256,0.025993665680289268,-0.0093437433242797852,-0.0030752646271139383,1.0619075298309326,0,1,0,0.51016485691070557,0.787952721118927,0.012352971360087395,2.5985518732341006e-06,1.2102227628929541e-05,9.5036748462007381e-06,1,0,0.76678174734115601,1.1689963340759277,350.10699462890625,0.0013223886489868164,0.0058552324771881104,0.0045327236875891685,-3.3003487586975098,0.020495623350143433,0.066779255867004395,0.79718482494354248,-0.0056507345288991928,-0.024326568469405174,-5.2037648856639862e-08,0,0.99561125040054321,0.046283632516860962,-0.018675833940505981,-0.0007188711897470057,0,0,0,0,0.99998438358306885,0,0.012193365022540092,4.226736564305611e-06,1.9862527551595122e-05,1.5635787349310704e-05,0,0,0.99452900886535645,0,349.05975341796875,0.0018000006675720215,0.0072705745697021484,0.0054710116237401962,0.30329996347427368,1.9760365830734372e-05,0.019906617701053619,0.090066462755203247,-0.021085809916257858,2.3969692847458646e-05,1.9902496205759235e-05,24.78033447265625,0.024657048285007477,0.020473221316933632,1,0,-0.037813372910022736,-0.077022656798362732,-0.23835581541061401,300.23773193359375,291.17147827148438,6.2653613090515137,5.510894775390625,1.0421935319900513,0.085091225802898407
21060,161.55213066903423,1,0.30373993515968323,131.25,6.3590660095214844,2.219724178314209,1,-86.843154907226562,1,102227,0.010825000097975135,292.0155059814453,0.010737018659710884,0.0079301986843347549,29.092721939086914,6.8073949813842773,153.4745241355825,-0.0086636999621987343,-0.017634661868214607,-0.058752883225679398,0.0006872289814054966,1.2043560743331909,0.10810332745313644,0.089760273694992065,-0.025679118931293488,-0.021321866661310196,-2.8573906421661377,0.010756738483905792,0.036503739655017853,0.67646074295043945,-0.0029228795319795609,-0.01217348501086235,-1.57160684466362e-09,1,0.6961098313331604,0.025747001171112061,-0.0092506064102053642,-0.0030154013074934483,1.0648611783981323,0,1,0,0.51101243495941162,0.78901529312133789,0.012354157865047455,2.5759959498827811e-06,1.2052447345922701e-05,9.4764473033137619e-06,1,0,0.76748156547546387,1.1696373224258423,350.11346435546875,0.0013275742530822754,0.0058639347553253174,0.0045362687669694424,-3.2969937324523926,0.0202457495033741,0.066276848316192627,0.79811376333236694,-0.0056417589075863361,-0.024089209735393524,-5.5297277867794037e-08,0,0.99563723802566528,0.046031095087528229,-0.018447451293468475,-0.00069970323238521814,0,0,0,0,0.9999842643737793,0,0.012194361537694931,4.2209330786135979e-06,1.9943639927078038e-05,1.5722707757959142e-05,0,0,0.99451059103012085,0,349.06561279296875,0.0018003582954406738,0.0072898566722869873,0.0054893847554922104,0.30323374271392822,1.9773147869273089e-05,0.019962381571531296,0.090018272399902344,-0.021101783961057663,2.3952634364832193e-05,1.9888333554263227e-05,24.820228576660156,0.024696744978427887,0.020506182685494423,1,0,-0.037763454020023346,-0.077364929020404816,-0.26158374547958374,300.23846435546875,291.1510009765625,6.2698554992675781,5.5241804122924805,1.1117388010025024,0.085501067340373993
21070,156.06418563062252,1,0.30330294370651245,131.25,6.3555474281311035,2.2197909355163574,1,-86.356147766113281,1,102227.05555555556,0.01082638898709168,292.02225596110026,0.010736844502389431,0.007930106483399868,28.973512649536133,6.8112220764160156,148.26097634909138,-0.0086989589035511017,-0.017713969573378563,-0.058048378676176071,0.00068836275022476912,1.2043560743331909,0.10778613388538361,0.089496895670890808,-0.025632087141275406,-0.02128281444311142,-2.8552753925323486,0.010532545857131481,0.036067169159650803,0.67654210329055786,-0.0028950267005711794,-0.012072203680872917,-1.9790604710578918e-09,1,0.6977684497833252,0.025534622371196747,-0.0091771781444549561,-0.0029728857334703207,1.0671765804290771,0,1,0,0.51121985912322998,0.78899431228637695,0.012355299666523933,2.5377748897881247e-06,1.2003027222817764e-05,9.4652423285879195e-06,1,0,0.76780974864959717,1.1696043014526367,350.11993408203125,0.0013221204280853271,0.0058669000864028931,0.0045446101576089859,-3.2937493324279785,0.019916214048862457,0.065762661397457123,0.79900872707366943,-0.005599653348326683,-0.023928426206111908,-5.7159923017024994e-08,0,0.99565494060516357,0.045846451073884964,-0.018328774720430374,-0.00068808533251285553,0,0,0,0,0.99998414516448975,0,0.012195280753076077,4.203890057397075e-06,2.002696055569686e-05,1.5823079593246803e-05,0,0,0.99448573589324951,0,349.07147216796875,0.0017862915992736816,0.0073006153106689453,0.0055143018253147602,0.30313721299171448,1.9783496099989861e-05,0.020015973597764969,0.089950129389762878,-0.021112445741891861,2.3938937374623492e-05,1.9876959413522854e-05,24.861177444458008,0.024737490341067314,0.020540013909339905,1,0,-0.037918053567409515,-0.077715590596199036,-0.2584000825881958,300.23919677734375,291.23284912109375,6.2739114761352539,5.4907336235046387,1.2285950183868408,0.085800722241401672
21080,148.3531784069952,1,0.30286732316017151,131.25,6.3528356552124023,2.2199151515960693,1,-85.883003234863281,1,102227.11111111111,0.010827777876208226,292.02900594075521,0.010690233670175076,0.0079302359372377396,28.95832633972168,6.7873315811157227,140.93551948664543,-0.0087783876806497574,-0.017790831625461578,-0.058706101030111313,0.00068937917239964008,1.2043560743331909,0.10746948421001434,0.08923397958278656,-0.025588987395167351,-0.021247027441859245,-2.8530158996582031,0.010260842740535736,0.035624749958515167,0.6766011118888855,-0.0028560180217027664,-0.011985668912529945,-2.3865140974521637e-09,1,0.69901597499847412,0.025363907217979431,-0.009129650890827179,-0.0029507062863558531,1.068708062171936,0,1,0,0.51083379983901978,0.78799569606781006,0.012356404215097427,2.4856763047864661e-06,1.1956819434999488e-05,9.471135854255408e-06,1,0,0.7676091194152832,1.1687052249908447,350.12640380859375,0.0013065189123153687,0.0058674067258834839,0.004560655914247036,-3.2906241416931152,0.019513111561536789,0.065239474177360535,0.79987633228302002,-0.0055309515446424484,-0.023840680718421936,-6.1118043959140778e-08,0,0.99566495418548584,0.045726362615823746,-0.018309729173779488,-0.00068385223858058453,0,0,0,0,0.9999840259552002,0,0.012196136638522148,4.1707335185492411e-06,2.0092995328013785e-05,1.5922265447443351e-05,0,0,0.99444574117660522,0,349.0772705078125,0.0017591714859008789,0.0073135495185852051,0.0055543277412652969,0.3030129075050354,1.9791939848801121e-05,0.020067472010850906,0.089863479137420654,-0.021118272095918655,2.3929274902911857e-05,1.9868937670253217e-05,24.89788818359375,0.024774018675088882,0.020570343360304832,1,0,-0.038266740739345551,-0.078055381774902344,-0.2613721489906311,300.23992919921875,291.26641845703125,6.2783746719360352,5.5154457092285156,1.2493901252746582,0.086104214191436768
21090,131.03311264977037,1,0.30244535207748413,131.25,6.3503522872924805,2.2201418876647949,1,-85.40972900390625,1,102227.16666666667,0.010829166765324772,292.03575592041017,0.010689800605177879,0.0079300850629806519,29.037734985351562,6.7419619560241699,124.48145701728185,-0.0085832830518484116,-0.017866499722003937,-0.05527857318520546,0.00069050304591655731,1.2043560743331909,0.107161745429039,0.08897845447063446,-0.025553334504365921,-0.021217424422502518,-2.8506147861480713,0.0099593307822942734,0.03519749641418457,0.67666208744049072,-0.0028085377998650074,-0.011921493336558342,-2.6775524020195007e-09,1,0.69980621337890625,0.025238171219825745,-0.0091129560023546219,-0.0029540844261646271,1.0694189071655273,0,1,0,0.50964581966400146,0.78575706481933594,0.012357485480606556,2.4250539354397915e-06,1.1915985851373989e-05,9.4909282779553905e-06,1,0,0.76679098606109619,1.1668335199356079,350.13287353515625,0.001282811164855957,0.0058696269989013672,0.004586375318467617,-3.2876152992248535,0.019049998372793198,0.064713805913925171,0.80071645975112915,-0.0054387655109167099,-0.023806452751159668,-6.3562765717506409e-08,0,0.99566870927810669,0.045663803815841675,-0.018367685377597809,-0.00068535743048414588,0,0,0,0,0.9999840259552002,0,0.012196950614452362,4.1210187191609293e-06,2.0125735318288207e-05,1.6004709323169664e-05,0,0,0.99438309669494629,0,349.08309936523438,0.0017232298851013184,0.0073400735855102539,0.0056168758310377598,0.30286413431167603,1.9799041183432564e-05,0.020117068663239479,0.089760266244411469,-0.021120214834809303,2.392456735833548e-05,1.9865028662024997e-05,24.9384765625,0.024814404547214508,0.020603876560926437,1,0,-0.037410669028759003,-0.078389860689640045,-0.24588984251022339,300.24063110351562,291.27716064453125,6.2831172943115234,5.4776782989501953,1.2094115018844604,0.086581021547317505
21100,132.20260608041613,1,0.30204108357429504,131.25,6.3468971252441406,2.2204313278198242,1,-84.942039489746094,1,102227.22222222222,0.010830555654441318,292.04250590006512,0.010675587691366673,0.0079302676022052765,29.170421600341797,6.7777762413024902,125.59247577639533,-0.0088507095351815224,-0.017941450700163841,-0.052407383918762207,0.00069172447547316551,1.2043560743331909,0.10686568915843964,0.088732637465000153,-0.025526002049446106,-0.021194729954004288,-2.8480727672576904,0.0096420189365744591,0.0348019078373909,0.67672908306121826,-0.0027537639252841473,-0.011881759390234947,-2.9103830456733704e-09,1,0.69990497827529907,0.025159889832139015,-0.0091279949992895126,-0.0029823132790625095,1.0690317153930664,0,1,0,0.50836777687072754,0.78334152698516846,0.012358563020825386,2.3615057216375135e-06,1.1880350939463824e-05,9.5188379418686964e-06,1,0,0.76538747549057007,1.1640646457672119,350.13934326171875,0.0012547075748443604,0.0058772265911102295,0.0046223737299442291,-3.2847037315368652,0.018542580306529999,0.064202882349491119,0.80152004957199097,-0.0053213639184832573,-0.023788865655660629,-6.5541826188564301e-08,0,0.99566733837127686,0.045660298317670822,-0.018467500805854797,-0.00068995845504105091,0,0,0,0,0.99998390674591064,0,0.012197759002447128,4.0565646486356854e-06,2.0120858607697301e-05,1.6064286683104001e-05,0,0,0.99429506063461304,0,349.08892822265625,0.001682281494140625,0.0073873400688171387,0.0057049402967095375,0.30269509553909302,1.9805218471447006e-05,0.020165260881185532,0.089643009006977081,-0.021119818091392517,2.3922471882542595e-05,1.9863287889165804e-05,24.98259162902832,0.024858299642801285,0.020640324801206589,1,0,-0.038584135472774506,-0.078721180558204651,-0.23293402791023254,300.24136352539062,291.278564453125,6.2884054183959961,5.5270376205444336,1.1800572872161865,0.087333559989929199
