time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
26400,1,0,0,0.006224037057,160.0777302,0.03890023161,0.04379232705,1.373442243,1.606843627,0.7282112705,0.622525787
27000,1,0,0,0.006203359312,160.9380996,0.0387709957,0.04320826847,1.372201579,1.604827547,0.728808211,0.6232063202
27600,1,0,0,0.006498613255,154.3502705,0.04061633284,0.04547061981,1.389916815,1.633614808,0.7195507088,0.6122745828
28200,1,0,0,0.00657309169,152.6046634,0.04108182306,0.04804811324,1.394385521,1.640876456,0.7172536684,0.6095791188
28800,1,0,0,0.006715573402,149.5338754,0.04197233376,0.04710911016,1.402934424,1.654768423,0.7128505978,0.6044088295
29400,1,0,0,0.006676293136,150.2263765,0.0417268321,0.04792803957,1.400577608,1.650938597,0.7141038569,0.6058976763
30000,1,0,0,0.006832728538,146.3851521,0.04270455336,0.04741699377,1.409963732,1.666191049,0.7093130294,0.6002910753
30600,1,0,0,0.006700742465,148.8662457,0.04187964041,0.0469892082,1.402044568,1.653322406,0.7133422406,0.6050010111
31200,1,0,0,0.006998727809,142.7509896,0.0437420488,0.05003492115,1.419923688,1.682375978,0.7043353732,0.594512126
31800,1,0,0,0.006858036163,145.2439841,0.04286272602,0.04781059979,1.411482189,1.668658543,0.7085536507,0.5994094909
32400,1,0,0,0.007214598395,138.7864612,0.04509123997,0.05122610019,1.432875924,1.703423361,0.6979626904,0.5871560433
