time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
900.0,0.0671402514,1.55447051e-05,1,1,610,0,1,829.862488,7.125,1,841.433289,0.125,830,0,7.1618706e-07,0.467499435,0.000311666285,0.000533322513,0.20540826,0.807563424,-0.0409804136,0.031218214,-0.0335632525,0.0255679414,1.22099054,0,0,0,0,15,115,0.000634634634
960.0,0.066978842,1.5898142e-05,1,1,610,0,1,829.468628,9.375,1,841.428467,0.375,829.924072,1.4375,1.07754022e-06,0.844884455,0.000563256326,0.00115156081,0.201592833,0.807435632,-0.0395307392,0.0299921725,-0.0323759578,0.0245638043,1.22099054,0,0,0,0,15,115,0.000634634634
1020.0,0.0668284073,1.58138573e-05,1,1,610,0,1,829.086731,11.9375,1,841.421021,0.375,829.303406,148.875,1.79000199e-06,1.59035492,0.00106023659,0.00254308968,0.198176503,0.807311714,-0.0382586382,0.0289097894,-0.0313340984,0.0236773249,1.22099054,0,0,0,0,15,115,0.000634634634
1080.0,0.0666086525,1.5756581e-05,1,1,610,0,1,828.680237,15.1875,1,841.412476,0.375,826.710083,1760.9375,3.28291208e-06,3.0747478,0.00204983191,0.00563823991,0.195381761,0.807179749,-0.0372376516,0.0280332267,-0.030497903,0.022959413,1.22099054,0,0,0,0,15,115,0.000634634634
1140.0,0.0662403628,1.62897632e-05,1,1,610,0,1,828.183411,19.5,1,841.406006,0.5,819.357666,7178.1875,6.36465847e-06,5.98809624,0.00399206439,0.0120339934,0.193629324,0.807018399,-0.0366102606,0.0274825841,-0.0299840663,0.0225084331,1.22099054,0,0,0,0,15,115,0.000634634634
1200.0,0.065647468,1.7344486e-05,1,1,610,0,1,827.564575,24.625,1,841.406799,0.75,801.004761,20615.0625,1.20177865e-05,11.4327736,0.00762184896,0.0259545408,0.193608731,0.806817353,-0.0366156884,0.0274591204,-0.0299885105,0.0224892162,1.22099054,0,0,0,0,15,115,0.000634634634
1260.0,0.0647819713,1.91261061e-05,1,1,610.010864,0.21875,1,826.803833,30.8125,1,841.421204,1.0625,774.631104,38642.75,1.9909814e-05,20.7253551,0.0138169033,0.0493346825,0.196186364,0.806570053,-0.0375710465,0.0282299295,-0.0307709556,0.023120515,1.22099054,0,0,0,0,15,115,0.000634634634
1320.0,0.0636849478,2.24169344e-05,1,1,610.047729,0.96875,1,825.913086,38.1875,1,841.452087,1.25,745.507812,56756.375,2.70111486e-05,34.5535583,0.0230357051,0.0853434652,0.201948881,0.806280315,-0.0397329591,0.030015707,-0.0325415768,0.0245830789,1.22099054,0,0,0,0,15,115,0.000634634634
1380.0,0.062398091,2.94225756e-05,1,1,609.396729,14.71875,1,824.919067,115.6875,1,841.497986,1.5625,716.796875,71957.5,3.37790698e-05,52.0111427,0.0346740969,0.130297333,0.210578442,0.805956662,-0.0430729426,0.0328048244,-0.03527705,0.026867386,1.22099054,0,0,0,0,15,115,0.000634634634
1440.0,0.0608273484,4.4815708e-05,1,1,607.126709,173.65625,1,823.950012,194.9375,1,841.555664,1.8125,709.887146,73660.25,4.77861613e-05,71.4369965,0.0476246625,0.174824923,0.220785126,0.805640936,-0.0471901745,0.0362703539,-0.0386490896,0.029705679,1.22099054,0,0,0,0,15,115,0.000634634634
1500.0,0.0591078587,6.87171705e-05,1,1,604.772156,540.1875,1,823.113159,209.1875,1,841.626648,2.1875,711.768677,70827.7812,8.06609169e-05,91.614563,0.0610763766,0.214148492,0.230911836,0.805368125,-0.0514543056,0.0398864299,-0.042141445,0.0326672718,1.22099054,0,0,0,0,15,115,0.000634634634
1560.0,0.0572724193,9.90845729e-05,1,1,603.980042,791.625,1,822.531616,92.5,1,841.719971,2.75,722.417542,62552.3438,0.000138100237,111.992935,0.0746619552,0.242191017,0.239607766,0.805178404,-0.0552492589,0.0431444123,-0.0452495404,0.0353355817,1.22099054,0,0,0,0,15,115,0.000634634634
1620.0,0.055213321,0.000136254355,1,1,603.58075,1015.9375,1,821.896606,117.9375,1,841.853394,3.625,731.642822,54680.3125,0.000210242346,132.781631,0.0885210857,0.258290917,0.246184394,0.804971159,-0.0581875779,0.0457192212,-0.0476560444,0.037444368,1.22099054,0,0,0,0,15,115,0.000634634634
1680.0,0.0528930351,0.000183595344,0.999782979,0.999782979,603.34491,1303.90625,1,821.504211,144.4375,1,842.03772,4.3125,740.577271,46843.0625,0.000277545303,154.790527,0.103193685,0.266820967,0.250607848,0.804843009,-0.060181126,0.0475245565,-0.049288772,0.0389229506,1.22099054,0,0,0,0,15,115,0.000634634634
1740.0,0.0504719764,0.000238857698,0.998806417,0.998806417,604.433472,1142.9375,1,821.468445,165.625,1,842.266663,4.6875,745.479614,41470.125,0.000322989188,178.806168,0.119204111,0.29780668,0.253289938,0.804831326,-0.0613840818,0.0486636423,-0.0502740033,0.0398558713,1.22099054,0,0,0,0,15,115,0.000634634634
1800.0,0.0481988192,0.000291799894,0.997829854,0.997829854,606.265747,1052,1,821.754883,168.9375,1,842.529297,4.6875,746.792542,38800,0.000346554443,205.199234,0.136799484,0.360103309,0.254675955,0.804924846,-0.0619932413,0.0492789038,-0.0507729091,0.0403597765,1.22099054,0,0,0,0,15,115,0.000634634634
1860.0,0.0463506393,0.000329361763,0.996636271,0.996636271,609.301025,914.15625,1,822.15387,171.6875,1,842.815125,4.6875,747.966553,37217.5625,0.00035627652,233.566391,0.155710921,0.417625904,0.255064458,0.805055141,-0.0621353462,0.0494886562,-0.0508892946,0.0405315645,1.22099054,0,0,0,0,15,115,0.000634634634
1920.0,0.0451439656,0.00035534543,0.995659709,0.995659709,612.410645,1048.3125,1,822.658691,173.25,1,843.100769,4.5625,746.668823,37732.375,0.000355502591,261.982666,0.17465511,0.462775022,0.25447166,0.805219889,-0.0617944784,0.0493245907,-0.0506101213,0.0403971933,1.22099054,0,0,0,0,15,115,0.000634634634
1980.0,0.0445810035,0.000381446211,0.995551229,0.995551229,614.233276,1201.59375,1,823.284912,161.8125,1,843.374695,5.125,747.532532,37501.4375,0.000343420543,289.383636,0.192922428,0.511499882,0.252958417,0.805424154,-0.0610217117,0.0487897918,-0.0499772206,0.0399591886,1.22099054,0,0,0,0,15,115,0.000634634634
2040.0,0.0446751378,0.000414734241,0.992838562,0.992838562,615.997803,1359.46875,1,823.916931,133,1,843.633789,7.25,750.562073,36512.375,0.000322825275,316.240784,0.210827187,0.565315902,0.250814259,0.805630207,-0.0599842593,0.04797538,-0.0491275378,0.039292179,1.22099054,0,0,0,0,15,115,0.000634634634
2100.0,0.045217298,0.00044855685,0.995551229,0.995551229,617.677368,1489.625,1,824.354553,112.4375,1,843.89624,13.1875,757.256958,33821.125,0.000296271406,343.055389,0.228703588,0.621073008,0.248405501,0.805772841,-0.058850009,0.0470428504,-0.0481985807,0.0385284312,1.22099054,0,0,0,0,15,115,0.000634634634
2160.0,0.0460272133,0.000480575953,0.995225668,0.995225668,618.251221,1466.84375,1,824.537537,96.5625,1,844.19104,19.1875,759.338135,33337.75,0.000265344977,370.585541,0.247057021,0.671943903,0.245959446,0.805832386,-0.05771029,0.0461039618,-0.0472651422,0.0377594754,1.22099054,0,0,0,0,15,115,0.000634634634
2220.0,0.0468935892,0.00050586299,0.995876729,0.995876729,618.333008,1442.84375,1,824.505554,104.5,1,844.511963,24.8125,756.545166,34907.75,0.000232730992,398.255859,0.265503913,0.704559207,0.243678153,0.805822015,-0.0566377118,0.045261465,-0.0463866927,0.037069466,1.22099054,0,0,0,0,15,115,0.000634634634
2280.0,0.0476105474,0.000523713417,0.994900167,0.994900167,618.044495,1409.84375,1,824.41217,117.625,1,844.88739,30.4375,748.324646,39310.8125,0.000202655792,423.312408,0.282208264,0.727900088,0.241578713,0.805791557,-0.0556325503,0.0445267223,-0.0455634557,0.0364677049,1.22099054,0,0,0,0,15,115,0.000634634634
2340.0,0.0480878614,0.000534254592,0.994357646,0.994357646,618.306396,1373.28125,1,824.328125,132.875,1,845.329224,33.1875,740.008667,44248.9375,0.000175309367,444.469269,0.296312839,0.74789083,0.239460647,0.805764198,-0.0546261407,0.0437932424,-0.0447392017,0.0358669795,1.22099054,0,0,0,0,15,115,0.000634634634
2400.0,0.0483509153,0.000549527816,0.991536438,0.991536438,618.052063,1347.65625,1,824.306885,142.3125,1,845.816772,32.6875,727.686646,50263.6875,0.000150330365,461.213013,0.307475328,0.756642759,0.237217173,0.805757284,-0.0535936393,0.0429936163,-0.0438935757,0.0352120809,1.22099054,0,0,0,0,15,115,0.000634634634
2460.0,0.0485611111,0.000577258412,0.988823771,0.988823771,618.377075,1345.5,1,824.355469,152.1875,1,846.304138,33.0625,710.644531,59023.5938,0.000128662214,473.306427,0.315537632,0.756912708,0.234877884,0.805773079,-0.0525560565,0.0421321206,-0.0430437885,0.0345065072,1.22099054,0,0,0,0,15,115,0.000634634634
2520.0,0.0487241559,0.000600213418,0.987630188,0.987630188,618.835449,1392.90625,1,824.441772,164.9375,1,846.803162,33.5,698.459229,65625.3438,0.000107287429,479.440704,0.319627136,0.74778372,0.232626364,0.805801213,-0.0515894964,0.0412830301,-0.0422521681,0.0338110961,1.22099054,0,0,0,0,15,115,0.000634634634
2580.0,0.0488589071,0.000615197467,0.986653626,0.986653626,619.317078,1403.96875,1,824.497131,173.75,1,847.269287,32.0625,686.367188,71364.4062,8.59163702e-05,479.613831,0.31974256,0.721302629,0.230653971,0.805819273,-0.0507619828,0.0405313782,-0.041574426,0.0331954882,1.22099054,0,0,0,0,15,115,0.000634634634
2640.0,0.0489158444,0.000614337157,0.984049499,0.984049499,619.866577,1410.75,1,824.535156,180,1,847.721191,30.1875,674.520386,78332.5625,6.61788508e-05,474.958191,0.316638798,0.680867612,0.229075581,0.805831671,-0.0501143262,0.0399224982,-0.0410439931,0.0326968133,1.22099054,0,0,0,0,15,115,0.000634634634
2700.0,0.0490269437,0.000605736626,0.98036027,0.98036027,620.182617,1397.59375,1,824.524536,184.4375,1,848.159363,26.875,670.088989,80131.6875,5.07049263e-05,465.879059,0.310586035,0.632755816,0.227820247,0.805828154,-0.0496062785,0.0394362547,-0.0406278968,0.0322985761,1.22099054,0,0,0,0,15,115,0.000634634634
2760.0,0.049175363,0.000592412194,0.979275167,0.979275167,620.180603,1429.46875,1,824.585205,184.6875,1,848.570374,24.3125,662.868896,83568.25,3.85660678e-05,452.090759,0.301393837,0.578653872,0.226718262,0.805847943,-0.0491667762,0.0390062742,-0.0402679406,0.0319464169,1.22099054,0,0,0,0,15,115,0.000634634634
2820.0,0.0493549034,0.000578874489,0.978732646,0.978732646,620.246094,1433.8125,1,824.634033,182.4375,1,848.948364,22.25,653.654541,87486.1875,2.72300094e-05,434.674347,0.289782912,0.524665892,0.225768015,0.805863857,-0.0488058142,0.0386164635,-0.0399723127,0.0316271596,1.22099054,0,0,0,0,15,115,0.000634634634
