time_s,filtered_u,filtered_v,filtered_Δθ
0,8,0,-0.000233054161072
600,2.79334115982,0.0526410862803,0.0155614474788
1200,2.41606807709,0.115341588855,0.0298846662045
1800,2.13907241821,0.155845567584,0.0469742491841
2400,1.97009885311,0.246839851141,0.0630164220929
3000,1.90673041344,0.328156232834,0.0805554538965
3600,1.70211052895,0.359151303768,0.0924718007445
4200,1.64654684067,0.435472846031,0.105974562466
4800,1.63029408455,0.51316857338,0.119048669934
5400,1.56506633759,0.553886771202,0.128700211644
6000,1.50900447369,0.617856264114,0.136378079653
6600,1.41872680187,0.655292510986,0.141797572374
7200,1.42739486694,0.724693059921,0.154490843415
7800,1.3870537281,0.788468718529,0.15618942678
8400,1.43191480637,0.847959697247,0.166861489415
9000,1.41356170177,0.891423404217,0.175991982222
9600,1.37960076332,0.91457259655,0.17497754097
10200,1.36209213734,0.932716727257,0.181026682258
10800,1.44776117802,0.974811434746,0.191520184278
11400,1.3942668438,1.00740981102,0.193341419101
12000,1.37909317017,1.00194501877,0.195507034659
12600,1.4208984375,1.04266917706,0.201392292976
13200,1.43983650208,1.09367501736,0.206325128675
13800,1.43582689762,1.09436130524,0.203919321299
14400,1.41168415546,1.12904429436,0.206478536129
15000,1.4324170351,1.13230001926,0.210157752037
15600,1.49885523319,1.18003106117,0.220923140645
16200,1.45185208321,1.14058685303,0.215022847056
16800,1.46784222126,1.165797472,0.218193471432
17400,1.47998392582,1.13603377342,0.220395356417
18000,1.56210148335,1.17234611511,0.227373510599
18600,1.53859889507,1.16643571854,0.22895771265
19200,1.5385491848,1.14754784107,0.231538385153
19800,1.56051599979,1.16323280334,0.233185499907
20400,1.60734546185,1.16665124893,0.238029718399
21000,1.62552440166,1.18353629112,0.23887090385
21600,1.63176572323,1.15213465691,0.242678761482
22200,1.58957064152,1.15323901176,0.237973958254
22800,1.62170147896,1.14345300198,0.242343336344
23400,1.57856822014,1.14473640919,0.238689184189
24000,1.67776465416,1.14906954765,0.243579179049
24600,1.68615531921,1.13119482994,0.249657154083
25200,1.64813363552,1.11973237991,0.249059617519
25800,1.67078983784,1.13794696331,0.25269305706
26400,1.66099619865,1.12552070618,0.253058254719
27000,1.71504235268,1.09483194351,0.253905951977
27600,1.75476658344,1.08521914482,0.25832426548
28200,1.70868492126,1.10811758041,0.261757940054
28800,1.71662509441,1.07730650902,0.26215839386
29400,1.70260620117,1.05632972717,0.25757163763
30000,1.68222904205,1.05992209911,0.259246408939
30600,1.67162275314,1.06358098984,0.255227327347
31200,1.62411487103,1.01636505127,0.249646171927
31800,1.71556127071,1.08826589584,0.269108593464
32400,1.66645920277,1.0526419878,0.2605240345
