time_s,lwp_mean,lwp_variance,cloud_fraction,cloud_base_valid_fraction,cloud_base_mean,cloud_base_variance,q_t_8gkg_inversion_valid_fraction,q_t_8gkg_inversion_height_mean,q_t_8gkg_inversion_height_variance,theta_li_295_inversion_valid_fraction,theta_li_295_inversion_height_mean,theta_li_295_inversion_height_variance,radiation_nearest_q_t_inversion_height_mean,radiation_nearest_q_t_inversion_height_variance,decoupling_delta_q_t,resolved_tke_vertical_integral,resolved_tke_depth_mean,w_variance_max,friction_velocity,convective_velocity_scale,surface_drag_u_dynamic_flux,surface_drag_v_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_kinematic_flux,surface_density_for_drag,surface_sgs_u_w_flux,surface_sgs_v_w_flux,surface_sgs_theta_li_flux,surface_sgs_q_t_flux,surface_sensible_heat_flux,surface_latent_heat_flux,surface_buoyancy_flux
780.0,0.0675354078,1.37737952e-05,1,1,610,0,1,830.652039,3.5625,1,841.43512,0.1875,830,0,5.69969416e-07,0.106814422,7.12096153e-05,0.000176909787,0.248841658,0.807819426,-0.0596637055,0.0464388579,-0.0488650016,0.0380337574,1.22099054,-0.0671767443,0.0552231856,0.0155970789,4.9657272e-05,15,115,0.000634634634
840.0,0.0672625303,1.57346949e-05,1,1,610,0,1,830.297546,5.125,1,841.440063,0.1875,830,0,8.91275704e-07,0.158152312,0.000105434876,0.000290074182,0.247196808,0.807704508,-0.0589014962,0.0457961895,-0.0482407473,0.0375074074,1.22099054,-0.0694754496,0.0572785661,0.0165122636,5.25361902e-05,15,115,0.000634634634
900.0,0.0670186877,1.71777792e-05,1,1,610,0,1,829.931519,6.9375,1,841.443115,0.25,830,0,1.47335231e-06,0.249994114,0.000166662736,0.000633942429,0.245640531,0.807585835,-0.0581865124,0.0451900512,-0.0476551689,0.0370109752,1.22099054,-0.0716122687,0.0592101626,0.0175083391,5.54960243e-05,15,115,0.000634634634
960.0,0.066799283,1.83167867e-05,1,1,610,0,1,829.556335,9.375,1,841.44519,0.25,829.865479,2.625,2.52667814e-06,0.421772659,0.000281181769,0.00140017993,0.244168028,0.807464063,-0.0575156398,0.0446181372,-0.0471057221,0.0365425758,1.22099054,-0.0735814348,0.061013598,0.0188044515,5.84034569e-05,15,115,0.000634634634
1020.0,0.0665952116,1.91335566e-05,1,1,610,0,1,829.189941,12.625,1,841.446533,0.4375,829.262146,14.1875,4.42005694e-06,0.756074488,0.000504049647,0.00312665175,0.242778718,0.807345212,-0.056887839,0.0440797731,-0.0465915464,0.0361016504,1.22099054,-0.075401552,0.0627019107,0.0204707719,6.12752046e-05,15,115,0.000634634634
1080.0,0.0663491189,1.98488124e-05,1,1,610,0,1,828.813477,16.9375,1,841.44989,0.3125,828.582886,26.3125,7.8631565e-06,1.42280245,0.000948534987,0.00689163571,0.241476387,0.807223022,-0.0563040562,0.0435759686,-0.046113424,0.0356890298,1.22099054,-0.0770540535,0.0642561466,0.0224113762,6.41693696e-05,15,115,0.000634634634
1140.0,0.0659265295,2.11610459e-05,1,1,610,0,1,828.395752,22.625,1,841.460144,0.5625,828.075073,45.25,1.39847398e-05,2.75468516,0.00183645682,0.0154463118,0.240272194,0.807087362,-0.0557686239,0.0431104898,-0.0456749015,0.0353077985,1.22099054,-0.0785244182,0.065660879,0.0243733805,6.71492235e-05,15,115,0.000634634634
1200.0,0.0651538372,2.52490863e-05,1,1,610,0,1,827.844482,29.75,1,841.486023,0.8125,826.901062,275.625,2.3775734e-05,5.34283161,0.00356188766,0.0317158774,0.239189684,0.806908309,-0.0552913621,0.042691689,-0.0452840216,0.0349647999,1.22099054,-0.0797753036,0.0668591335,0.0260771103,7.02903344e-05,15,115,0.000634634634
1260.0,0.0640116408,3.40943225e-05,1,1,610.010864,0.1875,1,827.134094,38.9375,1,841.534241,1.1875,824.720032,807.3125,3.61641869e-05,10.0523996,0.00670159981,0.0601438433,0.238271996,0.806677401,-0.0548907593,0.0423351116,-0.0449559242,0.0346727595,1.22099054,-0.0807445347,0.0677530766,0.0275677741,7.35191716e-05,15,115,0.000634634634
1320.0,0.0625111163,5.00986353e-05,1,1,609.850281,3.28125,1,826.350952,48.875,1,841.608521,1.4375,820.625,2114.75,4.83542681e-05,17.8099422,0.0118732946,0.101218134,0.237592265,0.80642271,-0.0545985103,0.042067349,-0.0447165705,0.0344534591,1.22099054,-0.0812861174,0.0682751089,0.0285012722,7.70894403e-05,15,115,0.000634634634
1380.0,0.0606445931,7.72173516e-05,1,1,609.316406,17.40625,1,825.505859,59.1875,1,841.712158,1.625,814.086365,4325.4375,6.05033711e-05,29.342577,0.0195617173,0.150443479,0.237266093,0.806147754,-0.0544651076,0.0419306085,-0.0446073152,0.0343414694,1.22099054,-0.081313327,0.0683689117,0.0286019146,8.05991658e-05,15,115,0.000634634634
1440.0,0.0585790202,0.000111244852,1,1,608.956177,42.75,1,824.614014,72.3125,1,841.845886,2.0625,807.215698,6458.8125,7.698033e-05,44.7974014,0.0298649352,0.200150624,0.237455085,0.805857301,-0.0545618385,0.0419845395,-0.0446865372,0.0343856402,1.22099054,-0.0807638466,0.0680531934,0.0281187594,8.34160892e-05,15,115,0.000634634634
1500.0,0.056479495,0.000143546145,1,1,608.522156,123.5,1,823.748047,92.3125,1,842.013245,2.5625,797.769104,10191,0.000104396604,63.5036774,0.0423357859,0.237555683,0.238349676,0.805575132,-0.0549740866,0.0423010215,-0.0450241715,0.0346448384,1.22099054,-0.0795700699,0.067158483,0.0276405886,8.44496826e-05,15,115,0.000634634634
1560.0,0.0542209893,0.000178515678,0.999782979,0.999782979,607.914062,193.8125,1,822.902222,123.625,1,842.223083,3.375,787.578125,14094,0.00014839042,84.7702408,0.056513492,0.258790404,0.240111142,0.805299342,-0.0557772592,0.0429446436,-0.0456819758,0.0351719707,1.22099054,-0.0773789138,0.0653699487,0.0271359161,8.36491963e-05,15,115,0.000634634634
1620.0,0.0517350174,0.000226620585,0.998914957,0.998914957,607.725403,265.65625,1,822.215332,159.875,1,842.480591,4.125,779.166687,17418,0.00020887237,108.320015,0.0722133443,0.263768077,0.242786825,0.805075169,-0.0570000857,0.0439423919,-0.0466834791,0.0359891355,1.22099054,-0.0742791966,0.0625947118,0.0263297372,8.11915015e-05,15,115,0.000634634634
1680.0,0.0490882136,0.000287734205,0.996636271,0.996636271,608.314636,417.6875,1,821.97821,186.8125,1,842.780701,4.6875,771.200073,20433.375,0.000276193954,133.932968,0.0892886445,0.274213016,0.246241733,0.804997802,-0.0585921481,0.0452559851,-0.0479873903,0.037064977,1.22099054,-0.0705781952,0.0593322255,0.0243370906,7.82312782e-05,15,115,0.000634634634
1740.0,0.0465497114,0.000347446883,0.992838562,0.992838562,610.338806,691.5,1,822.131653,200.4375,1,843.125488,5.1875,765.123718,22720.8125,0.000336011872,160.763229,0.107175484,0.329318881,0.25015834,0.80504787,-0.0604177304,0.0467757694,-0.0494825542,0.0383096896,1.22099054,-0.0664374232,0.0557722524,0.0214750655,7.4664873e-05,15,115,0.000634634634
1800.0,0.0443895943,0.000393092399,0.990776896,0.990776896,612.823364,930.9375,1,822.638794,196.6875,1,843.48938,5.125,760.088989,24432.3125,0.000379063189,187.511002,0.125007331,0.379526824,0.254111409,0.805213392,-0.0622838475,0.0483411588,-0.0510109179,0.0395917557,1.22099054,-0.0620125271,0.0520857088,0.0178145897,7.06749561e-05,15,115,0.000634634634
1860.0,0.0427693166,0.000420642784,0.986219645,0.986219645,616.779602,1172.8125,1,823.330078,189.8125,1,843.844482,4.9375,755,27429.25,0.000401746482,212.845352,0.141896904,0.418313861,0.257638395,0.805438876,-0.0639691353,0.0497640334,-0.0523911789,0.040757101,1.22099054,-0.0584017225,0.0493866056,0.0139871277,6.54692267e-05,15,115,0.000634634634
1920.0,0.0417226106,0.000433765585,0.986545146,0.986545146,621.187805,1383.59375,1,824.154785,168.4375,1,844.174988,4.6875,751.108948,30092.375,0.000404015183,235.351212,0.156900808,0.451311588,0.260390222,0.805707693,-0.0652893782,0.0509015545,-0.0534724668,0.0416887365,1.22099054,-0.0563517362,0.0478828996,0.0105363932,5.92318502e-05,15,115,0.000634634634
1980.0,0.0411868952,0.000433888286,0.986545146,0.986545146,625.549927,1472.8125,1,825.023193,134,1,844.472595,4.375,747.194031,33032.5,0.000390000641,254.488998,0.169659331,0.503162503,0.262260139,0.805990577,-0.0661776364,0.051702939,-0.0541999601,0.0423450768,1.22099054,-0.055905614,0.046864301,0.00755759841,5.31128208e-05,15,115,0.000634634634
2040.0,0.041083876,0.000425138162,0.986545146,0.986545146,628.438232,1509.75,1,825.726196,103.9375,1,844.741333,4.125,745.245239,34421.125,0.000369329937,270.778137,0.180518761,0.532880783,0.263296634,0.806219459,-0.066662766,0.0521622896,-0.0545972846,0.0427212901,1.22099054,-0.056224294,0.0462890714,0.00521158054,4.76987734e-05,15,115,0.000634634634
2100.0,0.0413346551,0.000417542993,0.988823771,0.988823771,630.296265,1574.1875,1,826.242126,89.25,1,844.988647,4.375,746.345459,34744,0.000348349102,285.875671,0.19058378,0.544472456,0.263689548,0.806387305,-0.0668381155,0.05234842,-0.0547408946,0.0428737327,1.22099054,-0.0566102266,0.0458590314,0.0038168123,4.33256319e-05,15,115,0.000634634634
2160.0,0.0418499708,0.000419389689,0.992838562,0.992838562,630.526794,1664.96875,1,826.640442,72.25,1,845.224426,5.375,750.870239,33057.125,0.000326232985,301.480682,0.200987116,0.54980123,0.263662159,0.806516886,-0.0668203756,0.0523425005,-0.054726366,0.0428688824,1.22099054,-0.0568459369,0.0459233671,0.00264018285,4.06610379e-05,15,115,0.000634634634
2220.0,0.0426222719,0.000433786074,0.994574666,0.994574666,629.805847,1736.71875,1,826.851868,70.25,1,845.467102,8.0625,752.604187,33264.875,0.000302761793,318.437958,0.212291971,0.553795397,0.263296455,0.80658567,-0.0666568726,0.0521696359,-0.0545924567,0.0427273065,1.22099054,-0.0570248179,0.0460804254,0.00112884748,3.93826776e-05,15,115,0.000634634634
2280.0,0.0435253531,0.0004562377,0.995768249,0.995768249,628.91687,1781.28125,1,826.966125,69.25,1,845.742981,11.75,755.245239,33662.625,0.000276898965,337.29895,0.224865973,0.557788074,0.262698621,0.806622803,-0.0663952082,0.0518809482,-0.0543781519,0.0424908698,1.22099054,-0.0570842549,0.0461539179,-0.00035060037,3.89652159e-05,15,115,0.000634634634
2340.0,0.0444284081,0.000485878903,0.997070312,0.997070312,627.851807,1786.84375,1,827.005615,75.125,1,846.06781,16,756.768677,34287.4375,0.000248820521,357.421967,0.23828131,0.562276542,0.26198709,0.806635678,-0.0660811067,0.0515425652,-0.0541208982,0.0422137305,1.22099054,-0.0576777458,0.0468035378,-0.00261348276,3.93549963e-05,15,115,0.000634634634
2400.0,0.0452258997,0.000515873777,0.996310771,0.996310771,626.78064,1830.34375,1,826.959778,86.6875,1,846.447998,20.9375,753.704407,37579,0.000220730901,376.921143,0.251280755,0.609863043,0.26120314,0.806620717,-0.0657246932,0.0511851944,-0.0538289957,0.0419210419,1.22099054,-0.0582304411,0.0478291586,-0.0049824575,3.99268865e-05,15,115,0.000634634634
2460.0,0.0458470173,0.000537614338,0.995659709,0.995659709,626.057129,1796.9375,1,826.921875,97.875,1,846.882935,24,747.44574,41689.875,0.000192731619,394.812347,0.26320824,0.654763758,0.260374188,0.806608438,-0.0653352588,0.0508260466,-0.0535100438,0.0416268967,1.22099054,-0.0581928492,0.0489331596,-0.00692259055,4.02543119e-05,15,115,0.000634634634
