time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
26400,1,0,0,0.007034977282,142.6971825,0.08793721602,0.09621056379,1.422098658,1.685910302,0.7032147978,0.5931967671
27000,1,0,0,0.006786167817,147.8072159,0.08482709771,0.0939373509,1.407170088,1.661651377,0.7106993517,0.6018961689
27600,1,0,0,0.006669388082,150.9528571,0.08336735102,0.09238835773,1.400163306,1.650265354,0.7142637823,0.6060619962
28200,1,0,0,0.00707282832,141.8687872,0.088410354,0.09541600011,1.424369721,1.689600776,0.7020956927,0.5919044228
28800,1,0,0,0.007272967494,137.787766,0.09091209368,0.1020065974,1.436378068,1.709114348,0.6962298204,0.5851520212
29400,1,0,0,0.007494240505,133.8216215,0.09367800632,0.1003209734,1.449654451,1.730688469,0.6898453556,0.5778447014
30000,1,0,0,0.007328629177,136.7795273,0.09160786472,0.1017411239,1.439717769,1.714541362,0.6946208932,0.5833092978
30600,1,0,0,0.006963115858,143.5655024,0.08703894823,0.09470292716,1.417786973,1.678903812,0.7053691331,0.5956975755
31200,1,0,0,0.007075345711,141.7268319,0.08844182139,0.1022724318,1.424520762,1.689846225,0.7020497119,0.5918633577
31800,1,0,0,0.007435445191,135.2103113,0.09294306489,0.1040113741,1.446126732,1.724955924,0.6915440524,0.5797897771
32400,1,0,0,0.007401074055,136.1253849,0.09251342569,0.1022031647,1.444064464,1.721604737,0.6925427845,0.5809356981
