variable,time_s,z_m,value,location,units,record_kind,window_start_s,window_end_s
u_mean,9000.0,282.5,6.75286818,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,287.5,6.7537632,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,292.5,6.75462532,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,297.5,6.75527,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,302.5,6.75584888,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,307.5,6.75637913,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,312.5,6.75688171,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,317.5,6.75738192,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,322.5,6.75782585,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,327.5,6.75823355,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,332.5,6.75848484,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,337.5,6.75873375,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,342.5,6.75881243,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,347.5,6.75890398,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,352.5,6.75884104,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,357.5,6.75869179,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,362.5,6.75862885,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,367.5,6.7584815,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,372.5,6.75837851,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,377.5,6.7582159,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,382.5,6.7579174,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,387.5,6.7575655,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,392.5,6.75717878,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,397.5,6.75672913,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,402.5,6.75618696,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,407.5,6.7556715,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,412.5,6.75523043,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,417.5,6.75496626,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,422.5,6.75477886,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,427.5,6.75474024,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,432.5,6.75481796,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,437.5,6.75500917,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,442.5,6.75524139,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,447.5,6.75540972,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,452.5,6.75561571,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,457.5,6.75577879,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,462.5,6.75572205,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,467.5,6.75556278,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,472.5,6.75532198,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,477.5,6.75508308,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,482.5,6.75471926,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,487.5,6.75439644,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,492.5,6.753901,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,497.5,6.75341654,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,502.5,6.75292444,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,507.5,6.75224876,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,512.5,6.75145435,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,517.5,6.75053358,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,522.5,6.749753,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,527.5,6.74877548,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,532.5,6.74775171,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,537.5,6.74666739,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,542.5,6.74567461,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,547.5,6.74470901,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,552.5,6.74397469,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,557.5,6.74330282,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,562.5,6.74266243,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,567.5,6.74209547,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,572.5,6.74152374,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,577.5,6.74099731,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,582.5,6.74051142,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,587.5,6.74011993,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,592.5,6.73968792,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,597.5,6.73922968,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,602.5,6.73870564,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,607.5,6.73808527,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,612.5,6.73729324,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,617.5,6.73635578,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,622.5,6.7354064,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,627.5,6.73444796,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,632.5,6.73343992,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,637.5,6.7324748,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,642.5,6.73134661,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,647.5,6.73014164,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,652.5,6.72889757,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,657.5,6.72763252,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,662.5,6.72643661,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,667.5,6.72534609,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,672.5,6.72426128,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,677.5,6.72327518,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,682.5,6.72239637,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
u_mean,9000.0,687.5,6.7214942,Center,m s^-1,preceding_1800s_average,7200.0,9000.0
