time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_layer_face1_filtered_u_mean,surface_layer_face1_filtered_u_mean_w_mean_transport,surface_layer_face1_filtered_uw_product,surface_layer_face1_filtered_v_mean,surface_layer_face1_filtered_v_mean_w_mean_transport,surface_layer_face1_filtered_vw_product,surface_layer_face1_filtered_w_mean,surface_layer_face1_momentum_active_fraction,surface_layer_face1_momentum_deficit,surface_layer_face1_momentum_deficit_zero_fraction,surface_layer_face1_momentum_stability_function,surface_layer_face1_momentum_valid_zero_deficit_fraction,surface_layer_face1_numerical_u_correction,surface_layer_face1_numerical_v_correction,surface_layer_face1_reconstructed_u_flux,surface_layer_face1_reconstructed_v_flux,surface_layer_face1_resolved_u_flux,surface_layer_face1_resolved_v_flux,surface_layer_face1_scalar_stability_function,surface_layer_face1_scheme_u_flux,surface_layer_face1_scheme_v_flux,surface_layer_face1_transverse_resolved_stress,surface_layer_face1_viscosity,surface_layer_face1_viscosity_cap_fraction,surface_layer_face1_viscosity_zero_fraction,surface_layer_face1_ρqᵛ_active_fraction,surface_layer_face1_ρqᵛ_cap_fraction,surface_layer_face1_ρqᵛ_deficit,surface_layer_face1_ρqᵛ_diffusivity,surface_layer_face1_ρqᵛ_filtered_scalar_mean,surface_layer_face1_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρqᵛ_filtered_scalar_w_product,surface_layer_face1_ρqᵛ_numerical_correction,surface_layer_face1_ρqᵛ_reconstructed_flux,surface_layer_face1_ρqᵛ_resolved_flux,surface_layer_face1_ρqᵛ_scheme_flux,surface_layer_face1_ρθ_active_fraction,surface_layer_face1_ρθ_cap_fraction,surface_layer_face1_ρθ_deficit,surface_layer_face1_ρθ_deficit_zero_fraction,surface_layer_face1_ρθ_diffusivity,surface_layer_face1_ρθ_diffusivity_zero_fraction,surface_layer_face1_ρθ_filtered_scalar_mean,surface_layer_face1_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face1_ρθ_filtered_scalar_w_product,surface_layer_face1_ρθ_numerical_correction,surface_layer_face1_ρθ_reconstructed_flux,surface_layer_face1_ρθ_resolved_flux,surface_layer_face1_ρθ_scheme_flux,surface_layer_face1_ρθ_valid_zero_deficit_fraction,surface_layer_face2_filtered_u_mean,surface_layer_face2_filtered_u_mean_w_mean_transport,surface_layer_face2_filtered_uw_product,surface_layer_face2_filtered_v_mean,surface_layer_face2_filtered_v_mean_w_mean_transport,surface_layer_face2_filtered_vw_product,surface_layer_face2_filtered_w_mean,surface_layer_face2_momentum_active_fraction,surface_layer_face2_momentum_deficit,surface_layer_face2_numerical_u_correction,surface_layer_face2_numerical_v_correction,surface_layer_face2_reconstructed_u_flux,surface_layer_face2_reconstructed_v_flux,surface_layer_face2_resolved_u_flux,surface_layer_face2_resolved_v_flux,surface_layer_face2_scheme_u_flux,surface_layer_face2_scheme_v_flux,surface_layer_face2_transverse_resolved_stress,surface_layer_face2_viscosity,surface_layer_face2_viscosity_cap_fraction,surface_layer_face2_ρqᵛ_active_fraction,surface_layer_face2_ρqᵛ_cap_fraction,surface_layer_face2_ρqᵛ_deficit,surface_layer_face2_ρqᵛ_diffusivity,surface_layer_face2_ρqᵛ_filtered_scalar_mean,surface_layer_face2_ρqᵛ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρqᵛ_filtered_scalar_w_product,surface_layer_face2_ρqᵛ_numerical_correction,surface_layer_face2_ρqᵛ_reconstructed_flux,surface_layer_face2_ρqᵛ_resolved_flux,surface_layer_face2_ρqᵛ_scheme_flux,surface_layer_face2_ρθ_active_fraction,surface_layer_face2_ρθ_cap_fraction,surface_layer_face2_ρθ_deficit,surface_layer_face2_ρθ_diffusivity,surface_layer_face2_ρθ_filtered_scalar_mean,surface_layer_face2_ρθ_filtered_scalar_mean_w_mean_transport,surface_layer_face2_ρθ_filtered_scalar_w_product,surface_layer_face2_ρθ_numerical_correction,surface_layer_face2_ρθ_reconstructed_flux,surface_layer_face2_ρθ_resolved_flux,surface_layer_face2_ρθ_scheme_flux,surface_layer_filtered_friction_velocity,surface_layer_filtered_surface_flux_ρqᵛ,surface_layer_filtered_surface_flux_ρθ,surface_layer_filtered_surface_u_flux,surface_layer_filtered_surface_v_flux,surface_layer_inverse_obukhov_length,surface_layer_neutral_column_fraction,surface_layer_stable_column_fraction,surface_layer_upward_flux_column_fraction,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,3.125,1,1.16074442863,1.5625,8,0,1,262493.15625,1,1.24171143824e-24,8,2.96875,4.5435197535e-05,2.1636353722e-06,-1.48947019625e-05,1.32231128216,-1.78158640862,-1.34732758999,0,0,8,-3.78601271223e-07,-3.78601271223e-07,0,0,0,-4.73251589028e-08,0,1,0,1,0,2.84217094304e-14,0,2.84217094304e-14,0,0,0,1,-3.78601242801e-07,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,265.002380371,-1.25412789203e-05,-1.25412789203e-05,-1.99465308636e-13,-1.99465308636e-13,0,-1.25412807392e-05,0,8,-2.28151679948e-06,-2.28151679948e-06,0,0,0,-2.85189599936e-07,0,1,2.27373675443e-13,0,2.27373675443e-13,0,0,0,-2.28151657211e-06,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,265.002380371,-7.55759247113e-05,-7.55759247113e-05,2.98660456175e-13,2.98660456175e-13,0,-7.55759247113e-05,0,0,0,0,0,0,1,0,0,0.4462890625,-0.531671285629,0,0.000124911413877,3.45924636349e-05,265,-0.000529026146978,-0.000400076853111,267.984375,264.950073242,8,0,2.13714542951e-06,2.06795153138e-25
60,7.35380269919,1,0.676881611347,17.1875,8.00005817413,-1.63604988757e-06,1,103728.085938,1,0.974334776402,8.25398921967,6.98611256423,0.00104801438283,2.70979908237e-05,-7.47449348637e-06,1.32231128216,-0.605840682983,-0.458167970181,-0.0011190068908,-0.000846250739414,7.0166478157,-7.88570469012e-06,-0.000269802869298,0.0028261160478,4.96891701118e-08,1.21783195937e-05,-3.83961378247e-08,1,0.998339056969,0,1.00170493126,0,-1.21574857985e-05,2.94484401309e-08,-0.000274074671324,1.21580778796e-05,-0.000261917215539,1.21286302601e-05,1.00277042389,-0.000281960354187,1.22077672131e-05,-1.22555193229e-05,0.508896708488,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1.03738963604,0.0035400390625,0.528285741806,0.0035400390625,265.001953125,-1.10070686787e-05,-6.47432170808e-06,4.68554431365e-11,4.53010761703e-06,4.5300603233e-06,-6.47502020001e-06,0.0035400390625,7.65394353867,-1.08370004455e-05,-0.000365127401892,0.00127249700017,7.67252430478e-08,1.69779450516e-05,-1.93835148821e-07,0,0.998791217804,-0.00689008878544,3.0674473237e-05,-0.00724437925965,4.75756933156e-05,-0.000354290357791,1.69012200786e-05,-0.00725521612912,4.76524182886e-05,-8.35802347865e-06,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999993860722,0,265.002075195,-5.21042384207e-05,-4.48653008789e-05,-1.05563162833e-06,6.18164085608e-06,7.23727271179e-06,-4.59214206785e-05,0.408486068249,0,-5.49833384866e-05,-0.166860938072,-5.80505329708e-05,1.20460408652e-05,0,0.562744140625,0.437255859375,0.430358886719,-0.266804486513,0,0.00288632628508,0.000249044474913,264.995833333,-0.000265477108769,-0.000200767477509,267.978637695,264.933837891,8.25309944153,1.72916042805,0.836323976517,0.0271576568484
120,51.6173844913,1,0.446884512901,164.0625,7.99999141693,-3.88263687867e-09,1,36296.0429688,1,48.2529792786,9.62625598907,49.0365152668,0.00411180686206,2.90556363325e-05,-6.14704777036e-06,1.32231128216,-0.264053404331,-0.199690803885,-0.00323465187103,-0.00244621071033,6.06472492218,-0.00125578860752,-0.0464775823057,0.0126289986074,1.1140235074e-05,-0.000204523006687,-3.16213117912e-08,1,0.808398663998,0.127197265625,1.00163328648,0.127197265625,-0.00109163857996,-1.98343423108e-05,-0.0463134348392,-0.000235497369431,-0.0452217943966,-0.000215662992559,1.00265407562,-0.0475692227483,-0.000224357412662,0.000148867256939,0.432322382927,0,0.127197265625,0,0,1,0,0,0,0,0,0,0,0,1,0,1.31551551819,0.161743164062,0.702435612679,0.161743164062,265.001037598,-1.78515911102e-05,-6.82286918163e-06,4.89852047814e-11,9.66533571045e-06,9.66528841673e-06,-6.84149563313e-06,0.161743164062,6.95377540588,-0.00194207788445,-0.0908985584974,0.00553875183687,8.69021823746e-06,-3.73605289496e-05,-1.32917193696e-07,0,0.975125312805,-0.0482049994171,0.00102107529528,-0.137161493301,0.00097502436256,-0.0889564827085,-4.60506998934e-05,-0.13910356164,0.000983714591712,-0.000214612795389,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0.999975681305,0,265.001159668,-5.83752989769e-05,-2.98172235489e-05,-2.61598756879e-06,2.43680751737e-05,2.69840638794e-05,-3.24100255966e-05,0.42749235034,0,-7.41009425838e-05,-0.182764619589,-0.000328973314026,1.41458185681e-05,0,0.57177734375,0.42822265625,0.139709472656,-0.219420880079,0,0.01138882339,8.42641456984e-05,264.991666666,-0.000218329238123,-0.000165111836395,267.977630615,264.936279297,9.48242855072,3.96131420135,4.60532855988,0.74046343565
180,67.3548089181,1,0.49799451232,164.0625,7.99997901917,5.72182798919e-08,1,31579.3945312,1,31.9170322418,9.05502605438,63.9870684722,0.000443591561634,2.70197742793e-05,-9.77709623839e-06,1.32231128216,-0.327915012836,-0.247986242175,-0.00326480553485,-0.0024690143764,5.7492556572,-0.00136971136089,-0.0605553984642,0.0144302193075,8.21641879156e-06,-0.000584742287174,-2.5422195904e-08,1,0.715813875198,0.108337402344,1.00152611732,0.108337402344,-0.00129414384719,-6.68208667776e-06,-0.0604798272252,-0.0005996406544,-0.0591856911778,-0.000592958531342,1.00247991085,-0.0618495456874,-0.000591424177401,0.000364109233487,0.391965150833,0,0.108337402344,0,0,1,0,0,0,0,0,0,0,0,1,0,1.42653548717,0.147705078125,0.77935051918,0.147705078125,264.999542236,-1.64583325386e-05,-1.67079269886e-05,2.49998910462e-11,-2.64298500952e-06,-2.64300797426e-06,-1.67153775692e-05,0.147705078125,6.61419200897,-0.00242888834327,-0.115597680211,0.00697299931198,-1.2616168533e-05,-0.000415002432419,-8.16944520921e-08,0,0.970102846622,-0.0459877215326,0.00102121103555,-0.159156531096,0.000618825259153,-0.113168798387,-0.000402386242058,-0.16158542037,0.000606208923273,-0.00022491060372,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00000190735,0,264.999755859,-4.10377979279e-05,-3.42503190041e-05,-6.64049639454e-06,-1.89028423847e-06,4.75021488455e-06,-4.09632921219e-05,0.436274558306,0,-9.8873701063e-05,-0.190415099263,-0.000701162382029,1.77150777745e-05,0,0.58349609375,0.41650390625,0.00604248046875,-0.348996639252,0,0.0012203612132,7.43404380046e-05,264.9875,-0.000347260327544,-0.000262616173131,267.976257324,264.965179443,9.04926013947,3.11145329475,2.37862467766,0.380691498518
240,79.6086912398,1,0.502020001411,217.1875,7.99996757507,1.77818648694e-07,1,22043.4882812,1,28.9816074371,8.68930244446,75.6282566778,0.00136159535032,5.6639280956e-05,-1.43490360642e-05,1.32231128216,-0.333227545023,-0.252003848553,-0.0042232866399,-0.00319386716001,5.44436264038,-0.00164380576462,-0.0655968785286,0.0231260471046,1.52201810124e-05,-0.000455288012745,-2.10711732507e-08,1,0.686709702015,0.071044921875,1.00139713287,0.071044921875,-0.00136899156496,1.39214362207e-05,-0.0653220638633,-0.000456586712971,-0.0639530718327,-0.000470508151921,1.00227046013,-0.0669658705592,-0.000441366544692,8.47823976073e-05,0.38801291585,0,0.071044921875,0,0,1,0,0,0,0,0,0,0,0,1,0,1.58446478844,0.140625,0.885517239571,0.140625,264.998382568,-1.80006027222e-05,-3.22163105011e-05,-1.03856354072e-10,-1.8213486328e-05,-1.82133826456e-05,-3.22014093399e-05,0.140625,6.32117605209,-0.00321759935468,-0.123394697905,0.0202474482358,-2.05055257538e-05,-0.0002281103516,-3.71364876628e-08,0,0.967231988907,-0.0445226430893,0.000418387469836,-0.164699733257,0.000210782978684,-0.120177090168,-0.000207604374737,-0.167917340994,0.000190277351066,-0.000216648593778,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00004148483,0,264.998779297,-3.17394733429e-05,-5.48958778381e-05,-1.46818720168e-05,-4.15536014771e-05,-2.68717340077e-05,-6.95288181305e-05,0.449380964041,0,-0.000140102914884,-0.202084988356,-0.00109297595918,2.29488177865e-05,0,0.615478515625,0.384521484375,0,-0.5121935606,0,0.00375210307539,0.000155719433678,264.983333333,-0.0005096453242,-0.000385420076782,267.974975586,264.984710693,8.6856174469,2.41190648079,1.94187116623,0.231277629733
300,87.5807525915,1,0.47847288847,245.3125,7.99995994568,2.03526155929e-07,1,14421.8554688,1,31.0729198456,8.78950309753,83.201714962,0.00303976796567,8.26395407785e-05,-1.89885104191e-05,1.32231128216,-0.302694022655,-0.228912830353,-0.00433430634439,-0.00327782612294,5.12077093124,-0.00195953017101,-0.0712593346834,0.0315938815475,2.78730840364e-06,4.25991020165e-05,-1.70257408172e-08,1,0.661303281784,0.0462036132812,1.00136971474,0.0462036132812,-0.00146255630534,3.16092045978e-05,-0.0707623660564,7.14213529136e-05,-0.0692998021841,3.98121337639e-05,1.00222587585,-0.0727218985558,7.42085976526e-05,-0.000570154632442,0.380018889904,0,0.0462036132812,0,0,1,0,0,0,0,0,0,0,0,1,0,1.31819665432,0.150634765625,0.759510040283,0.150634765625,264.997558594,-2.44975090027e-05,-5.46276569366e-05,1.90912147202e-11,-3.54766598321e-05,-3.5476678022e-05,-5.46351075172e-05,0.150634765625,6.01546669006,-0.00400005374104,-0.133210420609,0.0364413186908,-2.32650563703e-05,-9.41411708482e-05,-5.23868948221e-10,0,0.9642187953,-0.0446338281035,-0.000296477752272,-0.173844203353,-0.000367353437468,-0.1292103827,-7.08759471308e-05,-0.177844256163,-0.000390618573874,-0.0001668468758,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00008368492,0,264.998168945,-3.76999378204e-05,-8.92579555511e-05,-2.58224681602e-05,-8.37474508444e-05,-5.79249826842e-05,-0.000115066766739,0.456801772118,0,-0.000196059176233,-0.208875209093,-0.00147029105574,3.05110861518e-05,0,0.657104492188,0.342895507812,0,-0.677801012993,0,0.00840259809047,0.000227222713875,264.979166666,-0.00067442888394,-0.000510037934873,267.973693848,264.977905273,8.78754711151,2.52180624008,2.11405563354,0.244407728314
360,97.9242742866,1,0.462519794703,245.3125,7.99995040894,4.12561632857e-07,1,10425.3378906,1,33.4139251709,8.8068113327,93.0280605723,0.00411714287475,9.94222718873e-05,-2.37268905039e-05,1.32231128216,-0.2827911973,-0.21386128664,-0.00687995972112,-0.00520298024639,4.83922052383,-0.00209605088457,-0.0755169689655,0.0482892878354,-8.53385245136e-07,-0.000387886480894,-1.35914888233e-08,1,0.640223860741,0.0292358398438,1.00145494938,0.0292358398438,-0.00151128158905,8.24289600132e-06,-0.0749322026968,-0.000378790165996,-0.0734209120274,-0.000387032923754,1.00236427784,-0.0770282447338,-0.000379643664928,-0.000323895510519,0.369663536549,0,0.0292358398438,0,0,1,0,0,0,0,0,0,0,0,1,0,1.53914272785,0.159057617188,0.894755482674,0.159057617188,264.996826172,-2.67848372459e-05,-8.00713896751e-05,5.02219932308e-10,-5.98149199504e-05,-5.98154219915e-05,-8.00937414169e-05,0.159057617188,5.73862886429,-0.00425749737769,-0.140287667513,0.054476313293,-3.2888026908e-05,-0.000869213545229,3.04426066577e-08,0,0.962423682213,-0.044212564826,-0.000310008326778,-0.180242732167,-0.00114633364137,-0.136030167341,-0.000836325343698,-0.184500217438,-0.0011792217847,-0.000103294238215,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00014102459,0,264.997589111,-3.47495079041e-05,-0.000127479434013,-3.78481672669e-05,-0.000141058466397,-0.000103210288216,-0.000165358185768,0.459036231041,0,-0.000264980451902,-0.210973665118,-0.00196479028091,4.06008839491e-05,0,0.723083496094,0.276916503906,0,-0.846939086914,0,0.0114037031308,0.000273383629974,264.974999999,-0.000842725450639,-0.00063731247792,267.972381592,264.967041016,8.80616188049,2.66705322266,2.3661365509,0.271166563034
420,104.221707658,1,0.448880314827,245.3125,7.9999370575,8.79958065525e-07,1,8139.109375,1,31.83228302,8.47908592224,99.010622275,0.00323787773959,0.00012039012654,-2.77814433502e-05,1.32231128216,-0.266303747892,-0.201392635703,-0.0084314737469,-0.00637631537393,4.59297895432,-0.00193800171837,-0.0769325643778,0.0630939975381,4.83535404783e-05,-0.000590229872614,-1.09721440822e-08,1,0.629448831081,0.0169067382812,1.00165867805,0.0169067382812,-0.00154199963436,1.95092525246e-05,-0.0765365585685,-0.000619074387942,-0.0749945640564,-0.000638583675027,1.00269532204,-0.0784745663404,-0.000570720876567,-0.000371981237549,0.362774550915,0,0.0169067382812,0,0,1,0,0,0,0,0,0,0,0,0.999938964844,0,2.57124567032,0.170837402344,1.47778201103,0.1708984375,264.995605469,-2.16364860535e-05,-0.000107079744339,4.28140745079e-10,-9.11490933504e-05,-9.11495226319e-05,-0.000107046216726,0.170837402344,5.48861789703,-0.00400829315186,-0.142164543271,0.0693409144878,0.000117182069516,-0.000982379773632,5.66651578993e-08,0,0.962162256241,-0.0434468612075,-0.000150450301589,-0.181603103876,-0.00125001231208,-0.13815626502,-0.00109956192318,-0.185611397028,-0.0011328299297,-0.000223960116273,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00021028519,0,264.996643066,-2.10851430893e-05,-0.000168442726135,-5.16094332852e-05,-0.000210234778933,-0.000158625334734,-0.000220030546188,0.458378791809,0,-0.000343193154549,-0.210411310196,-0.00268650148064,5.28228265466e-05,6.103515625e-05,0.840148925781,0.159790039062,0,-0.991667628288,0,0.00895352009684,0.000331047282089,264.970833333,-0.000986733939499,-0.000746219127905,267.971099854,264.950561523,8.47593402863,2.32688474655,2.03300070763,0.214120268822
480,108.344282639,1,0.432988911867,245.3125,7.99991416931,1.66139875546e-06,1,6616.64746094,1,32.869644165,8.58980178833,102.927068507,0.0033439937979,0.00013740293798,-3.06713081955e-05,1.32231128216,-0.247766941786,-0.187374144793,-0.00830536987633,-0.00628094933927,4.3648648262,-0.00194422807544,-0.0773072913289,0.0716476067901,5.08430966875e-05,-0.000373653747374,-1.01354089566e-08,1,0.621705651283,0.0103149414062,1.00200772285,0.0103149414062,-0.00152893096674,1.71313113242e-05,-0.0768919885159,-0.000407365674619,-0.0753630548716,-0.000424497120548,1.00326263905,-0.0788362175226,-0.00035652241786,-0.000865581445396,0.355474084616,0,0.0103149414062,0,0,1,0,0,0,0,0,0,0,0,1,0,2.35917282104,0.163452148438,1.3060002327,0.163452148438,264.99420166,-2.1580606699e-05,-0.000135604292154,1.17150775192e-10,-0.000119698481285,-0.0001196985977,-0.000135615468025,0.163452148438,5.25323867798,-0.00417176820338,-0.143101856112,0.077341593802,0.000128143612528,-0.000147087615915,7.84639269114e-08,0,0.962715029716,-0.042417857796,2.57638603216e-05,-0.181347936392,-0.00024946720805,-0.138930082321,-0.000275231315754,-0.185519710183,-0.000121323682833,-0.000559805135708,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.00027298927,0,264.995483398,-1.84327363968e-05,-0.000214196741581,-6.48054192425e-05,-0.000273009907687,-0.000208204466617,-0.000278852880001,0.455028712749,0,-0.000423695950303,-0.207357198,-0.00338271912187,6.67786516715e-05,0,0.977172851562,0.0228271484375,0,-1.09482228756,0,0.00924879964441,0.00037785875611,264.966666666,-0.00108937546611,-0.000823841895908,267.969787598,264.971893311,8.58696460724,2.53032159805,2.22440433502,0.232298493385
540,109.023369094,1,0.428672790527,245.3125,7.99987792969,2.93490438708e-06,1,5792.14355469,1,34.2681922913,8.46937465668,103.572200639,0.00172947335523,0.000138859526487,-3.39999605785e-05,1.32231128216,-0.242906659842,-0.183698549867,-0.00630117533728,-0.00476527400315,4.1832575798,-0.00214643962681,-0.0791129022837,0.0701368227601,4.14225978602e-05,-0.000249548756983,-8.06176103652e-09,1,0.606798171997,0.005859375,1.00246155262,0.005859375,-0.00149811420124,6.85340637574e-07,-0.0784645676613,-0.000290286145173,-0.0769664645195,-0.00029097154038,1.0039999485,-0.0806110203266,-0.000248863361776,-0.00117600895464,0.343088686466,0,0.005859375,0,0,1,0,0,0,0,0,0,0,0,1,0,0.656248807907,0.113708496094,0.367854177952,0.113708496094,264.992797852,-1.74269080162e-05,-0.000174753367901,4.97400620691e-10,-0.00016301908181,-0.000163019576576,-0.000174731016159,0.113708496094,5.05289030075,-0.00456897169352,-0.14609259367,0.0802766606212,0.000175434106495,-0.000180879142135,9.67993400991e-08,0,0.963231682777,-0.0406509786844,-0.000284531502984,-0.18217459321,-0.000640844344161,-0.141523614526,-0.000356312899385,-0.186743557453,-0.000465410354082,-0.000549627991859,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1.0003554821,0,264.994384766,-6.42240047455e-06,-0.000274993479252,-7.41056501283e-05,-0.000355379539542,-0.000281273911241,-0.000349052250385,0.450430065393,0,-0.000504071591422,-0.20319083333,-0.00374746066518,8.20510176709e-05,0,1,0,0,-1.21363961697,0,0.00476907612756,0.000381850579288,264.962499999,-0.00120760162827,-0.000913250667509,267.968505859,264.967285156,8.46619224548,2.26225733757,2.19026565552,0.231180489063
