time_s,filtered_u,filtered_v,filtered_Δθ
0,8,0,-0.000233054161072
600,2.94587850571,0.0820732414722,0.016380444169
1200,2.53670525551,0.151325747371,0.0325305908918
1800,2.34120297432,0.235423400998,0.0527957864106
2400,2.04774808884,0.259065926075,0.0692259073257
3000,1.8800560236,0.37032610178,0.0856429934502
3600,1.90526401997,0.439053893089,0.103418007493
4200,1.74007487297,0.512758851051,0.112122349441
4800,1.60001516342,0.624360799789,0.120089948177
5400,1.53799176216,0.665706634521,0.128828957677
6000,1.52550244331,0.765539765358,0.139438867569
6600,1.50659024715,0.811831831932,0.149463698268
7200,1.43115329742,0.844177544117,0.151240691543
7800,1.46021771431,0.924937844276,0.162984907627
8400,1.38167607784,0.919434905052,0.162020713091
9000,1.41474497318,1.0010471344,0.168716430664
9600,1.42642521858,1.06101679802,0.173909127712
10200,1.39670622349,1.09644198418,0.180167287588
10800,1.4287134409,1.09722900391,0.18388402462
11400,1.41572451591,1.14623558521,0.187579005957
12000,1.40591657162,1.13148880005,0.189763993025
12600,1.40764379501,1.14872717857,0.192462399602
13200,1.46490526199,1.1964802742,0.198111623526
13800,1.45769035816,1.20256519318,0.203343003988
14400,1.47524213791,1.24585080147,0.206094413996
15000,1.46808457375,1.24705982208,0.206552535295
15600,1.48832511902,1.22591328621,0.209045276046
16200,1.53518807888,1.26700782776,0.218184918165
16800,1.58306956291,1.25203633308,0.224392160773
17400,1.58476400375,1.2742806673,0.224660366774
18000,1.55577349663,1.25737452507,0.222376778722
18600,1.58969020844,1.24683356285,0.224463492632
19200,1.56132137775,1.25157666206,0.222929447889
19800,1.63116979599,1.28214597702,0.230478286743
20400,1.59060633183,1.29141306877,0.233771264553
21000,1.67249512672,1.26388168335,0.236823737621
21600,1.66926646233,1.27598834038,0.242657274008
22200,1.65494203568,1.21416926384,0.237494498491
22800,1.68660962582,1.29339694977,0.246132433414
23400,1.69098114967,1.21325135231,0.245304703712
24000,1.71448552608,1.2282217741,0.250854432583
24600,1.70236706734,1.19611489773,0.244592756033
25200,1.63822054863,1.17482793331,0.241236135364
25800,1.68702435493,1.20533275604,0.246674090624
26400,1.65649175644,1.17098653316,0.247899219394
27000,1.68965601921,1.21786665916,0.250933229923
27600,1.67774605751,1.21428453922,0.251797020435
28200,1.68285667896,1.15846014023,0.250803947449
28800,1.64087069035,1.19609689713,0.252039462328
29400,1.72070324421,1.18534326553,0.255362987518
30000,1.71145009995,1.14578104019,0.255804389715
30600,1.71157932281,1.17684435844,0.260135412216
31200,1.72504043579,1.15629696846,0.265985369682
31800,1.67300319672,1.1130168438,0.253468036652
32400,1.68161463737,1.14747714996,0.260341286659
