time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
0,0,1,0,0,NaN,0,0,1,1,1,1
600,1,0,0,0.0001048265538,9393.436532,0.0006551659611,0.001053748292,1.006289593,1.010220589,0.993751724,0.9898880484
1200,1,0,0,0.0003619593572,2756.209811,0.002262245983,0.002533309816,1.021717562,1.035291038,0.9787449845,0.9659142981
1800,1,0,0,0.000792657436,1264.042284,0.004954108975,0.005531660281,1.047559448,1.077284101,0.9546042014,0.9282710201
2400,1,0,0,0.001357238201,745.8503158,0.008482738754,0.009629876877,1.081434296,1.132330728,0.9247110915,0.8831645565
3000,1,0,0,0.001988877362,503.7852561,0.01243048351,0.01363517513,1.119332646,1.193915548,0.8934033362,0.8376103545
3600,1,0,0,0.00274690235,366.6733083,0.01716813969,0.01993147453,1.164814151,1.267822986,0.8585446473,0.7888325377
4200,1,0,0,0.003344768102,299.7230591,0.02090480063,0.02343635861,1.200686094,1.326114897,0.8328936286,0.7541539139
4800,1,0,0,0.00412783221,242.8575748,0.02579895132,0.02913750359,1.247669942,1.402463651,0.8015328138,0.7131030172
5400,1,0,0,0.004694283356,212.326589,0.02933927097,0.03400919086,1.281657009,1.457692639,0.7802993744,0.6861223234
6000,1,0,0,0.005012676095,199.7983717,0.03132922559,0.03522297775,1.30076058,1.488735932,0.7688402423,0.6718150813
6600,1,0,0,0.005595061053,178.5355301,0.03496913158,0.03849291825,1.335703683,1.545518467,0.7487261641,0.6471294688
7200,1,0,0,0.005914033873,169.5191007,0.03696271171,0.04289670906,1.354842052,1.576618317,0.7381772833,0.6344094373
7800,1,0,0,0.006054682576,166.330484,0.0378417661,0.0428972824,1.363280974,1.590331566,0.7336159307,0.6289513183
8400,1,0,0,0.006288989787,158.916489,0.03930618617,0.04443232901,1.377339408,1.613176519,0.726095909,0.6199911326
9000,1,0,0,0.006174054286,162.6751473,0.03858783929,0.04596262006,1.370443277,1.601970309,0.72978551,0.6243872832
9600,1,0,0,0.006279173211,159.6858257,0.03924483257,0.04540358495,1.376750412,1.612219403,0.7264281858,0.6203945904
10200,1,0,0,0.006349107838,157.5876922,0.03968192399,0.04584444105,1.38094649,1.619038029,0.7242279356,0.6177931096
10800,1,0,0,0.006435833762,155.9373723,0.04022396101,0.04486233229,1.386150046,1.627493807,0.7214796301,0.6145345954
11400,1,0,0,0.006447744415,155.4880231,0.0402984026,0.04596860381,1.386864685,1.628655096,0.7211338473,0.6141386277
12000,1,0,0,0.006323656091,158.5150543,0.03952285057,0.04467281688,1.379419385,1.616556484,0.7250171095,0.6187208478
12600,1,0,0,0.006146371373,163.053859,0.03841482108,0.04342939646,1.368782302,1.599271223,0.7306740597,0.6254465067
13200,1,0,0,0.006120012695,163.3515295,0.03825007934,0.04188615421,1.36720078,1.596701251,0.7314618992,0.6263582518
13800,1,0,0,0.006200395667,162.0021866,0.03875247292,0.04655422526,1.372023759,1.604538591,0.7289392972,0.6233786277
14400,1,0,0,0.006116497379,164.3810685,0.03822810862,0.0437110808,1.366989863,1.59635851,0.7316251612,0.6265760361
15000,1,0,0,0.006067043097,164.8460462,0.03791901935,0.04460519704,1.364022606,1.591536716,0.7332151263,0.6284721017
15600,1,0,0,0.005963188452,167.1048113,0.03726992783,0.0446273596,1.357791327,1.581410889,0.7365632452,0.6324688946
16200,1,0,0,0.006004627416,167.4605264,0.03752892135,0.04288414784,1.360277664,1.585451188,0.7352151571,0.630853631
16800,1,0,0,0.006083531668,164.9613665,0.03802207292,0.04304380564,1.36501192,1.593144352,0.7326548529,0.6277897625
17400,1,0,0,0.006118303942,164.2460728,0.03823939964,0.04498671042,1.367098255,1.596534649,0.7315804311,0.6265289464
18000,1,0,0,0.00615551636,162.6042415,0.03847197725,0.04380247265,1.369331002,1.60016286,0.7303460082,0.6250395589
18600,1,0,0,0.006126453419,161.4749949,0.03829033387,0.04408014647,1.367587225,1.597329223,0.7313620275,0.6262893632
19200,1,0,0,0.005780903148,172.9275212,0.03613064467,0.04253158695,1.346854209,1.56363807,0.7425840168,0.6397248976
19800,1,0,0,0.00599699676,166.0309365,0.03748122975,0.04400527687,1.359819825,1.584707198,0.7354862862,0.6311896544
20400,1,0,0,0.006131358205,163.8374876,0.03832098878,0.04265106982,1.367881512,1.597807439,0.73112683,0.6259723554
21000,1,0,0,0.00616670402,162.2756063,0.03854190013,0.04495187604,1.370002261,1.601253656,0.7299930606,0.6246218178
21600,1,0,0,0.006296597814,158.7835827,0.03935373634,0.04342776665,1.377795888,1.613918302,0.7258560168,0.6197072262
22200,1,0,0,0.006394531249,156.740998,0.0399658203,0.04682617146,1.383671895,1.623466812,0.7228306467,0.6161550732
22800,1,0,0,0.006247795833,160.4713408,0.03904872395,0.04719072604,1.37486777,1.609160109,0.7274526257,0.6216231119
23400,1,0,0,0.006116395752,164.261092,0.03822747345,0.04537874775,1.366983764,1.5963486,0.7316284521,0.6265796533
24000,1,0,0,0.006035425562,166.6091759,0.03772140976,0.04480588541,1.362125553,1.588454006,0.7342348362,0.6296892348
24600,1,0,0,0.006199258175,161.879463,0.03874536359,0.04466775572,1.371955511,1.604427687,0.7289502444,0.6233801162
25200,1,0,0,0.006383584741,156.4872187,0.03989740463,0.04467908875,1.383015104,1.622399528,0.7231342169,0.6164960056
