case,window,z_m,variable,value,location,units
factor1,penultimate_hour,400.0,density_at_w_faces,1.2745866775512695,Face,kg m^-3
factor1,penultimate_hour,6.25,density_mean,1.3215456008911133,Center,kg m^-3
factor1,penultimate_hour,18.75,density_mean,1.3200148344039917,Center,kg m^-3
factor1,penultimate_hour,31.25,density_mean,1.318485140800476,Center,kg m^-3
factor1,penultimate_hour,43.75,density_mean,1.3169564008712769,Center,kg m^-3
factor1,penultimate_hour,56.25,density_mean,1.3154289722442627,Center,kg m^-3
factor1,penultimate_hour,68.75,density_mean,1.313902497291565,Center,kg m^-3
factor1,penultimate_hour,81.25,density_mean,1.3123770952224731,Center,kg m^-3
factor1,penultimate_hour,93.75,density_mean,1.3108526468276978,Center,kg m^-3
factor1,penultimate_hour,106.25,density_mean,1.3093292713165283,Center,kg m^-3
factor1,penultimate_hour,118.75,density_mean,1.307807207107544,Center,kg m^-3
factor1,penultimate_hour,131.25,density_mean,1.306286096572876,Center,kg m^-3
factor1,penultimate_hour,143.75,density_mean,1.3047659397125244,Center,kg m^-3
factor1,penultimate_hour,156.25,density_mean,1.3032468557357788,Center,kg m^-3
factor1,penultimate_hour,168.75,density_mean,1.3017289638519287,Center,kg m^-3
factor1,penultimate_hour,181.25,density_mean,1.3002119064331055,Center,kg m^-3
factor1,penultimate_hour,193.75,density_mean,1.2986960411071777,Center,kg m^-3
factor1,penultimate_hour,206.25,density_mean,1.297181248664856,Center,kg m^-3
factor1,penultimate_hour,218.75,density_mean,1.2956677675247192,Center,kg m^-3
factor1,penultimate_hour,231.25,density_mean,1.2941550016403198,Center,kg m^-3
factor1,penultimate_hour,243.75,density_mean,1.2926433086395264,Center,kg m^-3
factor1,penultimate_hour,256.25,density_mean,1.2911326885223389,Center,kg m^-3
factor1,penultimate_hour,268.75,density_mean,1.2896231412887573,Center,kg m^-3
factor1,penultimate_hour,281.25,density_mean,1.2881149053573608,Center,kg m^-3
factor1,penultimate_hour,293.75,density_mean,1.2866075038909912,Center,kg m^-3
factor1,penultimate_hour,306.25,density_mean,1.2851011753082275,Center,kg m^-3
factor1,penultimate_hour,318.75,density_mean,1.2835958003997803,Center,kg m^-3
factor1,penultimate_hour,331.25,density_mean,1.282091736793518,Center,kg m^-3
factor1,penultimate_hour,343.75,density_mean,1.2805886268615723,Center,kg m^-3
factor1,penultimate_hour,356.25,density_mean,1.2790864706039429,Center,kg m^-3
factor1,penultimate_hour,368.75,density_mean,1.2775853872299194,Center,kg m^-3
factor1,penultimate_hour,381.25,density_mean,1.276085615158081,Center,kg m^-3
factor1,penultimate_hour,393.75,density_mean,1.2745866775512695,Center,kg m^-3
factor1,penultimate_hour,0.0,density_weighted_pressure_tke_flux,0.0,Face,kg s^-3
factor1,penultimate_hour,12.5,density_weighted_pressure_tke_flux,-0.004669560352340341,Face,kg s^-3
factor1,penultimate_hour,25.0,density_weighted_pressure_tke_flux,-0.007540177321061492,Face,kg s^-3
factor1,penultimate_hour,37.5,density_weighted_pressure_tke_flux,-0.003917552414350212,Face,kg s^-3
factor1,penultimate_hour,50.0,density_weighted_pressure_tke_flux,-0.004740577889606357,Face,kg s^-3
factor1,penultimate_hour,62.5,density_weighted_pressure_tke_flux,-0.004458321258425713,Face,kg s^-3
factor1,penultimate_hour,75.0,density_weighted_pressure_tke_flux,-0.0039048264734447002,Face,kg s^-3
factor1,penultimate_hour,87.5,density_weighted_pressure_tke_flux,-0.004042027750983834,Face,kg s^-3
factor1,penultimate_hour,100.0,density_weighted_pressure_tke_flux,-0.003973604179918766,Face,kg s^-3
factor1,penultimate_hour,112.5,density_weighted_pressure_tke_flux,-0.0032149176113307476,Face,kg s^-3
factor1,penultimate_hour,125.0,density_weighted_pressure_tke_flux,-0.0017779059708118439,Face,kg s^-3
factor1,penultimate_hour,137.5,density_weighted_pressure_tke_flux,-0.0005753740988438949,Face,kg s^-3
factor1,penultimate_hour,150.0,density_weighted_pressure_tke_flux,0.001241144462255761,Face,kg s^-3
factor1,penultimate_hour,162.5,density_weighted_pressure_tke_flux,0.003164485329762101,Face,kg s^-3
factor1,penultimate_hour,175.0,density_weighted_pressure_tke_flux,0.004345335066318512,Face,kg s^-3
factor1,penultimate_hour,187.5,density_weighted_pressure_tke_flux,0.004516218090429902,Face,kg s^-3
factor1,penultimate_hour,200.0,density_weighted_pressure_tke_flux,0.004079706966876984,Face,kg s^-3
factor1,penultimate_hour,212.5,density_weighted_pressure_tke_flux,0.002929038251750171,Face,kg s^-3
factor1,penultimate_hour,225.0,density_weighted_pressure_tke_flux,0.0018695890321396291,Face,kg s^-3
factor1,penultimate_hour,237.5,density_weighted_pressure_tke_flux,0.0012047106865793467,Face,kg s^-3
factor1,penultimate_hour,250.0,density_weighted_pressure_tke_flux,0.0009449600765947253,Face,kg s^-3
factor1,penultimate_hour,262.5,density_weighted_pressure_tke_flux,0.0008902782865334302,Face,kg s^-3
factor1,penultimate_hour,275.0,density_weighted_pressure_tke_flux,0.0008994092349894345,Face,kg s^-3
factor1,penultimate_hour,287.5,density_weighted_pressure_tke_flux,0.0009041568846441805,Face,kg s^-3
factor1,penultimate_hour,300.0,density_weighted_pressure_tke_flux,0.0008855203341227025,Face,kg s^-3
factor1,penultimate_hour,312.5,density_weighted_pressure_tke_flux,0.0008143775339704007,Face,kg s^-3
factor1,penultimate_hour,325.0,density_weighted_pressure_tke_flux,0.0006764302670489997,Face,kg s^-3
factor1,penultimate_hour,337.5,density_weighted_pressure_tke_flux,0.0004985128180123866,Face,kg s^-3
factor1,penultimate_hour,350.0,density_weighted_pressure_tke_flux,0.00031720317929284647,Face,kg s^-3
factor1,penultimate_hour,362.5,density_weighted_pressure_tke_flux,0.00016544194295420311,Face,kg s^-3
factor1,penultimate_hour,375.0,density_weighted_pressure_tke_flux,6.023188689141534e-5,Face,kg s^-3
factor1,penultimate_hour,387.5,density_weighted_pressure_tke_flux,1.0333326940781262e-5,Face,kg s^-3
factor1,penultimate_hour,400.0,density_weighted_pressure_tke_flux,0.0,Face,kg s^-3
factor1,penultimate_hour,0.0,density_weighted_turbulent_tke_flux,0.0,Face,kg s^-3
factor1,penultimate_hour,12.5,density_weighted_turbulent_tke_flux,-0.0036586569622159004,Face,kg s^-3
factor1,penultimate_hour,25.0,density_weighted_turbulent_tke_flux,-0.005785840563476086,Face,kg s^-3
factor1,penultimate_hour,37.5,density_weighted_turbulent_tke_flux,-0.0013618333905469626,Face,kg s^-3
factor1,penultimate_hour,50.0,density_weighted_turbulent_tke_flux,0.0015907152628642507,Face,kg s^-3
factor1,penultimate_hour,62.5,density_weighted_turbulent_tke_flux,0.0027426714077591896,Face,kg s^-3
factor1,penultimate_hour,75.0,density_weighted_turbulent_tke_flux,0.003895528381690383,Face,kg s^-3
factor1,penultimate_hour,87.5,density_weighted_turbulent_tke_flux,0.005396370543166995,Face,kg s^-3
factor1,penultimate_hour,100.0,density_weighted_turbulent_tke_flux,0.006777543108910322,Face,kg s^-3
factor1,penultimate_hour,112.5,density_weighted_turbulent_tke_flux,0.007082442520186305,Face,kg s^-3
factor1,penultimate_hour,125.0,density_weighted_turbulent_tke_flux,0.0059601126704365015,Face,kg s^-3
factor1,penultimate_hour,137.5,density_weighted_turbulent_tke_flux,0.004897716920822859,Face,kg s^-3
factor1,penultimate_hour,150.0,density_weighted_turbulent_tke_flux,0.003999949432909489,Face,kg s^-3
factor1,penultimate_hour,162.5,density_weighted_turbulent_tke_flux,0.002785043907351792,Face,kg s^-3
factor1,penultimate_hour,175.0,density_weighted_turbulent_tke_flux,0.0017017219215631485,Face,kg s^-3
factor1,penultimate_hour,187.5,density_weighted_turbulent_tke_flux,0.0006501374737126753,Face,kg s^-3
factor1,penultimate_hour,200.0,density_weighted_turbulent_tke_flux,-5.688814781024121e-5,Face,kg s^-3
factor1,penultimate_hour,212.5,density_weighted_turbulent_tke_flux,-0.0001303710123465862,Face,kg s^-3
factor1,penultimate_hour,225.0,density_weighted_turbulent_tke_flux,-3.1120611311052926e-5,Face,kg s^-3
factor1,penultimate_hour,237.5,density_weighted_turbulent_tke_flux,-1.5414542531289044e-6,Face,kg s^-3
factor1,penultimate_hour,250.0,density_weighted_turbulent_tke_flux,-1.4779243429074995e-6,Face,kg s^-3
factor1,penultimate_hour,262.5,density_weighted_turbulent_tke_flux,4.19745447288733e-7,Face,kg s^-3
factor1,penultimate_hour,275.0,density_weighted_turbulent_tke_flux,-1.7660836419963744e-6,Face,kg s^-3
factor1,penultimate_hour,287.5,density_weighted_turbulent_tke_flux,-9.110583050642163e-6,Face,kg s^-3
factor1,penultimate_hour,300.0,density_weighted_turbulent_tke_flux,-1.3529450242799612e-5,Face,kg s^-3
factor1,penultimate_hour,312.5,density_weighted_turbulent_tke_flux,-1.314512758199271e-5,Face,kg s^-3
factor1,penultimate_hour,325.0,density_weighted_turbulent_tke_flux,-1.0148732940251648e-5,Face,kg s^-3
factor1,penultimate_hour,337.5,density_weighted_turbulent_tke_flux,-5.601254542852985e-6,Face,kg s^-3
factor1,penultimate_hour,350.0,density_weighted_turbulent_tke_flux,-1.862670302443803e-6,Face,kg s^-3
factor1,penultimate_hour,362.5,density_weighted_turbulent_tke_flux,-8.144895247141903e-7,Face,kg s^-3
factor1,penultimate_hour,375.0,density_weighted_turbulent_tke_flux,-4.146667547111349e-7,Face,kg s^-3
factor1,penultimate_hour,387.5,density_weighted_turbulent_tke_flux,-4.4934957088571537e-8,Face,kg s^-3
factor1,penultimate_hour,400.0,density_weighted_turbulent_tke_flux,0.0,Face,kg s^-3
factor1,penultimate_hour,0.0,pressure_tke_flux,0.0,Face,m^3 s^-3
factor1,penultimate_hour,12.5,pressure_tke_flux,-0.0035354571882635355,Face,m^3 s^-3
factor1,penultimate_hour,25.0,pressure_tke_flux,-0.005715509643778205,Face,m^3 s^-3
factor1,penultimate_hour,37.5,pressure_tke_flux,-0.002972979564219713,Face,m^3 s^-3
factor1,penultimate_hour,50.0,pressure_tke_flux,-0.0036017404636368155,Face,m^3 s^-3
factor1,penultimate_hour,62.5,pressure_tke_flux,-0.0033912176731973886,Face,m^3 s^-3
factor1,penultimate_hour,75.0,pressure_tke_flux,-0.002973657683469355,Face,m^3 s^-3
factor1,penultimate_hour,87.5,pressure_tke_flux,-0.0030817158985882998,Face,m^3 s^-3
factor1,penultimate_hour,100.0,pressure_tke_flux,-0.0030330735025927424,Face,m^3 s^-3
factor1,penultimate_hour,112.5,pressure_tke_flux,-0.0024568202206864953,Face,m^3 s^-3
factor1,penultimate_hour,125.0,pressure_tke_flux,-0.0013602465915028006,Face,m^3 s^-3
factor1,penultimate_hour,137.5,pressure_tke_flux,-0.00044072263699490577,Face,m^3 s^-3
factor1,penultimate_hour,150.0,pressure_tke_flux,0.0009517931321170181,Face,m^3 s^-3
factor1,penultimate_hour,162.5,pressure_tke_flux,0.0024295682087540627,Face,m^3 s^-3
factor1,penultimate_hour,175.0,pressure_tke_flux,0.003340073046274483,Face,m^3 s^-3
factor1,penultimate_hour,187.5,pressure_tke_flux,0.0034754733787849545,Face,m^3 s^-3
factor1,penultimate_hour,200.0,pressure_tke_flux,0.0031432188116014004,Face,m^3 s^-3
factor1,penultimate_hour,212.5,pressure_tke_flux,0.002259321277961135,Face,m^3 s^-3
factor1,penultimate_hour,225.0,pressure_tke_flux,0.0014437960926443338,Face,m^3 s^-3
factor1,penultimate_hour,237.5,pressure_tke_flux,0.0009314306953456253,Face,m^3 s^-3
factor1,penultimate_hour,250.0,pressure_tke_flux,0.0007314565009437501,Face,m^3 s^-3
factor1,penultimate_hour,262.5,pressure_tke_flux,0.0006899359577801079,Face,m^3 s^-3
factor1,penultimate_hour,275.0,pressure_tke_flux,0.0006978278397582471,Face,m^3 s^-3
factor1,penultimate_hour,287.5,pressure_tke_flux,0.0007023329380899668,Face,m^3 s^-3
factor1,penultimate_hour,300.0,pressure_tke_flux,0.0006886622286401689,Face,m^3 s^-3
factor1,penultimate_hour,312.5,pressure_tke_flux,0.0006340775871649384,Face,m^3 s^-3
factor1,penultimate_hour,325.0,pressure_tke_flux,0.0005272889538900927,Face,m^3 s^-3
factor1,penultimate_hour,337.5,pressure_tke_flux,0.0003890560910804197,Face,m^3 s^-3
factor1,penultimate_hour,350.0,pressure_tke_flux,0.0002478466267348267,Face,m^3 s^-3
factor1,penultimate_hour,362.5,pressure_tke_flux,0.00012941973182023503,Face,m^3 s^-3
factor1,penultimate_hour,375.0,pressure_tke_flux,4.7172790800686926e-5,Face,m^3 s^-3
factor1,penultimate_hour,387.5,pressure_tke_flux,8.102442848212377e-6,Face,m^3 s^-3
factor1,penultimate_hour,400.0,pressure_tke_flux,0.0,Face,m^3 s^-3
factor1,penultimate_hour,0.0,resolved_buoyancy_flux,0.0,Face,m^2 s^-3
factor1,penultimate_hour,12.5,resolved_buoyancy_flux,-6.859609129605815e-5,Face,m^2 s^-3
factor1,penultimate_hour,25.0,resolved_buoyancy_flux,-0.00025042344350367785,Face,m^2 s^-3
factor1,penultimate_hour,37.5,resolved_buoyancy_flux,-0.00030754880572203547,Face,m^2 s^-3
factor1,penultimate_hour,50.0,resolved_buoyancy_flux,-0.0003030201041838154,Face,m^2 s^-3
factor1,penultimate_hour,62.5,resolved_buoyancy_flux,-0.00029664020985364914,Face,m^2 s^-3
factor1,penultimate_hour,75.0,resolved_buoyancy_flux,-0.0002870160969905555,Face,m^2 s^-3
factor1,penultimate_hour,87.5,resolved_buoyancy_flux,-0.0002666246145963669,Face,m^2 s^-3
factor1,penultimate_hour,100.0,resolved_buoyancy_flux,-0.00024294343893416226,Face,m^2 s^-3
factor1,penultimate_hour,112.5,resolved_buoyancy_flux,-0.00022101193462731317,Face,m^2 s^-3
factor1,penultimate_hour,125.0,resolved_buoyancy_flux,-0.00019734687521122396,Face,m^2 s^-3
factor1,penultimate_hour,137.5,resolved_buoyancy_flux,-0.00017037089128280059,Face,m^2 s^-3
factor1,penultimate_hour,150.0,resolved_buoyancy_flux,-0.00014604379975935444,Face,m^2 s^-3
factor1,penultimate_hour,162.5,resolved_buoyancy_flux,-0.00011987448669970036,Face,m^2 s^-3
factor1,penultimate_hour,175.0,resolved_buoyancy_flux,-8.84410910657607e-5,Face,m^2 s^-3
factor1,penultimate_hour,187.5,resolved_buoyancy_flux,-5.687899101758376e-5,Face,m^2 s^-3
factor1,penultimate_hour,200.0,resolved_buoyancy_flux,-2.6059599804284517e-5,Face,m^2 s^-3
factor1,penultimate_hour,212.5,resolved_buoyancy_flux,-6.814872449467657e-6,Face,m^2 s^-3
factor1,penultimate_hour,225.0,resolved_buoyancy_flux,-3.5007982148727024e-6,Face,m^2 s^-3
factor1,penultimate_hour,237.5,resolved_buoyancy_flux,-7.717039807175752e-8,Face,m^2 s^-3
factor1,penultimate_hour,250.0,resolved_buoyancy_flux,2.325363709587691e-6,Face,m^2 s^-3
factor1,penultimate_hour,262.5,resolved_buoyancy_flux,1.7389340882800752e-6,Face,m^2 s^-3
factor1,penultimate_hour,275.0,resolved_buoyancy_flux,4.6351431137736654e-7,Face,m^2 s^-3
factor1,penultimate_hour,287.5,resolved_buoyancy_flux,-4.510709459282225e-7,Face,m^2 s^-3
factor1,penultimate_hour,300.0,resolved_buoyancy_flux,-8.219828657729522e-7,Face,m^2 s^-3
factor1,penultimate_hour,312.5,resolved_buoyancy_flux,-4.935162394303916e-7,Face,m^2 s^-3
factor1,penultimate_hour,325.0,resolved_buoyancy_flux,-9.227869668393396e-8,Face,m^2 s^-3
factor1,penultimate_hour,337.5,resolved_buoyancy_flux,-2.9498096409952268e-8,Face,m^2 s^-3
factor1,penultimate_hour,350.0,resolved_buoyancy_flux,-1.9774829240759573e-7,Face,m^2 s^-3
factor1,penultimate_hour,362.5,resolved_buoyancy_flux,-2.511789034542744e-7,Face,m^2 s^-3
factor1,penultimate_hour,375.0,resolved_buoyancy_flux,-1.97949717062329e-7,Face,m^2 s^-3
factor1,penultimate_hour,387.5,resolved_buoyancy_flux,-9.22072702636001e-8,Face,m^2 s^-3
factor1,penultimate_hour,400.0,resolved_buoyancy_flux,0.0,Face,m^2 s^-3
factor1,penultimate_hour,6.25,resolved_tke,0.0691697932779789,Center,m^2 s^-2
factor1,penultimate_hour,18.75,resolved_tke,0.1599484607577324,Center,m^2 s^-2
factor1,penultimate_hour,31.25,resolved_tke,0.24826069176197052,Center,m^2 s^-2
factor1,penultimate_hour,43.75,resolved_tke,0.26929865777492523,Center,m^2 s^-2
factor1,penultimate_hour,56.25,resolved_tke,0.2628689259290695,Center,m^2 s^-2
factor1,penultimate_hour,68.75,resolved_tke,0.23533113300800323,Center,m^2 s^-2
