time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
26400,1,0,0,0.006800045775,147.8180003,0.08500057219,0.1016413444,2.632011033,3.652017913,0.3803726861,0.274250634
27000,1,0,0,0.007117326928,141.6668536,0.08896658661,0.102902099,2.708158524,3.775757576,0.3696643665,0.2652462069
27600,1,0,0,0.007099481796,141.45294,0.08874352245,0.1051679254,2.703875683,3.768797969,0.3701964817,0.2656843234
28200,1,0,0,0.007518798274,133.3514397,0.09398497842,0.1042921329,2.804511653,3.932331398,0.3567423558,0.2544686617
28800,1,0,0,0.007370735879,136.1447894,0.09213419849,0.1063348842,2.768976668,3.874587059,0.3614544909,0.2583905933
29400,1,0,0,0.006930903596,145.3586622,0.08663629495,0.1006220351,2.663416915,3.70305247,0.3759435196,0.2705241249
30000,1,0,0,0.006738017131,149.2738476,0.08422521414,0.09538077284,2.617124154,3.627826743,0.3823184001,0.2758644879
30600,1,0,0,0.007126796374,140.0604549,0.08908495467,0.09954648558,2.710431176,3.779450659,0.3690807216,0.2647209683
31200,1,0,0,0.00718668949,139.9365502,0.08983361863,0.1034239773,2.724805527,3.802808969,0.3671572041,0.2631170576
31800,1,0,0,0.007383340949,135.5598511,0.09229176186,0.1013600966,2.772001892,3.879503042,0.3608932347,0.2579028872
32400,1,0,0,0.007557698846,132.111065,0.09447123557,0.107029418,2.813847795,3.947502622,0.3555783153,0.253509375
