time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s,source_times_s
14400,307.29165649414062,buoyancy_mean,-0.00012073918818108116,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,317.70834350585938,buoyancy_mean,-0.00010937294913067792,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,328.125,buoyancy_mean,-9.7678963356884196e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,338.54165649414062,buoyancy_mean,-8.8801036326913163e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,348.95834350585938,buoyancy_mean,-7.6931206422159448e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,359.375,buoyancy_mean,-6.6052935532449439e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,369.79165649414062,buoyancy_mean,-5.4755722279272355e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,380.20834350585938,buoyancy_mean,-4.3146770622115582e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,390.625,buoyancy_mean,-2.8436769146840863e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,401.04165649414062,buoyancy_mean,-1.230497429105526e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,411.45834350585938,buoyancy_mean,1.1352123768422947e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,421.875,buoyancy_mean,4.6426691672725916e-05,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,432.29165649414062,buoyancy_mean,0.00011652493534105209,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,442.70834350585938,buoyancy_mean,0.00026662405677294981,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,453.125,buoyancy_mean,0.00070726563960003353,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,463.54165649414062,buoyancy_mean,0.0035166094700495401,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,473.95834350585938,buoyancy_mean,0.024846979416906834,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,484.375,buoyancy_mean,0.066950950771570206,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,494.79165649414062,buoyancy_mean,0.11051961779594421,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,505.20834350585938,buoyancy_mean,0.15318442384401956,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,515.625,buoyancy_mean,0.1954816629489263,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,526.04168701171875,buoyancy_mean,0.23660857975482941,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,536.45831298828125,buoyancy_mean,0.25477090974648792,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,546.875,buoyancy_mean,0.25629323720932007,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,557.29168701171875,buoyancy_mean,0.25729402403036755,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,567.70831298828125,buoyancy_mean,0.25828026731808978,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,578.125,buoyancy_mean,0.2592330127954483,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,588.54168701171875,buoyancy_mean,0.26020267109076184,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,598.95831298828125,buoyancy_mean,0.26117022832234699,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,609.375,buoyancy_mean,0.26213936507701874,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,619.79168701171875,buoyancy_mean,0.26310668389002484,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,630.20831298828125,buoyancy_mean,0.26407442986965179,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,640.625,buoyancy_mean,0.26503448685010272,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,651.04168701171875,buoyancy_mean,0.26600952943166095,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,661.45831298828125,buoyancy_mean,0.26697735985120136,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,671.875,buoyancy_mean,0.26794402798016864,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,682.29168701171875,buoyancy_mean,0.26891108353932697,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,692.70831298828125,buoyancy_mean,0.26987480620543164,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,703.125,buoyancy_mean,0.27084423104921979,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,713.54168701171875,buoyancy_mean,0.27181003987789154,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,723.95831298828125,buoyancy_mean,0.27277594308058423,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,734.375,buoyancy_mean,0.27374259134133655,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,744.79168701171875,buoyancy_mean,0.27470798293749493,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,755.20831298828125,buoyancy_mean,0.2756744772195816,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,765.625,buoyancy_mean,0.27663882573445636,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,776.04168701171875,buoyancy_mean,0.27760280172030133,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,786.45831298828125,buoyancy_mean,0.27856762707233429,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,796.875,buoyancy_mean,0.27953292926152545,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,807.29168701171875,buoyancy_mean,0.28049644827842712,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,817.70831298828125,buoyancy_mean,0.2814604789018631,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,828.125,buoyancy_mean,0.28242428104082745,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,838.54168701171875,buoyancy_mean,0.2833882023890813,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,848.95831298828125,buoyancy_mean,0.28435232738653821,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,859.375,buoyancy_mean,0.28531657656033832,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,869.79168701171875,buoyancy_mean,0.28627856572469074,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,880.20831298828125,buoyancy_mean,0.28724187612533569,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,890.625,buoyancy_mean,0.28820548454920453,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,901.04168701171875,buoyancy_mean,0.28916723032792407,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,911.45831298828125,buoyancy_mean,0.29012984037399292,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,921.875,buoyancy_mean,0.29109225173791248,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,932.29168701171875,buoyancy_mean,0.29205482204755145,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,942.70831298828125,buoyancy_mean,0.29301538566748303,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,953.125,buoyancy_mean,0.29397815465927124,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,963.54168701171875,buoyancy_mean,0.29493899146715802,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,973.95831298828125,buoyancy_mean,0.29590069254239398,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,984.375,buoyancy_mean,0.29686180750528973,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,994.79168701171875,buoyancy_mean,0.29782093564669293,Center,m s^-2,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
14400,0,density_at_w_faces,1.1614301204681396,Face,kg m^-3,equal_mean_of_six_preceding_600s_averages,10800,14400,11400.0;12000.0;12600.0;13200.0;13800.0;14400.0
