time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0.0,12.5,1,0.771470726,6.25,8,0,1,174239.922,1,0,8,11.875,0.00018174079,8.65454058e-06,-6.58795625e-06,1.32231128,-0.786996126,-0.595167041,0,0,0.446289062,-0.235159248,0,0.000751788844,0.000208185142,265,-0.000233989296,-0.000176954782,267.9375,264.950073,8,0,0,0
60.0,12.5070966,1,0.568395317,243.75,8.00000191,1.02886562e-11,1,44968.332,1,0.00934613682,8.04864788,11.8817418,0.000240998997,3.37907622e-05,-1.02090353e-05,1.32231128,-0.42720291,-0.323072881,-0.000636653276,-0.000481470051,0.318359375,-0.364414841,0,0.000996993738,0.000213296997,264.995833,-0.00036260183,-0.000274218211,267.937531,264.958344,8.04858398,0.0282095633,0.0481015816,0.000272428151
120.0,12.5462628,1,0.450104177,243.75,8.00000286,-1.86480453e-09,1,18897.4551,1,0.0794199333,8.20344448,11.9189497,0.000332223222,8.04845695e-05,-1.20635686e-05,1.32231128,-0.267887294,-0.202590197,-0.00158946635,-0.00120203639,0.196289062,-0.430613011,0,0.00137463992,0.000375076546,264.991667,-0.000428470667,-0.000324031629,267.937561,264.96225,8.2034111,0.074063018,0.0831356049,0.000815776177
180.0,12.6800932,1,0.373101443,243.75,8.00000381,-4.89526775e-09,1,9997.4668,1,0.322752297,8.38525772,12.0460886,0.000472700282,0.000153825516,-1.2987658e-05,1.32231128,-0.184055686,-0.139192402,-0.00244612526,-0.00184988615,0.078125,-0.463598669,0,0.00195635785,0.000648739981,264.9875,-0.00046129222,-0.000348852976,267.937408,264.964783,8.38522911,0.100220002,0.118777558,0.00148731295
240.0,12.9627912,1,0.31961605,243.75,8.00000381,-8.92191121e-09,1,5988.90039,1,0.845927477,8.66112709,12.3146516,0.000631821982,0.000259110588,-1.36294602e-05,1.32231128,-0.135042489,-0.102126099,-0.00318043143,-0.00240520621,0.0078125,-0.486508071,0,0.00261568744,0.00107263587,264.983333,-0.000484087621,-0.000366092019,267.937378,264.96875,8.66090679,0.13380903,0.144486204,0.00212543062
300.0,27.6755067,1,0.281042367,243.75,8.00000381,-1.37788385e-08,1,3959.60571,1,1.73447895,8.91188049,26.2917313,0.000960924895,0.000403427752,-1.40153334e-05,1.32231128,-0.104373433,-0.0789325759,-0.00379741378,-0.00287180021,0,-0.50028193,0,0.00398050901,0.0016696204,264.979167,-0.000497792964,-0.000376456708,267.937378,264.969666,8.91133499,0.192917228,0.156146213,0.0025681057
360.0,32.8517475,1,0.252117395,243.75,8.00000381,-1.9163954e-08,1,2786.74536,1,2.70183635,9.0796175,31.2091601,0.00137668778,0.000594287179,-1.43764346e-05,1.32231128,-0.0839385539,-0.0634786636,-0.00433302764,-0.00327685894,0,-0.513171554,0,0.00570707629,0.00246045273,264.975,-0.00051061844,-0.000386155996,267.937195,264.972473,9.07940006,0.334567845,0.213680744,0.00369940046
420.0,36.1129198,1,0.229482248,243.75,8.00000477,-2.43348808e-08,1,2044.0061,1,3.20478916,9.22892094,34.3072738,0.0018122039,0.000832519843,-1.47810424e-05,1.32231128,-0.0694729239,-0.0525390096,-0.0047584041,-0.00359855057,0,-0.527614176,0,0.00751852011,0.00344849355,264.970833,-0.000524989213,-0.00039702392,267.937195,264.974396,9.2283783,0.80304265,0.269584119,0.00641563907
480.0,38.0927597,1,0.218889832,243.75,8.00000477,-2.92234681e-08,1,1668.24792,1,5.92200136,9.3991766,36.1881217,0.0140251629,0.00114951446,-1.57165105e-05,1.32231128,-0.0631434768,-0.0477523543,-0.00517989043,-0.00391730014,0,-0.56100595,0,0.0595984384,0.00476769125,264.966667,-0.000558214902,-0.000422150915,267.93692,264.977722,9.3982811,1.18181312,0.433431983,0.0149499513
540.0,43.2388179,1,0.244176775,243.75,8.00000572,-3.34432322e-08,1,1842.39148,1,19.3821239,9.61391163,41.076877,0.0801298395,0.00200074748,-1.97547324e-05,1.32231128,-0.0786130726,-0.0594512597,-0.00596746523,-0.00451290514,0,-0.705151618,0,0.406238258,0.00853424985,264.9625,-0.00070164341,-0.000530618941,267.936829,264.97467,9.61064625,2.80287981,1.60464621,0.104592234
600.0,60.4892608,1,0.342437148,243.75,8.00000381,-3.78245026e-08,1,3016.87476,1,48.6355171,10.4913158,57.4647978,0.0235350057,0.00106273149,-3.3275559e-05,1.32231128,-0.154726133,-0.117011882,-0.0101463608,-0.00767320162,0,-1.18778193,0,0.102093861,0.0044342936,264.958333,-0.00118187256,-0.000893793011,267.936829,264.969849,10.4850502,3.35833883,2.09517431,0.332976282
660.0,81.4948254,1,0.399291456,243.75,8.00000286,-4.71172648e-08,1,3578.86841,1,44.913372,9.66894722,77.4200842,0.0220006965,0.000588521245,-4.44697143e-05,1.32231128,-0.210519344,-0.159205586,-0.011272531,-0.00852486957,0,-1.58736086,0,0.0951102972,0.00244339695,264.954167,-0.0015794636,-0.00119447184,267.936829,264.973785,9.65643692,4.37917519,2.05017281,0.282205343
720.0,105.676262,1,0.425159425,243.75,7.99999762,-2.51402611e-07,1,3711.28149,1,42.0785751,9.49293137,100.392449,0.00367779215,0.000479709473,-5.17692097e-05,1.32231128,-0.238878682,-0.18065238,-0.00826786924,-0.00625258917,0,-1.84791875,0,0.0153114805,0.00198606146,264.95,-0.00183872518,-0.00139053888,267.936798,264.969513,9.47819519,2.38316655,2.24570155,0.227312654
780.0,152.778308,1,0.427217543,368.75,7.99998283,5.79876875e-08,1,3494.87158,1,38.1384926,9.26886177,145.139393,0.0047984398,0.000503294752,-5.57771054e-05,1.32231128,-0.241223305,-0.182425514,-0.0075489888,-0.00570893474,0,-1.99098194,0,0.020019291,0.00208387012,264.945833,-0.00198107655,-0.00149819232,267.936829,264.968872,9.26037788,2.16971111,1.76386595,0.182790324
840.0,168.151933,1,0.416873634,368.75,7.9999795,6.42214033e-08,1,3136.18091,1,37.0841751,8.71034145,159.744336,0.00177078671,0.000526854885,-5.7750025e-05,1.32231128,-0.22959581,-0.17363219,-0.00959141646,-0.00725352392,0,-2.0614059,0,0.00734610716,0.00218098657,264.941667,-0.00205115019,-0.00155118562,267.936829,264.911346,8.68929958,1.95666409,1.45604849,0.145734549
900.0,126.05322,1,0.405224264,368.75,7.99997234,6.66980249e-09,1,2837.82788,1,38.527771,8.50014305,119.750559,0.00210208003,0.000577103696,-5.86192473e-05,1.32231128,-0.217010111,-0.164114237,-0.00728607364,-0.00551010482,0,-2.09243321,0,0.00872580055,0.0023892133,264.9375,-0.00208202307,-0.00157453329,267.936859,264.904419,8.47867012,2.20568943,1.49537158,0.139335036
960.0,129.804574,1,0.387655407,381.25,7.99995613,1.89801668e-07,1,2499.57397,1,37.2826042,9.16110897,123.314346,0.00421812339,0.000655719778,-5.82655121e-05,1.32231128,-0.198596776,-0.150189131,-0.00678355433,-0.00513007352,0,-2.07980657,0,0.0175788645,0.00271535013,264.933333,-0.0020694593,-0.00156503182,267.93692,264.951141,9.14233494,1.92349422,1.32748938,0.154727668
1020.0,190.735103,1,0.384433985,381.25,7.99993801,1.26777266e-07,1,2324.77075,1,38.795742,9.13164997,181.198348,0.00964416284,0.000709053944,-6.1097744e-05,1.32231128,-0.195370436,-0.1477492,-0.00456224103,-0.00345020206,0,-2.18090415,0,0.040617466,0.00293713529,264.929167,-0.00217005378,-0.00164110656,267.937134,264.948669,9.09172916,1.8068049,1.92123342,0.180077881
1080.0,205.951705,1,0.37937367,381.25,7.99990368,1.14908765e-07,1,2165.98901,1,38.3184776,8.62800789,195.65412,0.00369084952,0.000783918076,-6.30210052e-05,1.32231128,-0.190237612,-0.143867493,-0.00535008125,-0.00404600753,0,-2.24955535,0,0.0153662208,0.00324708293,264.925,-0.00223836349,-0.00169276597,267.937744,264.946259,8.61364651,1.94324064,1.72486079,0.150445819
1140.0,221.163812,1,0.36610657,381.25,7.99984789,2.13713491e-07,1,1906.38611,1,36.4863739,8.46371746,210.105621,0.00320755434,0.000852597528,-6.43504682e-05,1.32231128,-0.177124709,-0.133950844,-0.00624321122,-0.00472143851,0,-2.2970109,0,0.0133420136,0.00353180734,264.920833,-0.00228558294,-0.00172847568,267.937927,264.931946,8.46087456,2.09511662,1.49432445,0.143448174
1200.0,235.1875,1,0.355728954,393.75,7.99977827,2.66519896e-06,1,1695.87231,1,35.9950752,8.40695953,223.428125,0.00284010568,0.000945396547,-6.63597166e-05,1.32231128,-0.167211562,-0.126454011,-0.00627766829,-0.00474749645,0,-2.36873174,0,0.0118055129,0.00391695229,264.916667,-0.00235694693,-0.00178244489,267.938049,264.930725,8.38738632,2.15684772,1.35168779,0.136743948
1260.0,255.659509,1,0.349504411,393.75,7.99973536,3.81697737e-06,1,1580.9198,1,34.2602615,8.6086235,242.876533,0.00675474061,0.00108144851,-6.75131087e-05,1.32231128,-0.161453933,-0.122099794,-0.00478225388,-0.00361658703,0,-2.40990257,0,0.0282870661,0.00448319223,264.9125,-0.00239791302,-0.00181342557,267.938354,264.930817,8.60412216,2.53012037,1.35254288,0.122904189
1320.0,285.396261,1,0.343215227,393.75,7.99967051,5.58685588e-06,1,1477.08398,1,32.4463463,8.32711983,271.126448,0.00937313773,0.00115102436,-6.84280967e-05,1.32231128,-0.155700639,-0.117748857,-0.00443888409,-0.0033569131,0,-2.44256306,0,0.0394547023,0.00477280514,264.908333,-0.00243041106,-0.00183800224,267.939301,264.931488,8.31211758,2.31722832,1.41090155,0.119415581
1380.0,305.454839,1,0.343642443,393.75,7.99957275,8.56396855e-06,1,1380.29346,1,33.6836777,8.21250057,290.182097,0.00437986711,0.00119686511,-7.35002759e-05,1.32231128,-0.156019419,-0.117989935,-0.00643115398,-0.00486357044,0,-2.62361622,0,0.0182585083,0.00496170577,264.904167,-0.0026105633,-0.00197424274,267.941467,264.925873,8.21020603,2.097996,1.3576287,0.136258185
1440.0,139.666989,1,0.347265154,393.75,7.99943161,1.32285722e-05,1,1330.13135,1,35.0323639,8.48489285,132.68364,0.00686653005,0.0012705588,-7.8709847e-05,1.32231128,-0.159312576,-0.120480388,-0.00689216144,-0.00521220779,0,-2.80957389,0,0.0287614558,0.00526925083,264.9,-0.00279559591,-0.00211417372,267.944183,264.919128,8.40117264,1.73477817,1.39352703,0.117073372
1500.0,129.574934,1,0.352558285,393.75,7.99923468,1.96171895e-05,1,1294.07825,1,34.7730827,8.21286583,123.096188,0.0121098645,0.00129729509,-8.465883e-05,1.32231128,-0.164230406,-0.124199502,-0.00652004406,-0.00493079377,0,-3.0219245,0,0.0512567237,0.00538071105,264.895833,-0.00300688995,-0.00227396539,267.946655,264.921814,8.21188354,2.45320082,1.54676008,0.130293697
1560.0,129.97673,1,0.36117056,393.75,7.99895954,2.84570615e-05,1,1278.63232,1,35.2643967,8.26331329,123.477893,0.0094881095,0.00134918001,-9.21152168e-05,1.32231128,-0.172248989,-0.130263567,-0.00907349214,-0.0068618427,0,-3.2880826,0,0.0399478003,0.00559656788,264.891667,-0.0032717241,-0.00247424655,267.948334,264.927704,8.26268673,1.71580768,1.30235732,0.143514842
1620.0,129.042653,1,0.354706943,393.75,7.99856091,4.18164564e-05,1,1190.62781,1,33.9873428,8.27133942,122.590521,0.00395437563,0.00136963092,-9.37072182e-05,1.32231128,-0.166177601,-0.125672072,-0.0079834694,-0.0060375114,0,-3.34490967,0,0.0164715108,0.00567939924,264.8875,-0.00332826842,-0.00251700822,267.948761,264.91272,8.26911545,1.67126882,1.54120398,0.129445195
1680.0,136.650351,1,0.351324707,393.75,7.99802732,6.0350616e-05,1,1133.94348,1,36.0520287,8.21362114,129.817833,0.00991881359,0.00143439416,-9.56036965e-05,1.32231128,-0.163069785,-0.123321779,-0.00680278614,-0.00514461799,0,-3.41260505,0,0.0417971425,0.0059499084,264.883333,-0.00339562702,-0.00256794831,267.94696,264.916748,8.21180534,1.92065048,1.12474275,0.111074865
1740.0,153.871724,1,0.33803907,393.75,7.9974432,8.21340946e-05,1,1035.23462,1,37.0293121,8.24767876,146.178138,0.0718676597,0.00166967255,-9.32828771e-05,1.32231128,-0.150964946,-0.114167482,-0.00641210563,-0.00484916521,0,-3.32976246,0,0.354895651,0.00699292589,264.879167,-0.00331319659,-0.00250561023,267.946686,264.909607,8.24692154,1.98562384,1.15363717,0.130650759
1800.0,155.619189,1,0.333918035,393.75,7.99697685,0.000106933134,1,970.403687,1,38.8375511,8.30631638,147.83823,0.00979895331,0.00172151194,-9.59195677e-05,1.32231128,-0.147283062,-0.111383051,-0.00678715762,-0.00513279857,0,-3.4238801,0,0.0412821509,0.00714550074,264.875,-0.00340684596,-0.00257643266,267.946442,264.899475,8.30392075,1.95654917,1.21333694,0.117425375
1860.0,181.692061,1,0.333460748,393.75,7.99668217,0.000135964874,1,917.948608,1,36.7609787,8.34754181,172.607458,0.00692564994,0.00179149711,-0.000100984747,1.32231128,-0.146744609,-0.110975839,-0.00924953353,-0.00699497433,0,-3.60468364,0,0.0290124137,0.00743629783,264.870833,-0.00358674978,-0.00271248515,267.94754,264.905762,8.34206295,1.72476888,1.34253216,0.114940315
1920.0,226.651928,1,0.328193903,393.75,7.99643326,0.000166283557,1,867.118225,1,33.9486275,8.2665062,215.319331,0.0289655626,0.00194566976,-0.000101918551,1.32231128,-0.14213407,-0.107489116,-0.00914210826,-0.00691373367,0,-3.63801599,0,0.127234221,0.00808800943,264.866667,-0.0036199165,-0.00273756753,267.949402,264.889984,8.26514053,1.82204854,1.23070431,0.125604853
1980.0,134.6643,1,0.320624709,393.75,7.99607849,0.000196832203,1,802.532837,1,32.9336777,8.24600601,127.931085,0.008985308,0.00205879426,-0.000102675818,1.32231128,-0.135624886,-0.102566533,-0.00916030817,-0.00692749768,0,-3.66504669,0,0.0377930775,0.00855055172,264.8625,-0.00364681263,-0.00275790785,267.949188,264.900513,8.24596882,1.55028653,1.17341971,0.104836136
2040.0,129.553535,1,0.312514722,393.75,7.99561977,0.000226356802,1,739.718079,1,31.5107861,8.23691463,123.075858,0.00891091675,0.00218716939,-0.000103153798,1.32231128,-0.128738448,-0.0973586515,-0.0102281943,-0.007735088,0,-3.6821084,0,0.0374746695,0.00908526685,264.858333,-0.00366378948,-0.00277074659,267.948639,264.894043,8.2368145,1.62952852,1.28736615,0.101193845
2100.0,144.154446,1,0.309658349,393.75,7.99522305,0.000245010364,1,711.477905,1,32.1379395,8.22488499,136.946724,0.00688136881,0.00231346302,-0.000104334264,1.32231128,-0.126255095,-0.0954806134,-0.0116796754,-0.00883277319,0,-3.72424555,0,0.0288244411,0.00961263943,264.854167,-0.00370571692,-0.0028024544,267.95166,264.895294,8.22469807,1.67637539,1.21208048,0.0900978744
