time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0.0,1,1,1.982602,0.5,8,0,1,21984826,1,0,8,0.95,1.45392632e-05,1.45368224e-08,-8.86183386e-07,1.32231128,-5.19762278,-3.93071055,0,0,0.499774992,-0.0316326059,0,2.33996489e-05,5.87868453e-06,265,-3.14752288e-05,-2.38031917e-05,267.994995,264.950012,8,0,0,0
60.0,1.01444287,1,0.0661095753,7.5,8.00003052,4.12647495e-07,1,565.492493,1,0.011218966,8.40997314,0.963720726,0.00846016966,0.000633373857,-1.27733927e-06,1.32231128,-0.00573758688,-0.00433905935,-0.000691688911,-0.000523090828,0.000168750004,-0.0455950424,0,0.0138352923,0.00102087448,264.995833,-4.53682005e-05,-3.43097745e-05,267.996857,264.958344,8.40997219,0.0412301831,0.0497766286,0.000134256203
120.0,2.81530304,1,0.0453246869,60.5,8.00004578,-4.24492796e-08,1,109.497559,1,0.0559058376,9.09699726,2.67453789,1.18728447,0.00982266292,-2.12588611e-06,1.32231128,-0.00255296659,-0.00193068502,-0.000928178895,-0.000701936777,0,-0.0758842006,0.00165624998,10,0.0347703323,264.991667,-7.55066649e-05,-5.71020355e-05,267.997284,264.968323,9.09697533,0.519809008,0.252613664,0.000734047149
180.0,12.1373784,1,0.466982335,60.5,8.0000267,1.35107612e-07,1,29867.7031,1,4.84189939,9.99417973,11.5305095,0.019077003,1.79893796e-05,-8.52392168e-06,1.32231128,-0.288359106,-0.218072027,-0.000596571481,-0.000451158121,0.0228374992,-0.304264188,0,0.0318923704,2.9387078e-05,264.9875,-0.000302750443,-0.000228955498,267.997711,264.972321,9.97415161,3.31100512,2.68199158,0.264097989
240.0,20.9556056,1,0.417760402,182.5,8.0000248,-8.85863926e-07,1,16681.2852,1,6.64695406,9.2533741,19.9078253,0.0126130469,3.10346477e-05,-1.0926783e-05,1.32231128,-0.230770826,-0.174520805,-0.00134341686,-0.00101596117,0.0253625009,-0.390035063,0,0.0207998622,5.07508266e-05,264.983333,-0.000388094602,-0.000293497171,267.998199,264.97644,9.16882133,3.50833321,2.60368538,0.21973753
300.0,28.2571476,1,0.394418836,182.5,8.00003529,-2.11162182e-06,1,12035.6562,1,8.03252983,9.05164528,26.8442902,0.0185178593,4.40721051e-05,-1.27450976e-05,1.32231128,-0.20569019,-0.155553535,-0.00262551289,-0.0019855483,0.0252437498,-0.454940408,0,0.0309200734,7.22210825e-05,264.979167,-0.000452677021,-0.000342337706,267.998627,264.973419,8.99389267,2.93794727,2.52038479,0.204594269
360.0,33.9209885,1,0.379667491,182.5,8.00004387,-2.61423338e-06,1,9379.90039,1,8.97151661,8.81489754,32.2249391,0.0319718011,5.49416764e-05,-1.45865297e-05,1.32231128,-0.190594062,-0.144137055,-0.00228401087,-0.00172728684,0.0285812505,-0.52067095,0,0.0550526008,9.04567278e-05,264.975,-0.000518080546,-0.000391799229,267.99884,264.967743,8.80920601,2.72257805,2.41611338,0.190543845
420.0,40.3478719,1,0.365914047,182.5,8.00004387,-2.70325654e-06,1,7535.15088,1,10.1497869,8.68321323,38.3304783,0.0377527811,6.89752487e-05,-1.62549368e-05,1.32231128,-0.177031085,-0.133880034,-0.0024719208,-0.00186939398,0.0298250001,-0.580225229,0,0.0659371018,0.000113322982,264.970833,-0.000577338564,-0.000436613191,267.999725,264.96286,8.67333031,2.80708671,2.40808249,0.185184166
480.0,46.328418,1,0.355107963,182.5,8.00003433,-3.42000703e-06,1,6245.18555,1,10.6687775,8.79884911,44.0119971,0.144223467,8.26116593e-05,-1.79256913e-05,1.32231128,-0.166727126,-0.126087651,-0.0024848138,-0.00187914434,0.0316562504,-0.639863372,0,0.366137475,0.000137319774,264.966667,-0.000636679993,-0.00048149025,268.001129,264.957916,8.7968626,2.9217329,2.37212467,0.176255897
540.0,50.9018701,1,0.347261846,399.5,8.00006294,-3.87926526e-08,1,5347.85596,1,11.2155638,8.61045361,48.3567766,0.143074661,9.74197246e-05,-1.95763405e-05,1.32231128,-0.159414753,-0.120557658,-0.00373818027,-0.00282700476,0.0317812487,-0.698783875,0,0.361268669,0.000161422198,264.9625,-0.000695307332,-0.000525827287,268.00238,264.952698,8.59207535,3.08163786,2.60541391,0.169061616
600.0,55.472905,1,0.344126284,399.5,8.0001421,-1.48965071e-07,1,4723.57422,1,12.490386,8.58334923,52.6992598,0.14443782,0.000109559915,-2.15686414e-05,1.32231128,-0.156570211,-0.118406467,-0.00260859868,-0.00197275681,0.0324500017,-0.769899666,0,0.367052048,0.000181862575,264.958333,-0.000766069337,-0.00057934114,268.002655,264.945282,8.56760979,3.19754362,2.04350519,0.16136612
660.0,60.839413,1,0.335379452,399.5,8.00020695,-3.34243964e-07,1,4138.93994,1,13.0832119,8.65204906,57.7974423,0.082796596,0.000123079648,-2.27855853e-05,1.32231128,-0.14868404,-0.112442538,-0.00380629511,-0.00287851668,0.0344062485,-0.813338935,0,0.164809912,0.000203239222,264.954167,-0.000809292484,-0.0006120287,268.003235,264.942505,8.65101242,2.72250772,2.08643818,0.160989836
720.0,65.2600341,1,0.332930416,399.5,8.00030231,-5.96100563e-07,1,3735.56226,1,13.2980585,8.65815067,61.9970324,0.0705166534,0.000134207352,-2.46970139e-05,1.32231128,-0.146538988,-0.110820338,-0.00294073182,-0.00222393312,0.0349875018,-0.881567895,0,0.134965986,0.000222567483,264.95,-0.000877181999,-0.000663370301,268.004791,264.933685,8.65155411,2.66168261,2.34492397,0.153235927
780.0,70.0081029,1,0.321886927,399.5,8.00043774,-9.817918e-07,1,3280.85767,1,13.6538115,8.68611908,66.5076977,0.0601428375,0.000151135973,-2.54133938e-05,1.32231128,-0.136958465,-0.103575058,-0.00361776422,-0.00273593981,0.0339312516,-0.907139361,0,0.1115954,0.000250172394,264.945833,-0.000902626256,-0.000682612532,268.005341,264.92984,8.65251541,2.71226239,2.36357737,0.145664528
840.0,73.8551501,1,0.318937063,399.5,8.00056362,-1.5004216e-06,1,2967.92676,1,14.8393326,8.58839035,70.1623926,0.0756807178,0.000166648751,-2.73276182e-05,1.32231128,-0.134448469,-0.101676866,-0.00395507319,-0.00299103046,0.0353312492,-0.975468278,0,0.147209585,0.000277671206,264.941667,-0.00097061519,-0.00073402928,268.005646,264.923157,8.56898308,2.64787674,2.41019559,0.149633586
900.0,77.9092282,1,0.317146212,399.5,8.00069427,-2.1576484e-06,1,2746.9751,1,15.7159758,8.64096165,74.0137667,0.104124114,0.000183009455,-2.90311273e-05,1.32231128,-0.132949397,-0.100543194,-0.00368045759,-0.00278335181,0.0351375006,-1.03627551,0,0.223406255,0.000303343491,264.9375,-0.00103111996,-0.000779786089,268.006744,264.918671,8.63420582,2.71409607,2.24157715,0.146015525
960.0,81.1400097,1,0.315768808,399.5,8.00082397,-2.94551819e-06,1,2538.34912,1,16.3578892,8.86762428,77.0830092,0.503671408,0.000203714488,-3.10096111e-05,1.32231128,-0.131773248,-0.0996537283,-0.00442686863,-0.00334782642,0.0366312489,-1.10689819,6.24999984e-06,10,0.000396026386,264.933333,-0.00110139127,-0.000832928868,268.007446,264.911316,8.86233902,2.78762484,2.4985528,0.147649214
