time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length,obukhov_length_valid,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_neutral_fallback_fraction,surface_sensible_heat_flux,surface_stability_cap_fraction,surface_stability_parameter_maximum,surface_stability_parameter_mean,surface_temperature,surface_theta_dynamic_flux,surface_theta_kinematic_flux,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0.0,6.25,1,0.926948965,3.125,8,0,1,1136814.5,1,0,8,5.9375,9.08703951e-05,8.02945692e-07,-1.75153104e-06,1.32231128,-1.13617527,-0.859234333,0,0,0.491943359,-0.0625214726,0,0.000312824937,7.96407257e-05,265,-6.22104199e-05,-4.70467276e-05,267.96875,264.950012,8,0,0,0
60.0,6.25518934,1,0.456362009,59.375,8.00000668,-3.4481189e-09,1,39274.2031,1,0.0143147726,8.14095211,5.94242988,0.00018240104,2.33904611e-05,-6.05007926e-06,1.32231128,-0.275390297,-0.208264351,-0.00118435291,-0.000895668752,0.344238281,-0.215959549,0,0.000628036389,0.000122703786,264.995833,-0.00021488512,-0.000162507218,267.96875,264.955536,8.14091587,0.0341512188,0.0519906953,0.000227176817
120.0,6.28150894,1,0.30303216,59.375,8.0000124,1.11956808e-07,1,10023.6006,1,0.0897527114,8.47068405,5.96743349,0.000342853542,9.08844522e-05,-6.94036635e-06,1.32231128,-0.121407948,-0.0918149501,-0.00208552089,-0.00157717848,0.110107422,-0.247738659,0,0.00118083286,0.000324996538,264.991667,-0.000246506126,-0.000186420642,267.96875,264.962646,8.47062302,0.067145586,0.0952718109,0.000701430021
180.0,6.37621252,1,0.227636829,46.875,8.00001812,2.77504041e-05,1,4075.90796,1,0.254461974,8.71886444,6.0574019,0.000571425131,0.000227729557,-7.2350781e-06,1.32231128,-0.0684696883,-0.0517803095,-0.00263108336,-0.0019897609,0.00170898438,-0.258258492,0,0.00196888577,0.000784285599,264.9875,-0.00025697361,-0.000194336695,267.968781,264.963531,8.7188015,0.110160321,0.122269362,0.0012237085
240.0,6.53002753,1,0.183683008,46.875,8.00008392,4.34896574e-05,1,2105.17969,1,0.545860767,8.84737873,6.20352616,0.00113730354,0.000462155323,-7.35966023e-06,1.32231128,-0.0445130654,-0.0336630754,-0.00300007453,-0.00226881122,0,-0.262705475,0,0.0039226925,0.0015922247,264.983333,-0.000261398469,-0.00019768301,267.96875,264.972137,8.84675598,0.218098894,0.139706984,0.00166005339
300.0,17.3096439,1,0.154889315,46.875,8.0001812,5.59268119e-05,1,1237.36914,1,0.727312386,9.21271706,16.4441617,0.00233159284,0.000822961272,-7.50766867e-06,1.32231128,-0.0315519422,-0.0238612071,-0.00329162646,-0.00248929765,0,-0.267988682,0,0.0080596013,0.00283741765,264.979167,-0.000266655406,-0.000201658579,267.96875,264.97403,9.2120676,0.533187032,0.205465272,0.00269050058
360.0,18.9931403,1,0.151157185,46.875,8.00029087,7.4158037e-05,1,1023.39441,1,2.37322235,9.45571136,18.0434833,0.138420194,0.00195253897,-8.4369085e-06,1.32231128,-0.0299843904,-0.0226757433,-0.00370820146,-0.00280433311,0,-0.30115822,0,0.731621146,0.00698507763,264.975,-0.000299659907,-0.000226618286,267.96875,264.979919,9.44722748,2.01027679,0.689116716,0.0111021968
420.0,32.6922745,1,0.325393707,153.125,8.00002766,-1.29745331e-07,1,3712.04419,1,29.1800957,11.251358,31.0576608,0.0932360739,0.000871592609,-2.32035454e-05,1.32231128,-0.139847219,-0.10575968,-0.00670207804,-0.00506845722,0,-0.828258097,0,0.411290109,0.00308631151,264.970833,-0.000824137416,-0.000623255211,267.968597,264.977722,11.2218847,4.0412302,3.26181316,0.348227143
480.0,57.6706132,1,0.447825313,184.375,8.00001907,-9.67909273e-08,1,6124.22461,1,25.8780746,9.46754265,54.7870826,0.00762134092,0.000202114898,-3.66618842e-05,1.32231128,-0.265151858,-0.200521514,-0.00427018013,-0.00322933053,0,-1.308658,0,0.0266111717,0.000696294592,264.966667,-0.00130214728,-0.000984750921,267.968597,264.973022,9.46376991,3.09720612,2.49078703,0.287107527
540.0,73.8650818,1,0.426050186,284.375,7.99999666,-2.04195292e-08,1,5164.91504,1,20.5050087,9.02593613,70.1718277,0.00355521752,0.000207806763,-3.74333868e-05,1.32231128,-0.239929944,-0.181447402,-0.00673022494,-0.00508974306,0,-1.3361969,0,0.0123173241,0.000715693226,264.9625,-0.00132954912,-0.00100547366,267.968597,264.969208,9.01709175,2.46747255,1.78275228,0.174618885
