time_s,q_t_8gkg_entrainment_m_s,q_t_derivative_valid,theta_li_295_entrainment_m_s,theta_li_derivative_valid
0.0,0.00155315918,true,0.00227923515,true
60.0,0.00154212028,true,0.00225360745,true
120.0,0.00152090405,true,0.00219999387,true
180.0,0.00151138165,true,0.00214229868,true
240.0,0.0015847658,true,0.002146134,true
300.0,0.000608886614,true,0.00266725738,true
360.0,0.00648881825,true,0.00469413411,true
420.0,0.0068054617,true,0.00382965428,true
480.0,0.00230040296,true,0.00279115959,true
540.0,0.00399492258,true,0.00374404302,true
600.0,0.0025393323,true,0.00337634648,true
660.0,0.00125671575,true,0.00354679718,true
720.0,0.0015863354,true,0.00406164395,true
780.0,0.00229463073,true,0.00501866254,true
840.0,0.00191147514,true,0.00597237571,true
900.0,0.00164201838,true,0.00707885073,true
960.0,0.00240365951,true,0.0082980558,true
1020.0,0.00311263399,true,0.00860755294,true
1080.0,0.00303637804,true,0.00812198135,true
1140.0,0.00296406819,true,0.00759151743,true
1200.0,0.00343150126,true,0.00725676867,true
1260.0,0.00373731109,true,0.0070511659,true
1320.0,0.00420335584,true,0.00699301691,true
1380.0,0.00449869418,true,0.00719072825,true
1440.0,0.00468614446,true,0.00739410176,true
1500.0,0.005070068,true,0.00760309397,true
1560.0,0.00527345827,true,0.00787522565,true
1620.0,0.00519513183,true,0.0079363296,true
1680.0,0.00547427195,true,0.00802233106,true
1740.0,0.00590367998,true,0.00812721509,true
1800.0,0.00584579381,true,0.00806016672,true
1860.0,0.0057584112,true,0.00814365778,true
1920.0,0.00499196899,true,0.00861833351,true
1980.0,0.00396531707,true,0.00924219879,true
2040.0,0.0026714759,true,0.00995417452,true
2100.0,0.00237971534,true,0.0105524196,true
2160.0,0.00272351972,true,0.0108445385,true
2220.0,0.0028789964,true,0.011278628,true
2280.0,0.00350566703,true,0.0113934308,true
2340.0,0.004510323,true,0.011241125,true
2400.0,0.00571371928,true,0.0110023632,true
2460.0,0.00579830294,true,0.0109262431,true
2520.0,0.00558622998,true,0.0111055371,true
2580.0,0.0057582017,true,0.0111047735,true
2640.0,0.00587223533,true,0.0110984178,true
2700.0,0.00629551948,true,0.0110564518,true
2760.0,0.00724999397,true,0.0109885327,true
2820.0,0.00828456746,true,0.0112125469,true
2880.0,0.00835195414,true,0.0111777884,true
2940.0,0.00852087542,true,0.0104959227,true
3000.0,0.00930956972,true,0.0101124477,true
3060.0,0.0104075969,true,0.0101429942,true
3120.0,0.0105442172,true,0.0099990951,true
3180.0,0.0100187699,true,0.00961809745,true
3240.0,0.0106007096,true,0.00928939493,true
3300.0,0.0112016221,true,0.00890824874,true
3360.0,0.0104181699,true,0.00865719393,true
3420.0,0.0104241448,true,0.00820167477,true
3480.0,0.0115587244,true,0.00786699971,true
3540.0,0.0111445752,true,0.00777652318,true
3600.0,0.0110363935,true,0.00750792833,true
3660.0,0.0110306217,true,0.00750074521,true
3720.0,0.010891919,true,0.00728402659,true
3780.0,0.0107284099,true,0.00712466623,true
3840.0,0.0108525926,true,0.00695670364,true
3900.0,0.0108712269,true,0.00680642257,true
3960.0,0.0104262643,true,0.00680623868,true
4020.0,0.0103383947,true,0.0067709067,true
4080.0,0.00993713371,true,0.00685462989,true
4140.0,0.00980025472,true,0.00677762786,true
4200.0,0.00948997558,true,0.00688267834,true
4260.0,0.00834587621,true,0.00696085426,true
4320.0,0.00837433537,true,0.00677042765,true
4380.0,0.00850791763,true,0.00663743759,true
4440.0,0.00789658442,true,0.00691793874,true
4500.0,0.00737783218,true,0.00714263885,true
4560.0,0.00666504842,true,0.00715112564,true
4620.0,0.00637790865,true,0.00714643872,true
4680.0,0.00638521019,true,0.00722358754,true
4740.0,0.00610112515,true,0.00733490175,true
4800.0,0.00611135027,true,0.00726103823,true
4860.0,0.00632114573,true,0.00723448107,true
4920.0,0.00635079272,true,0.00711788057,true
4980.0,0.0064578587,true,0.00706380472,true
5040.0,0.00640820783,true,0.00720759618,true
5100.0,0.00631790415,true,0.00718003321,true
