time_s,q_t_min,q_t_max
0.0,0.00150000001,0.00899999961
60.0,0.0013471886,0.00944241602
120.0,0.00119294564,0.00984359719
180.0,0.00103234232,0.010170714
240.0,0.000797166955,0.0107356813
300.0,0.000487326528,0.011145656
360.0,1.38510295e-05,0.0112802312
420.0,-0.00136788876,0.0109946132
480.0,-0.000544175506,0.010788545
540.0,-0.00106560031,0.0114231668
600.0,-0.00131713494,0.0116205849
660.0,-0.00194607303,0.0121737802
720.0,-0.00245428225,0.012143719
780.0,-0.00284802099,0.0124515062
840.0,-0.00315717724,0.0125113474
900.0,-0.0032535533,0.0133576719
960.0,-0.00332503091,0.0131513206
1020.0,-0.00309816399,0.0143054491
1080.0,-0.00361324684,0.0142029524
1140.0,-0.00260767201,0.0145178875
1200.0,-0.00325889373,0.0144516649
1260.0,-0.00378207932,0.0145040471
1320.0,-0.00303384964,0.0138997296
1380.0,-0.00381111563,0.0133975595
1440.0,-0.00422658492,0.0141843567
1500.0,-0.00382399024,0.0142328786
1560.0,-0.00422570994,0.014636104
1620.0,-0.00520444941,0.0149789425
1680.0,-0.00424418505,0.0149267903
1740.0,-0.00447368063,0.0145449182
1800.0,-0.00536763016,0.0151339713
1860.0,-0.00635731779,0.015602706
1920.0,-0.00547055341,0.0156388171
1980.0,-0.00577368075,0.014791077
2040.0,-0.00582184223,0.0163501129
2100.0,-0.00740070874,0.0151947327
2160.0,-0.00695439894,0.015937224
2220.0,-0.00539569836,0.0164108668
2280.0,-0.00482114963,0.0161944013
2340.0,-0.00584923243,0.0150815751
2400.0,-0.00572087336,0.0153020294
2460.0,-0.00636981428,0.0167667996
2520.0,-0.00556859234,0.0162698738
2580.0,-0.0051470683,0.0159782358
2640.0,-0.00692640152,0.0162508152
2700.0,-0.00514071435,0.0180746019
2760.0,-0.00642551947,0.0155827394
2820.0,-0.00576575194,0.0164032318
2880.0,-0.0054154573,0.0156488381
2940.0,-0.00700744381,0.0153061133
3000.0,-0.00671587931,0.0157582331
3060.0,-0.00584199233,0.0164513793
3120.0,-0.0053878352,0.0150129693
3180.0,-0.00584903359,0.0158762652
3240.0,-0.00651878025,0.016671842
3300.0,-0.00546162901,0.0150081972
3360.0,-0.00656189583,0.0147586288
3420.0,-0.00536837149,0.0143416459
3480.0,-0.00481980806,0.0151766324
3540.0,-0.00536120217,0.0141589465
3600.0,-0.00414341548,0.0146381045
3660.0,-0.00668435218,0.0155713176
3720.0,-0.00534259388,0.016304208
3780.0,-0.00570926396,0.0141381631
3840.0,-0.00729401782,0.0144228274
3900.0,-0.00586098805,0.0139095187
3960.0,-0.00491196336,0.015133637
4020.0,-0.00540608307,0.0134758744
4080.0,-0.00657443097,0.014823122
4140.0,-0.00410788739,0.0143650351
4200.0,-0.004794701,0.0143056605
4260.0,-0.00519372616,0.0141835567
4320.0,-0.00510607474,0.0158669632
4380.0,-0.00525427843,0.0153809609
4440.0,-0.00468413159,0.0147114489
4500.0,-0.00512497267,0.014264958
4560.0,-0.00497412728,0.0139536373
4620.0,-0.0053217262,0.0146886129
4680.0,-0.00599995069,0.0148296505
4740.0,-0.00699146604,0.0168537032
4800.0,-0.00581379421,0.0158836674
4860.0,-0.005294526,0.0153428568
4920.0,-0.00558874942,0.0152150095
4980.0,-0.00452296995,0.0163236912
5040.0,-0.00396216195,0.0147362389
5100.0,-0.005501315,0.0150920982
5160.0,-0.00584917841,0.0141992606
5220.0,-0.00463173026,0.0146641461
5280.0,-0.00501511339,0.0144269159
5340.0,-0.00461897627,0.0153381051
5400.0,-0.00543644885,0.0152376993
5460.0,-0.00466676243,0.0141231976
5520.0,-0.00551581336,0.0161423441
5580.0,-0.00491507445,0.0149998199
5640.0,-0.00478468183,0.0155779142
5700.0,-0.0055304328,0.0151416427
5760.0,-0.00500023551,0.0142791737
5820.0,-0.00542859547,0.0158152636
5880.0,-0.00587413693,0.0152620077
5940.0,-0.00692848209,0.0158090126
6000.0,-0.00531060481,0.0154637583
6060.0,-0.00385217019,0.0150252786
6120.0,-0.00556398416,0.0152281625
6180.0,-0.00608128682,0.0153975086
6240.0,-0.0053883451,0.0154509852
6300.0,-0.00486684591,0.0152758025
6360.0,-0.00497531099,0.0154212238
6420.0,-0.00503468607,0.0154849924
6480.0,-0.00503931893,0.0169025715
6540.0,-0.00557300495,0.0152622601
6600.0,-0.00607753918,0.0149938576
6660.0,-0.00447558146,0.0156381465
6720.0,-0.00573607208,0.0150167486
6780.0,-0.00543917157,0.0148315364
6840.0,-0.00507412152,0.0153060714
6900.0,-0.00548425503,0.0146269342
6960.0,-0.00462208455,0.0158662964
7020.0,-0.00683133956,0.0161983538
7080.0,-0.00468258653,0.015208126
7140.0,-0.00516036758,0.0168358386
7200.0,-0.00451559527,0.0157078318
7260.0,-0.0070517459,0.015338215
7320.0,-0.0049569034,0.0153994355
7380.0,-0.00511701358,0.0146298697
7440.0,-0.00388107332,0.0173460543
7500.0,-0.004257611,0.0151041886
7560.0,-0.00535957515,0.0150514469
7620.0,-0.00493125105,0.0153959207
7680.0,-0.00426460803,0.0143844951
7740.0,-0.00370707689,0.0134739513
7800.0,-0.00336456206,0.0136968791
7860.0,-0.0048209168,0.0167895705
7920.0,-0.00439359294,0.0147099411
7980.0,-0.00572139816,0.0152129028
8040.0,-0.00414424576,0.0140997693
8100.0,-0.00454459526,0.0160800852
8160.0,-0.00486982288,0.014984074
8220.0,-0.00492578093,0.0142580932
8280.0,-0.00579990586,0.0154732903
8340.0,-0.00492076622,0.0154230278
8400.0,-0.004829966,0.0142430337
8460.0,-0.00431299349,0.0150292981
8520.0,-0.00481072208,0.0149206445
8580.0,-0.00438292511,0.0147515871
8640.0,-0.00608138088,0.0142404949
8700.0,-0.00564146088,0.0140107246
8760.0,-0.00400049333,0.0140324049
8820.0,-0.0041272128,0.0135001391
8880.0,-0.00403143186,0.0132798338
8940.0,-0.00444728462,0.0149790626
9000.0,-0.00384868495,0.0138167832
9060.0,-0.00364781893,0.014306833
9120.0,-0.00428433344,0.0148710702
9180.0,-0.00494536571,0.0137352226
9240.0,-0.00472500036,0.0146994535
9300.0,-0.00591983786,0.0139641892
9360.0,-0.00448731892,0.0142408349
9420.0,-0.00469381781,0.0147138592
9480.0,-0.00636494439,0.0169463232
9540.0,-0.00485897297,0.0147410212
9600.0,-0.00484570395,0.0169706922
9660.0,-0.0056196237,0.0143519938
9720.0,-0.00461324956,0.014031182
9780.0,-0.00698304037,0.0172831304
9840.0,-0.00616165577,0.0142137352
9900.0,-0.00487332558,0.0143052777
9960.0,-0.00421648333,0.0151681975
10020.0,-0.00646339916,0.0145349167
10080.0,-0.00506890146,0.0149437413
10140.0,-0.00494088372,0.0143823549
10200.0,-0.00407342892,0.0141050182
10260.0,-0.00541648455,0.0147807449
10320.0,-0.00569358282,0.0148670292
10380.0,-0.00500470959,0.0146324215
10440.0,-0.00538589386,0.0143334968
