time_s,q_t_8gkg_entrainment_m_s,q_t_derivative_valid,theta_li_295_entrainment_m_s,theta_li_derivative_valid
0.0,0.00153762044,true,0.0034212559,true
60.0,0.00152963445,true,0.00341673823,true
120.0,0.00151605013,true,0.00340865811,true
180.0,0.00149890292,true,0.0034005764,true
240.0,0.00146598325,true,0.00339503575,true
300.0,0.00139388974,true,0.00339356366,true
360.0,0.00124954864,true,0.00339768623,true
420.0,0.000937318748,true,0.00340994888,true
480.0,3.24410223e-05,true,0.0034171287,true
540.0,-0.00121098196,true,0.00340498049,true
600.0,-0.00259300169,true,0.00336790433,true
660.0,-0.00393927997,true,0.00330894579,true
720.0,-0.00514948054,true,0.0032509894,true
780.0,-0.0067796075,true,0.00319912554,true
840.0,-0.00846407181,true,0.00314063718,true
900.0,-0.0101356458,true,0.00308823837,true
960.0,-0.0117216789,true,0.00308872708,true
1020.0,-0.0122688838,true,0.00320620969,true
1080.0,-0.0115083599,true,0.00356736732,true
1140.0,-0.00854569946,true,0.00425009625,true
1200.0,-0.00267723285,true,0.00514256691,true
1260.0,0.00398120488,true,0.00606627754,true
1320.0,0.00934912798,true,0.00675316996,true
1380.0,0.0122771724,true,0.00705564801,true
1440.0,0.0118063651,true,0.00708807411,true
1500.0,0.00937124097,true,0.00694907872,true
1560.0,0.00706523061,true,0.00672102521,true
1620.0,0.00570633878,true,0.00640187311,true
1680.0,0.00393072248,true,0.0059951478,true
1740.0,0.00205223256,true,0.00558425964,true
1800.0,0.00094410596,true,0.00531010063,true
1860.0,-0.000379971163,true,0.00542399121,true
1920.0,-0.00143121854,true,0.00595758181,true
1980.0,-0.00220746915,true,0.00686110028,true
2040.0,-0.00259886841,true,0.00810920847,true
2100.0,-0.00195317543,true,0.00960583781,true
2160.0,-0.00101320852,true,0.0108159633,true
2220.0,0.000267673516,true,0.0115985165,true
2280.0,0.0016024026,true,0.0119758635,true
2340.0,0.00174863154,true,0.0122901408,true
2400.0,0.00208651899,true,0.0126950941,true
2460.0,0.0034505515,true,0.0124907538,true
2520.0,0.00461760505,true,0.0115594529,true
2580.0,0.00516632604,true,0.0101695933,true
2640.0,0.00516938072,true,0.00892435241,true
2700.0,0.00488039533,true,0.00795863484,true
2760.0,0.00516001248,true,0.00696574607,true
2820.0,0.00578515421,true,0.00605298703,true
2880.0,0.00649229853,true,0.00555712371,true
2940.0,0.00669051208,true,0.00521838038,true
3000.0,0.00654172714,true,0.00480679636,true
3060.0,0.00657507848,true,0.00459502421,true
3120.0,0.00648123983,true,0.00438018313,true
3180.0,0.00627142522,true,0.00413881383,true
3240.0,0.00643231359,true,0.00403474456,true
3300.0,0.00696211372,true,0.00401508941,true
3360.0,0.00696861773,true,0.00407377164,true
3420.0,0.00690637937,true,0.00407550511,true
3480.0,0.00713817645,true,0.00390327168,true
3540.0,0.00722150912,true,0.0037894694,true
3600.0,0.00704949399,true,0.00406121546,true
3660.0,0.00678942609,true,0.00439716105,true
3720.0,0.0068232872,true,0.00440355524,true
3780.0,0.00704541191,true,0.00447857828,true
3840.0,0.00681590416,true,0.00476220746,true
3900.0,0.00639705604,true,0.00496044555,true
3960.0,0.00640895696,true,0.00502189407,true
4020.0,0.00662742264,true,0.00497042411,true
4080.0,0.00664043876,true,0.00506338412,true
4140.0,0.00641030154,true,0.0052708466,true
4200.0,0.00625078944,true,0.00535423586,true
4260.0,0.00604245104,true,0.00546102765,true
4320.0,0.00569821352,true,0.00562381045,true
4380.0,0.00511740549,true,0.00564827779,true
4440.0,0.00442398872,true,0.00557710324,true
4500.0,0.00452595362,true,0.00556033958,true
4560.0,0.00484373171,true,0.00564632278,true
4620.0,0.00487259725,true,0.00572827107,true
4680.0,0.00494116127,true,0.00583514457,true
4740.0,0.00476965871,true,0.00603870239,true
4800.0,0.00450194338,true,0.0062479011,true
4860.0,0.00434303586,true,0.00636864667,true
4920.0,0.00509962227,true,0.00624881818,true
4980.0,0.00585759969,true,0.00637866478,true
5040.0,0.00523716687,true,0.00689722043,true
5100.0,0.0042441731,true,0.00716818951,true
5160.0,0.00410292788,true,0.0070795669,true
5220.0,0.00499077054,true,0.00704125091,true
5280.0,0.00590786743,true,0.00703704264,true
5340.0,0.00579819773,true,0.0067500061,true
5400.0,0.00600825439,true,0.0063535174,true
5460.0,0.00615655253,true,0.00609376792,true
5520.0,0.00584838536,true,0.00592706113,true
5580.0,0.0055214876,true,0.00586763511,true
5640.0,0.00471675377,true,0.00585908409,true
5700.0,0.0047572305,true,0.00569691144,true
5760.0,0.00502724212,true,0.00546296572,true
5820.0,0.00538573161,true,0.00518116038,true
5880.0,0.00578306094,true,0.00486977643,true
5940.0,0.00604458132,true,0.00461071896,true
6000.0,0.00613583503,true,0.00436228795,true
6060.0,0.0058740197,true,0.00422773201,true
6120.0,0.00623065824,true,0.00425491579,true
6180.0,0.00668514895,true,0.00424142504,true
6240.0,0.00666103055,true,0.00416840326,true
6300.0,0.00625694885,true,0.0042408374,true
6360.0,0.00599613703,true,0.004316367,true
6420.0,0.00638437746,true,0.00422963498,true
6480.0,0.0065830296,true,0.00427409924,true
6540.0,0.00647748293,true,0.00447425237,true
6600.0,0.00628037597,true,0.00456712608,true
6660.0,0.00612591214,true,0.00443976552,true
6720.0,0.00606402997,true,0.00424317342,true
6780.0,0.00542685163,true,0.00444124511,true
6840.0,0.00533772524,true,0.00473251467,true
6900.0,0.00609922895,true,0.00457722201,true
6960.0,0.00585378807,true,0.004421339,true
7020.0,0.00524646761,true,0.00464693717,true
7080.0,0.00493666631,true,0.00488330645,true
7140.0,0.00477171112,true,0.00492539672,true
7200.0,0.00503404002,true,0.00502292978,true
7260.0,0.00504874778,true,0.00514695261,true
7320.0,0.00465037752,true,0.00502939236,true
7380.0,0.00492532252,true,0.00482529813,true
7440.0,0.00555755274,true,0.00479258646,true
7500.0,0.00528499148,true,0.0049607918,true
7560.0,0.00489323405,true,0.00516161514,true
7620.0,0.00458794423,true,0.00522716814,true
7680.0,0.00430031763,true,0.00521795811,true
7740.0,0.00432245361,true,0.00509633229,true
7800.0,0.00436900434,true,0.00502501492,true
7860.0,0.00435403142,true,0.00516682525,true
7920.0,0.00457605135,true,0.00522272809,true
7980.0,0.00485770736,true,0.00506956011,true
8040.0,0.00459055537,true,0.00497178868,true
8100.0,0.00435888705,true,0.0049243708,true
8160.0,0.00464349022,true,0.0048621817,true
8220.0,0.00458183103,true,0.00488543472,true
8280.0,0.00468686119,true,0.0048481786,true
8340.0,0.00482513928,true,0.00484038848,true
8400.0,0.00423697382,true,0.00506761438,true
8460.0,0.00427478772,true,0.0051499532,true
8520.0,0.00507213724,true,0.00502016029,true
8580.0,0.00503045547,true,0.0050887076,true
8640.0,0.00418390579,true,0.00511102462,true
8700.0,0.00371357958,true,0.00494459643,true
8760.0,0.00373453465,true,0.00484731119,true
8820.0,0.00410446848,true,0.00480901288,true
8880.0,0.00409456375,true,0.00476765914,true
8940.0,0.00357643147,true,0.00480868776,true
9000.0,0.00348033566,true,0.00517425338,true
9060.0,0.00363100372,true,0.00549213905,true
9120.0,0.00361381274,true,0.00527038411,true
9180.0,0.00364799759,true,0.00492288655,true
9240.0,0.00411198242,true,0.00480524345,true
