time_s,z_m,variable,value,location,units,record_kind,window_start_s,window_end_s
27000.0,321.875,buoyancy_mean,0.132621959,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,328.125,buoyancy_mean,0.134832963,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,334.375,buoyancy_mean,0.137072042,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,340.625,buoyancy_mean,0.139283434,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,346.875,buoyancy_mean,0.141428992,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,353.125,buoyancy_mean,0.143604025,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,359.375,buoyancy_mean,0.145964235,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,365.625,buoyancy_mean,0.148488015,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,371.875,buoyancy_mean,0.151095107,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,378.125,buoyancy_mean,0.15362604,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,384.375,buoyancy_mean,0.155739754,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,390.625,buoyancy_mean,0.157312155,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
27000.0,396.875,buoyancy_mean,0.158532888,Center,m s^-2,preceding_1800s_average,25200.0,27000.0
28800.0,3.125,buoyancy_mean,-0.00458136993,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,9.375,buoyancy_mean,0.00449334551,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,15.625,buoyancy_mean,0.00564929843,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,21.875,buoyancy_mean,0.00743377721,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,28.125,buoyancy_mean,0.00906234328,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,34.375,buoyancy_mean,0.0106626051,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,40.625,buoyancy_mean,0.0121772364,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,46.875,buoyancy_mean,0.0136771575,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,53.125,buoyancy_mean,0.0151678622,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,59.375,buoyancy_mean,0.0166418944,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,65.625,buoyancy_mean,0.0180524644,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,71.875,buoyancy_mean,0.0194177236,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,78.125,buoyancy_mean,0.0207825471,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,84.375,buoyancy_mean,0.0222221091,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,90.625,buoyancy_mean,0.0238292105,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,96.875,buoyancy_mean,0.0255687013,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,103.125,buoyancy_mean,0.0274525564,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,109.375,buoyancy_mean,0.0294134039,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,115.625,buoyancy_mean,0.0313636586,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,121.875,buoyancy_mean,0.033367727,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,128.125,buoyancy_mean,0.0355212018,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,134.375,buoyancy_mean,0.0378630385,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,140.625,buoyancy_mean,0.0404836237,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,146.875,buoyancy_mean,0.0434101894,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,153.125,buoyancy_mean,0.046708066,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,159.375,buoyancy_mean,0.0503390953,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,165.625,buoyancy_mean,0.0548129044,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,171.875,buoyancy_mean,0.0603406727,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,178.125,buoyancy_mean,0.0658060387,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,184.375,buoyancy_mean,0.0705247,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,190.625,buoyancy_mean,0.0747610256,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,196.875,buoyancy_mean,0.0790500492,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,203.125,buoyancy_mean,0.0836565495,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,209.375,buoyancy_mean,0.0884061828,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,215.625,buoyancy_mean,0.0927044526,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,221.875,buoyancy_mean,0.0960322395,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,228.125,buoyancy_mean,0.0984227136,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,234.375,buoyancy_mean,0.100330859,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,240.625,buoyancy_mean,0.102173194,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,246.875,buoyancy_mean,0.104185827,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,253.125,buoyancy_mean,0.106372461,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,259.375,buoyancy_mean,0.108768597,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,265.625,buoyancy_mean,0.111466698,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,271.875,buoyancy_mean,0.114323243,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,278.125,buoyancy_mean,0.117092736,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,284.375,buoyancy_mean,0.119548872,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,290.625,buoyancy_mean,0.12159761,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,296.875,buoyancy_mean,0.123501882,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,303.125,buoyancy_mean,0.125541002,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
28800.0,309.375,buoyancy_mean,0.127756402,Center,m s^-2,preceding_1800s_average,27000.0,28800.0
