time_s,z_m,variable,value,location,units,window_start_s,window_end_s,source_times_s
28800.0,3.125,buoyancy_mean,-0.0024297051,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,9.375,buoyancy_mean,0.00661825063,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,15.625,buoyancy_mean,0.00771104731,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,21.875,buoyancy_mean,0.00946458778,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,28.125,buoyancy_mean,0.0110412883,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,34.375,buoyancy_mean,0.0125692678,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,40.625,buoyancy_mean,0.0140314354,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,46.875,buoyancy_mean,0.0154759362,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,53.125,buoyancy_mean,0.0169144692,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,59.375,buoyancy_mean,0.0183351422,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,65.625,buoyancy_mean,0.0196939493,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,71.875,buoyancy_mean,0.021029789,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,78.125,buoyancy_mean,0.022366737,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,84.375,buoyancy_mean,0.0237642005,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,90.625,buoyancy_mean,0.0253147623,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,96.875,buoyancy_mean,0.027023172,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,103.125,buoyancy_mean,0.0288515016,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,109.375,buoyancy_mean,0.0307726981,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,115.625,buoyancy_mean,0.0327435136,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,121.875,buoyancy_mean,0.0348165985,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,128.125,buoyancy_mean,0.037122095,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,134.375,buoyancy_mean,0.0396770556,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,140.625,buoyancy_mean,0.0424624309,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,146.875,buoyancy_mean,0.0454174988,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,153.125,buoyancy_mean,0.0486619025,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,159.375,buoyancy_mean,0.0522415694,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,165.625,buoyancy_mean,0.0565066729,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,171.875,buoyancy_mean,0.0614752881,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,178.125,buoyancy_mean,0.0663969144,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,184.375,buoyancy_mean,0.0708472393,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,190.625,buoyancy_mean,0.0750163309,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,196.875,buoyancy_mean,0.0793427899,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,203.125,buoyancy_mean,0.0840497203,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,209.375,buoyancy_mean,0.0888177603,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,215.625,buoyancy_mean,0.0930125266,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,221.875,buoyancy_mean,0.0962152965,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,228.125,buoyancy_mean,0.0985569805,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,234.375,buoyancy_mean,0.100487508,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,240.625,buoyancy_mean,0.102372076,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,246.875,buoyancy_mean,0.104403559,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,253.125,buoyancy_mean,0.106582228,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,259.375,buoyancy_mean,0.108961433,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,265.625,buoyancy_mean,0.111643068,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,271.875,buoyancy_mean,0.114480242,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,278.125,buoyancy_mean,0.117226034,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,284.375,buoyancy_mean,0.119668234,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,290.625,buoyancy_mean,0.121721279,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,296.875,buoyancy_mean,0.123631991,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,303.125,buoyancy_mean,0.125678755,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,309.375,buoyancy_mean,0.127905361,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,315.625,buoyancy_mean,0.130202211,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,321.875,buoyancy_mean,0.132464059,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,328.125,buoyancy_mean,0.134678952,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,334.375,buoyancy_mean,0.136916973,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,340.625,buoyancy_mean,0.13912189,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,346.875,buoyancy_mean,0.141268112,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,353.125,buoyancy_mean,0.143443935,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,359.375,buoyancy_mean,0.145813681,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,365.625,buoyancy_mean,0.148352817,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,371.875,buoyancy_mean,0.150963023,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,378.125,buoyancy_mean,0.153466478,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,384.375,buoyancy_mean,0.155563749,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,390.625,buoyancy_mean,0.157134652,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,396.875,buoyancy_mean,0.158345647,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,0,density_at_w_faces,1.32231128,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,6.25,density_at_w_faces,1.32154572,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,12.5,density_at_w_faces,1.32078004,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,18.75,density_at_w_faces,1.32001483,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,25,density_at_w_faces,1.31924987,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,31.25,density_at_w_faces,1.31848502,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,37.5,density_at_w_faces,1.31772065,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,43.75,density_at_w_faces,1.31695652,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,50,density_at_w_faces,1.31619263,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,56.25,density_at_w_faces,1.31542885,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,62.5,density_at_w_faces,1.31466568,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
28800.0,68.75,density_at_w_faces,1.31390262,Face,kg m^-3,25200.0,28800.0,27000.0;28800.0
