time_s,naive_float32_K_m_s,centered_float32_K_m_s,quantized_input_float64_K_m_s
10.0,2.002716064453125e-5,3.9105743780964985e-5,3.9093116842747805e-5
20.0,1.9073486328125e-6,5.2939594752388075e-5,5.292412774564678e-5
30.0,2.288818359375e-5,0.00010045483941212296,0.00010040451548555483
40.0,-7.62939453125e-6,0.00010884630319196731,0.0001087895366617293
50.0,2.193450927734375e-5,0.00015272092423401773,0.00015271858432934932
60.0,-2.47955322265625e-5,0.00015993106353562325,0.00015988445204336157
70.0,2.384185791015625e-5,0.0002028892922680825,0.00020277866435722408
80.0,-2.288818359375e-5,0.00021251619909889996,0.0002124427367177647
90.0,-4.76837158203125e-6,0.00024360133102163672,0.0002436124931980013
100.0,-1.811981201171875e-5,0.00026206191978417337,0.0002619743800346546
110.0,-1.811981201171875e-5,0.00028476802981458604,0.000284615364051622
120.0,-1.811981201171875e-5,0.0003092217375524342,0.00030917418363519316
130.0,-2.86102294921875e-5,0.00031917751766741276,0.0003191714464195496
140.0,-1.811981201171875e-5,0.00035356651642359793,0.000353415348721999
150.0,-4.100799560546875e-5,0.00035622704308480024,0.0003560612869888565
160.0,-2.86102294921875e-5,0.0003916615096386522,0.0003916358369817841
170.0,-8.106231689453125e-5,0.00038991004112176597,0.0003898403239037719
180.0,-4.291534423828125e-5,0.00042735200258903205,0.0004271413696614567
190.0,-0.00010013580322265625,0.00042613656842149794,0.0004259755073975887
200.0,-8.296966552734375e-5,0.00045553618110716343,0.00045551862890609454
210.0,-0.00012111663818359375,0.0004607146547641605,0.00046058237812107196
220.0,-0.00011348724365234375,0.0004831081605516374,0.0004828750561866571
230.0,-0.00014019012451171875,0.0004950675065629184,0.0004949500757967393
240.0,-0.0001583099365234375,0.0005050718900747597,0.0005050316573887541
250.0,-0.00015354156494140625,0.0005275504663586617,0.0005273626575328136
260.0,-0.00017070770263671875,0.0005288320826366544,0.0005286068996759227
270.0,-0.00017452239990234375,0.0005561221623793244,0.00055603408336537
280.0,-0.000213623046875,0.0005501600098796189,0.0005500636051996914
290.0,-0.000194549560546875,0.0005822827224619687,0.0005820315088520939
300.0,-0.00024509429931640625,0.0005743244546465576,0.0005740985685267739
310.0,-0.0002288818359375,0.0006025447510182858,0.0006024640355607341
320.0,-0.00027942657470703125,0.0005979385459795594,0.0005977589443517006
330.0,-0.0002574920654296875,0.0006213104352355003,0.0006210065129091856
340.0,-0.00029087066650390625,0.000622790539637208,0.0006225897017353736
350.0,-0.00031280517578125,0.000635159551165998,0.0006350651106706846
360.0,-0.00031185150146484375,0.0006468138308264315,0.000646559993624149
370.0,-0.00032711029052734375,0.0006498362054117024,0.0006495128303965923
380.0,-0.00034236907958984375,0.0006687717977911234,0.0006686051547070748
390.0,-0.00038623809814453125,0.0006624218076467514,0.0006622803275281918
400.0,-0.00036716461181640625,0.0006887447088956833,0.0006884143336992321
410.0,-0.00042057037353515625,0.0006776895606890321,0.0006773688091738153
420.0,-0.0004215240478515625,0.0007040910422801971,0.0007039399676807669
430.0,-0.00047969818115234375,0.0006930576055310667,0.0006928290080578776
440.0,-0.0004367828369140625,0.0007174487109296024,0.0007170703232422226
450.0,-0.0005083084106445312,0.0007106181001290679,0.0007103267218827727
460.0,-0.0005121231079101562,0.0007262933650054038,0.0007261395725896043
470.0,-0.0005245208740234375,0.0007282923324964941,0.0007279954486636831
480.0,-0.0005350112915039062,0.0007349877269007266,0.0007345994849348134
490.0,-0.0005636215209960938,0.0007454564911313355,0.0007452123822702155
500.0,-0.0005950927734375,0.0007415942964144051,0.0007414052117931882
510.0,-0.0005884170532226562,0.0007612722110934556,0.0007609118650920158
520.0,-0.0006256103515625,0.0007503125234507024,0.0007499407390197519
530.0,-0.0006313323974609375,0.0007737068808637559,0.0007734853455038509
540.0,-0.000690460205078125,0.000759440241381526,0.0007591791727934209
550.0,-0.000652313232421875,0.000783932046033442,0.0007835286462370798
