time_s,filtered_u,filtered_v,filtered_Δθ
0,8,0,0.00241094827652
600,3.81273722649,0.14063282311,0.0264579262584
1200,4.11028528214,0.185691729188,0.0574926324189
1800,3.54114937782,0.290508657694,0.0907298400998
2400,3.11173534393,0.428870171309,0.115354351699
3000,3.09738683701,0.50522351265,0.148607298732
3600,2.81770253181,0.630005300045,0.166162058711
4200,2.57345795631,0.719527602196,0.181569412351
4800,2.4888510704,0.840486884117,0.197063997388
5400,2.3947467804,0.972530305386,0.210490912199
6000,2.34095215797,1.1016600132,0.222904458642
6600,2.17427897453,1.1635402441,0.226343095303
7200,2.03870201111,1.25772917271,0.23594635725
7800,2.0453915596,1.37261104584,0.253199785948
8400,2.17594814301,1.47058296204,0.271536976099
9000,2.09468269348,1.50790417194,0.276180773973
9600,2.28757548332,1.61030602455,0.305582016706
10200,2.16185569763,1.56296086311,0.29723149538
10800,1.98294961452,1.6138292551,0.288734257221
11400,2.00534629822,1.67805743217,0.301645159721
12000,2.18269872665,1.72805273533,0.314615041018
12600,2.05533957481,1.75288331509,0.315230578184
13200,2.08096122742,1.83962523937,0.324674963951
13800,2.09595108032,1.82114398479,0.325380057096
14400,2.17390966415,1.87077784538,0.338279902935
15000,2.12052845955,1.86230766773,0.338223278522
15600,2.05527496338,1.88712596893,0.334086298943
16200,2.17053556442,1.9185270071,0.351076304913
16800,2.2911772728,1.94213163853,0.362065643072
17400,2.4048576355,1.95547699928,0.381214857101
18000,2.36914563179,1.91001176834,0.371977359056
18600,2.52443003654,1.9696624279,0.395088881254
19200,2.42968249321,1.95065820217,0.388483285904
19800,2.73935818672,1.94608902931,0.423867195845
20400,2.56411004066,1.83902859688,0.404784053564
21000,2.64509296417,1.91648983955,0.424748033285
21600,2.69052314758,1.85262691975,0.421452760696
22200,2.62434244156,1.80046570301,0.419715166092
22800,2.56911349297,1.78365981579,0.414643198252
23400,2.53319382668,1.79796159267,0.410554677248
24000,2.45688700676,1.75351297855,0.404811739922
24600,2.65839362144,1.81063628197,0.442876815796
25200,2.5784239769,1.75031960011,0.420636534691
25800,2.53455781937,1.73935616016,0.419506430626
26400,2.41744351387,1.72006106377,0.405887961388
27000,2.50955724716,1.7592073679,0.434498161077
27600,2.59575653076,1.8034863472,0.441752761602
28200,2.51543807983,1.74799287319,0.432048082352
28800,2.4033408165,1.72172808647,0.420688509941
29400,2.37746691704,1.72197294235,0.417148500681
30000,2.42487692833,1.75171256065,0.430454343557
30600,2.5943274498,1.78676199913,0.442395061255
31200,2.5366537571,1.72162818909,0.439880907536
31800,2.52806663513,1.74879384041,0.450692117214
32400,2.61548781395,1.7271733284,0.464615017176
