time_s,stable_fraction,neutral_fraction,upward_fraction,mean_inverse_length,median_stable_L,mean_zeta,max_zeta,mean_phi_m,mean_phi_h,mean_inverse_phi_m,mean_inverse_phi_h
0,0,1,0,0,NaN,0,0,1,1,1,1
600,1,0,0,0.000123680241,8013.551507,0.001546003012,0.002430676068,1.014841629,1.024117648,0.9853873835,0.9764810502
1200,1,0,0,0.0003500880231,2856.835208,0.004376100288,0.004864904622,1.042010565,1.068267167,0.9596865879,0.9361037985
1800,1,0,0,0.0008035035241,1245.574917,0.01004379405,0.01064586686,1.096420426,1.156683192,0.9120637458,0.8645518781
2400,1,0,0,0.001390110627,710.5708868,0.01737638284,0.0195850298,1.166813284,1.271071578,0.8571083573,0.7868874271
3000,1,0,0,0.002062322126,484.8768685,0.02577902658,0.02793162712,1.247478663,1.402152825,0.8016436757,0.7132387824
3600,1,0,0,0.002679034574,374.3216935,0.03348793217,0.03605868842,1.321484167,1.522411753,0.7567500715,0.6568959177
4200,1,0,0,0.003445157176,290.5707849,0.0430644647,0.04668548063,1.413418881,1.671805668,0.707552167,0.5982319463
4800,1,0,0,0.00415322465,240.2931888,0.05191530813,0.05558917182,1.498386978,1.809878826,0.6674334634,0.552596807
5400,1,0,0,0.004688980534,213.007212,0.05861225668,0.06256208871,1.562677683,1.914351226,0.6399675888,0.5224281848
6000,1,0,0,0.005049403787,197.9415267,0.06311754734,0.06834631786,1.605928476,1.984633764,0.6227414093,0.5039394192
6600,1,0,0,0.005514002058,182.1126876,0.06892502573,0.07614954957,1.66168027,2.07523043,0.6019198806,0.4820358176
7200,1,0,0,0.006157764027,161.858404,0.07697205034,0.08447211003,1.738931704,2.200764012,0.5751370974,0.4544806519
7800,1,0,0,0.006549048054,152.5252206,0.08186310068,0.08732868009,1.785885789,2.277064406,0.5599882308,0.4392153975
8400,1,0,0,0.006381527574,157.6523451,0.07976909467,0.08909933385,1.765783332,2.244397909,0.5664268105,0.4456896843
9000,1,0,0,0.006394105687,157.3306072,0.07992632109,0.08849511505,1.767292703,2.246850642,0.5659164718,0.4451690022
9600,1,0,0,0.00627463119,159.9336331,0.07843288988,0.0879250234,1.752955765,2.223553111,0.5705850526,0.449885598
10200,1,0,0,0.006317634155,157.5913871,0.07897042694,0.08527181926,1.758116122,2.231938689,0.5689023101,0.4481853105
10800,1,0,0,0.006737810741,148.5574751,0.08422263426,0.09128893726,1.808537311,2.313873129,0.5529871977,0.4322440972
11400,1,0,0,0.007050335376,141.8097198,0.0881291922,0.09707135614,1.846040269,2.374815433,0.5417768865,0.4211806258
12000,1,0,0,0.006623171917,150.6919038,0.08278964896,0.09278282523,1.794780652,2.291518554,0.5572590836,0.4365034249
12600,1,0,0,0.006618700104,151.9020135,0.0827337513,0.08993897354,1.794244036,2.290646552,0.5573889099,0.4366227106
13200,1,0,0,0.00676041861,148.2664313,0.08450523263,0.09622651851,1.811250256,2.318281659,0.55221128,0.4314878851
13800,1,0,0,0.006649164031,150.2023099,0.08311455039,0.09140786715,1.797899702,2.296587018,0.5563399848,0.4356004247
14400,1,0,0,0.006546684986,153.1423679,0.08183356233,0.0899182749,1.785602221,2.276603603,0.5600851271,0.4393143489
15000,1,0,0,0.006636897451,149.7156073,0.08296121814,0.09330951143,1.796427716,2.294195033,0.5568963419,0.4361821825
15600,1,0,0,0.006729347202,149.5015054,0.08411684002,0.0935211021,1.807521687,2.312222736,0.5533332623,0.4325970273
16200,1,0,0,0.006619565056,151.4974648,0.0827445632,0.09418401751,1.794347827,2.290815219,0.5575102094,0.4367853611
16800,1,0,0,0.006481411021,153.6959358,0.08101763776,0.09327898733,1.777769344,2.263875179,0.5628412643,0.4421537129
