time_s,boundary_layer_height,boundary_layer_height_valid,friction_velocity,low_level_jet_height,low_level_jet_speed,low_level_jet_turning_from_geostrophic,low_level_jet_valid,obukhov_length_moist,obukhov_length_moist_valid,prescribed_surface_pressure,prescribed_surface_q,prescribed_surface_theta,q_maximum,q_minimum,resolved_tke_vertical_integral,speed_maximum,stress_height_0_05,surface_bulk_richardson_maximum,surface_bulk_richardson_mean,surface_bulk_richardson_minimum,surface_buoyancy_flux,surface_density,surface_drag_u_dynamic_flux,surface_drag_u_kinematic_flux,surface_drag_v_dynamic_flux,surface_drag_v_kinematic_flux,surface_q_dynamic_flux,surface_q_kinematic_flux,surface_sensible_heat_flux,surface_theta_dynamic_flux,surface_theta_kinematic_flux,surface_unstable_fraction,surface_zeta_cap_fraction,surface_zeta_maximum,surface_zeta_mean,surface_zeta_minimum,theta_maximum,theta_minimum,u_absolute_maximum,v_absolute_maximum,w_absolute_maximum,w_variance_maximum
0,12.527620067350178,1,0.28852567076683044,143.75,11.961091041564941,2.8331193923950195,1,67.939987182617188,1,102210,0.0099999997764825821,291.27999877929688,0.0098769227042794228,0.0087999999523162842,5.201286792755127,12.210736274719238,11.901239063982668,0.068497329950332642,0.02048761211335659,-0.0060793375596404076,-0.0009023271850310266,1.2043560743331909,0.1002512201666832,0.083240516483783722,0.0012570004910230637,0.0010437116725370288,4.6657551138196141e-06,3.8740663512726314e-06,-32.588798522949219,-0.032426666468381882,-0.026924485340714455,0.00244140625,0,0.44571143388748169,0.10055072605609894,-0.026441551744937897,299.05908203125,291.03411865234375,11.658321380615234,5.6403865814208984,0.49928557872772217,0.033452149480581284
10,34.967298666334237,1,0.28049510717391968,143.75,11.959246635437012,2.8325264453887939,1,64.538833618164062,1,102209.97222222222,0.009999721999176675,291.27738766140408,0.0099070724099874496,0.0087999971583485603,2.2888424396514893,12.114452362060547,33.218933733017522,0.054667424410581589,0.020931243896484375,0.0036001161206513643,-0.00087223167065531015,1.2043560743331909,0.094746962189674377,0.078670226037502289,0.0012891805963590741,0.0010704314336180687,4.4081698433728889e-06,3.660188212961657e-06,-31.501861572265625,-0.03134513646364212,-0.026026468724012375,0,0,0.3225918710231781,0.10180393606424332,0.015835706144571304,299.05889892578125,291.4591064453125,11.541875839233398,5.6441259384155273,0.41758564114570618,0.014563135802745819
20,58.842897191621461,1,0.27487441897392273,143.75,11.957205772399902,2.8319311141967773,1,63.097736358642578,1,102209.94444444444,0.0099994442218707662,291.27477654351128,0.0099320020526647568,0.0087999962270259857,2.1299102306365967,12.099040985107422,55.900752332040383,0.045181956142187119,0.021209385246038437,0.0035581835545599461,-0.00083955243462696671,1.2043560743331909,0.09098641574382782,0.075547769665718079,0.0013380160089582205,0.0011109804036095738,4.2374231270514429e-06,3.5184139051125385e-06,-30.321603775024414,-0.030170749872922897,-0.025051353499293327,0,0,0.25064510107040405,0.10309427976608276,0.015647988766431808,299.05862426757812,291.4359130859375,11.522048950195312,5.6478939056396484,0.3971405029296875,0.013268992304801941
30,71.975797727346745,1,0.26987117528915405,143.75,11.954689025878906,2.8313298225402832,1,61.89508056640625,1,102209.91666666667,0.0099991664445648592,291.27216542561848,0.0099514620378613472,0.0087999962270259857,2.2798943519592285,12.094782829284668,68.377007840979402,0.04441293329000473,0.021484527736902237,0.0041457274928689003,-0.00081000459613278508,1.2043560743331909,0.087702736258506775,0.072821266949176788,0.0013927421532571316,0.0011564205633476377,4.0955264921649359e-06,3.4005943234660663e-06,-29.254444122314453,-0.029108898714184761,-0.024169677868485451,0,0,0.24518938362598419,0.10447721928358078,0.018285084515810013,299.05831909179688,291.44915771484375,11.518980026245117,5.6517448425292969,0.38775214552879333,0.013727752491831779
40,82.745100250354682,1,0.26520445942878723,143.75,11.95173454284668,2.8307232856750488,1,60.789821624755859,1,102209.88888888889,0.0099988886672589521,291.26955430772568,0.0099623668938875198,0.0087999943643808365,2.5725059509277344,12.100691795349121,78.607845237836941,0.045319072902202606,0.021752998232841492,0.0063307452946901321,-0.00078272400423884392,1.2043560743331909,0.084694012999534607,0.070323064923286438,0.0014522576238960028,0.0012058374704793096,3.967251814174233e-06,3.2940854453045176e-06,-28.269166946411133,-0.028128523379564285,-0.023355653509497643,0,0,0.2516234815120697,0.1058582216501236,0.028228927403688431,299.05804443359375,291.491943359375,11.525088310241699,5.6555843353271484,0.34561765193939209,0.012966946698725224
50,91.60539023390605,1,0.26073357462882996,143.75,11.948405265808105,2.830113410949707,1,59.737056732177734,1,102209.86111111111,0.0099986108899530433,291.26694318983289,0.0099704200401902199,0.0087999943643808365,2.9395873546600342,12.110250473022461,87.025120722210744,0.045192360877990723,0.022027501836419106,0.007136413361877203,-0.00075693574035540223,1.2043560743331909,0.081860728561878204,0.067970536649227142,0.0015040293801575899,0.0012488245265558362,3.8431362554547377e-06,3.1910299185256008e-06,-27.337787628173828,-0.027201779186725616,-0.022586159408092499,0,0,0.25071930885314941,0.10729134082794189,0.031950864940881729,299.05776977539062,291.51510620117188,11.537075042724609,5.6593751907348633,0.32675725221633911,0.011788969859480858
60,126.20912712427284,1,0.25640872120857239,143.75,11.944754600524902,2.8294987678527832,1,58.744617462158203,1,102209.83333333333,0.0099983331126471363,291.26433207194009,0.0099762184545397758,0.0087999925017356873,3.33805251121521,12.126347541809082,119.89867076805919,0.041188329458236694,0.022318627685308456,0.0085884639993309975,-0.00073205947410315275,1.2043560743331909,0.07916589081287384,0.065732963383197784,0.0015421513235196471,0.0012804778525605798,3.719504775290261e-06,3.0883763884048676e-06,-26.439346313476562,-0.026307806372642517,-0.02184387668967247,0,0,0.22287668287754059,0.10884769260883331,0.038735959678888321,299.05746459960938,291.54934692382812,11.553091049194336,5.6630964279174805,0.31928285956382751,0.010911146178841591
70,134.4961262436164,1,0.25220221281051636,143.75,11.940840721130371,2.8288791179656982,1,57.790901184082031,1,102209.80555555556,0.0099980553353412292,291.26172095404729,0.0099911298602819443,0.0087999915704131126,3.7295451164245605,12.150901794433594,127.77131993143557,0.042639881372451782,0.022618968039751053,0.0094278184697031975,-0.00070810725446790457,1.2043560743331909,0.076588034629821777,0.063592515885829926,0.0015746750868856907,0.0013074829475954175,3.5977411698695505e-06,2.9872735467506573e-06,-25.57427978515625,-0.025447044521570206,-0.021129170432686806,0,0,0.23280976712703705,0.11047431826591492,0.042703989893198013,299.05718994140625,291.56051635742188,11.572884559631348,5.6667318344116211,0.33397084474563599,0.010465396568179131
80,137.37855249829059,1,0.24809366464614868,143.75,11.936776161193848,2.8282594680786133,1,56.830657958984375,1,102209.77777777778,0.0099977775580353204,291.25910983615449,0.009990595281124115,0.008799990639090538,4.0878314971923828,12.160763740539551,130.50962487337605,0.040680661797523499,0.022923173382878304,0.0081741493195295334,-0.00068543251836672425,1.2043560743331909,0.074111193418502808,0.061535947024822235,0.0016098644118756056,0.0013367013307288289,3.4801885249180486e-06,2.8896674848510884e-06,-24.755348205566406,-0.024632187560200691,-0.020452579483389854,0,0,0.21944457292556763,0.11211900413036346,0.036789756268262863,299.05691528320312,291.55194091796875,11.57563591003418,5.6703548431396484,0.35041975975036621,0.010262910276651382
90,138.65020118637048,1,0.2441008985042572,143.75,11.932660102844238,2.8276426792144775,1,55.884361267089844,1,102209.75,0.0099974997807294134,291.2564987182617,0.0099855391308665276,0.008799990639090538,4.4211459159851074,12.162320137023926,131.71769112705195,0.042219329625368118,0.023238278925418854,0.0092917997390031815,-0.00066389876883476973,1.2043560743331909,0.071742959320545197,0.059569559991359711,0.00164652313105762,0.0013671398628503084,3.3671044548100326e-06,2.7957714792137267e-06,-23.977626800537109,-0.023858334869146347,-0.019810033962130547,0,0,0.22991345822811127,0.11384516954421997,0.042058657854795456,299.056640625,291.54061889648438,11.568207740783691,5.6740307807922363,0.32265210151672363,0.010727302171289921
