figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
1,7,Mixed-SGS,25MS,q_l,height_m,320.0,2.6582259809505555e-8,kg kg^-1,2-4 h,356,212.8590345,188.2731644493582,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,330.0,2.7419355489270367e-8,kg kg^-1,2-4 h,356,212.8593928,187.38143227946682,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,340.0,2.8256684798917404e-8,kg kg^-1,2-4 h,356,212.8597512,186.48970010957544,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,350.0,2.9093780478682216e-8,kg kg^-1,2-4 h,356,212.8601095,185.59796793968405,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,360.0,2.993110978832925e-8,kg kg^-1,2-4 h,356,212.8604679,184.70623576979267,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,370.0,3.0768439097976293e-8,kg kg^-1,2-4 h,356,212.8608263,183.8145035999013,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,380.0,3.16055347777411e-8,kg kg^-1,2-4 h,356,212.8611846,182.9227714300099,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,390.0,3.244286408738814e-8,kg kg^-1,2-4 h,356,212.861543,182.0310392601185,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,400.0,3.327995976715296e-8,kg kg^-1,2-4 h,356,212.8619013,181.1393070902271,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,410.0,3.41172890768e-8,kg kg^-1,2-4 h,356,212.8622597,180.24757492033572,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,420.0,3.4954384756564806e-8,kg kg^-1,2-4 h,356,212.862618,179.35584275044434,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,430.0,3.5791714066211846e-8,kg kg^-1,2-4 h,356,212.8629764,178.46411058055293,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,440.0,3.6628809745976654e-8,kg kg^-1,2-4 h,356,212.8633347,177.57237841066154,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,450.0,3.7466139055623695e-8,kg kg^-1,2-4 h,356,212.8636931,176.68064624077016,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,460.0,3.830346836520433e-8,kg kg^-1,2-4 h,356,212.8640515,175.78891407087877,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,470.0,3.9140564045035544e-8,kg kg^-1,2-4 h,356,212.8644098,174.8971819009874,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,480.0,3.9977893354616185e-8,kg kg^-1,2-4 h,356,212.8647682,174.005449731096,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,490.0,4.08149890344474e-8,kg kg^-1,2-4 h,356,212.8651265,173.11371756120462,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,500.0,4.165231834409443e-8,kg kg^-1,2-4 h,356,212.8654849,172.2219853913132,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,510.0,4.248941402385925e-8,kg kg^-1,2-4 h,356,212.8658432,171.33025322142183,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,520.0,4.332674333350628e-8,kg kg^-1,2-4 h,356,212.8662016,170.43852105153044,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,530.0,4.4163839013271096e-8,kg kg^-1,2-4 h,356,212.8665599,169.54678888163906,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,540.0,4.500116832291813e-8,kg kg^-1,2-4 h,356,212.8669183,168.65505671174765,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,550.0,9.09283538739448e-8,kg kg^-1,2-4 h,356,212.8865764,167.76332454185626,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,560.0,3.237549642133594e-7,kg kg^-1,2-4 h,356,212.9862326,166.87159237196488,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,570.0,8.871820349892978e-7,kg kg^-1,2-4 h,356,213.2273949,165.9798602020735,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,580.0,1.7132711798758665e-6,kg kg^-1,2-4 h,356,213.5809838,165.0881280321821,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,590.0,2.714121278119163e-6,kg kg^-1,2-4 h,356,214.0093752,164.19639586229073,0.0,1,vector centerline interpolation
1,7,Mixed-SGS,25MS,q_l,height_m,600.0,3.7573181847735028e-6,kg kg^-1,2-4 h,356,214.4558922,163.30466369239934,0.0,1,vector centerline interpolation
