figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.62,0.9548735736380316,1,instantaneous plotted series,430,236.37562525,480.56778245,0.009053182803343355,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.64,0.951258198604682,1,instantaneous plotted series,430,237.25984400000002,480.96738025,0.008242984197648105,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.66,0.946124646313767,1,instantaneous plotted series,430,238.14406275000002,481.53477814999997,0.010883063018324356,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.68,0.937180147023166,1,instantaneous plotted series,430,239.0282815,482.5233899,0.01235536972642717,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.7,0.9280488717796388,1,instantaneous plotted series,430,239.91250025,483.5326455,0.013364165341745487,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.72,0.9185825373674049,1,instantaneous plotted series,430,240.796719,484.5789343,0.011192372450386522,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.74,0.911680453933644,1,instantaneous plotted series,430,241.68093775,485.34180325,0.010222528734608894,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.76,0.9086282526611699,1,instantaneous plotted series,430,242.5651565,485.67915495,0.007948518603686169,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.78,0.9061693918927431,1,instantaneous plotted series,430,243.44937525,485.9509263,0.009126364241594477,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.8,0.9015252732391724,1,instantaneous plotted series,430,244.333594,486.4642284,0.00952331669165978,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.82,0.894142341373914,1,instantaneous plotted series,430,245.21781275,487.28024425,0.011658963324044057,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.84,0.8862796721144409,1,instantaneous plotted series,430,246.1020315,488.1492842,0.012003545475588323,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.86,0.8757406221577168,1,instantaneous plotted series,430,246.98625025,489.31413740000005,0.013251056679693689,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.88,0.8647023450595177,1,instantaneous plotted series,430,247.870469,490.53416885,0.015040836862957527,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.9,0.853279803321792,1,instantaneous plotted series,430,248.75468775000002,491.79667205,0.014886287776896129,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.92,0.8385533081297966,1,instantaneous plotted series,430,249.63890650000002,493.42435245,0.016099908724849222,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.94,0.8261657581313097,1,instantaneous plotted series,430,250.52312525000002,494.79351545,0.014407320327900153,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.96,0.8149331440552846,1,instantaneous plotted series,430,251.407344,496.03502645000003,0.012827897592472838,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,0.98,0.8060510944694377,1,instantaneous plotted series,430,252.29156275,497.0167358,0.011112954093965937,2,filled vector outline midpoint
2,7,Mixed-SGS,25MS,cloud_fraction,time_h,1.0,0.7989185847983467,1,instantaneous plotted series,430,253.1757815,497.80507315,0.009896411244623983,2,filled vector outline midpoint
