case_id,grid,window,min_w3_600_760_m3_s3,max_w3_600_760_m3_s3,min_skewness_600_760,max_skewness_600_760
coarse_none_weno9,coarse,2-4 h,0.028796306775000002,0.048442769825,0.11384448126197745,0.3910115545327977
coarse_none_weno9,coarse,3-4 h,0.0343838781,0.04885637205,0.13918969278763343,0.39078810198876485
coarse_none_weno5,coarse,2-4 h,0.023274121350000003,0.031966897175,0.14416470621792973,0.38095640590730034
coarse_none_weno5,coarse,3-4 h,0.01237408355,0.0217078198,0.08026403812321822,0.29123232280271805
coarse_smagorinsky_weno9,coarse,2-4 h,0.010650677835,0.040403489949999996,0.04666790074646693,0.3283735345297427
coarse_smagorinsky_weno9,coarse,3-4 h,0.0117055848,0.035191418599999996,0.05502604759339967,0.28066119893443564
coarse_smagorinsky_weno5,coarse,2-4 h,0.006412224519749999,0.02096465369,0.039190344097666724,0.2482612063317933
coarse_smagorinsky_weno5,coarse,3-4 h,0.011873384725,0.029130492350000002,0.07215645503036618,0.2630997614797934
coarse_smagorinsky_centered2,coarse,2-4 h,-0.007172909056249999,0.03086190065,-0.05631489962805822,0.12666391039926947
coarse_smagorinsky_centered2,coarse,3-4 h,-0.00476952526,0.02637269255,-0.03678457780683397,0.11461047655803921
canonical_none_weno9,canonical,2-4 h,-0.00718299994775,0.0323348231725,-0.019650889444084028,0.13110089431002708
canonical_none_weno9,canonical,3-4 h,-0.012574944650000001,0.030479678895,-0.03399084700381424,0.12653165303222663
canonical_none_weno5,canonical,2-4 h,0.0010904409000000014,0.0370265185,0.0031929105303361393,0.1899711695092222
canonical_none_weno5,canonical,3-4 h,0.0028766328499999997,0.0336807948,0.009060246514656062,0.1735225289722051
canonical_smagorinsky_weno9,canonical,2-4 h,-0.0019905415899999996,0.02998112235,-0.006233680532772158,0.1220681338421459
canonical_smagorinsky_weno9,canonical,3-4 h,-0.012235033775000001,0.0193356238,-0.040101015798579547,0.08418913510671941
canonical_smagorinsky_weno5,canonical,2-4 h,-0.0213841430475,0.0240315995,-0.0720441468832454,0.12935769004551012
canonical_smagorinsky_weno5,canonical,3-4 h,-0.020084450939999998,0.0164917335,-0.07053831448877645,0.08432607224862584
canonical_smagorinsky_centered2,canonical,2-4 h,-0.002463520054,0.03287150665,-0.023754042457562716,0.15362955562609168
canonical_smagorinsky_centered2,canonical,3-4 h,-0.0028752436049999997,0.028115934699999998,-0.025852754245504615,0.1371285735018221
fine_none_weno9,fine,2-4 h,-0.04967316845,-0.00017037463999999966,-0.1503303312283367,-0.0006608530452843864
fine_none_weno9,fine,3-4 h,-0.06216469965,-0.0086043505,-0.19282544818596364,-0.03404537698520501
fine_none_weno5,fine,2-4 h,-0.043322846299999995,0.0054879707775,-0.13344563495991416,0.023473453624284983
fine_none_weno5,fine,3-4 h,-0.0371817453,0.003985265385000001,-0.11087796047716256,0.01636508752686225
fine_smagorinsky_weno9,fine,2-4 h,-0.041873652925,0.00135868853125,-0.13943798971875163,0.0056613307618348105
fine_smagorinsky_weno9,fine,3-4 h,-0.030428744849999998,0.002460477348,-0.10263503041644631,0.010271497379895128
fine_smagorinsky_weno5,fine,2-4 h,-0.016330701164500003,0.018291280712,-0.05384500731044007,0.07595162570458001
fine_smagorinsky_weno5,fine,3-4 h,-0.015983510019999998,0.011898526224,-0.052075226901904616,0.04921010303096226
fine_smagorinsky_centered2,fine,2-4 h,-0.023600127525,0.011617375305,-0.1205784239808946,0.05581788079452849
fine_smagorinsky_centered2,fine,3-4 h,-0.02715266125,0.00549872266,-0.130852269440774,0.02553823936755706
