figure,page,experiment,case_id,variable,coordinate,coordinate_value,value,units,averaging,svg_path_index,svg_x_pt,svg_y_pt,outline_halfwidth_value,intersection_count,method
3,8,Mixed-SGS,25MS,LWP,time_h,0.62,26.358315818393912,g m^-2,instantaneous plotted series,331,235.13177755499999,185.0499464,1.235272150123511,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.64,25.34394192816187,g m^-2,instantaneous plotted series,331,236.01921896,186.4564491,1.183079702634688,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.66,24.38200814651015,g m^-2,instantaneous plotted series,331,236.906660365,187.7902398,1.1230178492049534,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.68,23.480783461871674,g m^-2,instantaneous plotted series,331,237.79410177,189.03985295,1.0643302840482065,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.7,22.631066911307116,g m^-2,instantaneous plotted series,331,238.681543175,190.21804635,1.0114698583911736,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.72,21.831835324197534,g m^-2,instantaneous plotted series,331,239.56898458,191.3262387,0.9688070620841538,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.74,21.08218633141741,g m^-2,instantaneous plotted series,331,240.456425985,192.36568119999998,0.9393985695714848,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.76,20.38249066734091,g m^-2,instantaneous plotted series,331,241.34386739,193.33585979999998,0.9270023891019563,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.78,19.73063188980387,g m^-2,instantaneous plotted series,331,242.23130879500002,194.2397091,0.9324167480957375,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.8,19.115486453054586,g m^-2,instantaneous plotted series,331,243.1187502,195.0926527,0.9470390656974528,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.82,18.49155157176671,g m^-2,instantaneous plotted series,331,244.006191605,195.9577835,0.9275577153700691,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.84,17.879317378887787,g m^-2,instantaneous plotted series,331,244.89363301,196.80669045,0.896375676633727,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.86,17.277945403873243,g m^-2,instantaneous plotted series,331,245.781074415,197.64053615,0.85433142003301,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.88,16.69936311739829,g m^-2,instantaneous plotted series,331,246.66851582,198.4427823,0.8148277089885905,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.9,16.164849143590885,g m^-2,instantaneous plotted series,331,247.555957225,199.18392455,0.8154270646965213,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.92,15.670091482159595,g m^-2,instantaneous plotted series,331,248.44339863,199.8699418,0.7980291614985331,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.94,15.258862680443954,g m^-2,instantaneous plotted series,331,249.330840035,200.44014025,0.715777371898787,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.96,14.885926690027096,g m^-2,instantaneous plotted series,331,250.21828144,200.95724295,0.7132450119959078,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,0.98,14.49912041638003,g m^-2,instantaneous plotted series,331,251.105722845,201.4935778,0.7471769254435117,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.0,14.093383358734242,g m^-2,instantaneous plotted series,331,251.99316425,202.05616155,0.7923941504635374,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.02,13.6486318901825,g m^-2,instantaneous plotted series,331,252.880605655,202.6728416,0.7945008203277861,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.04,13.189761431564762,g m^-2,instantaneous plotted series,331,253.76804706000001,203.30909865,0.7466114662740102,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.06,12.923285453360938,g m^-2,instantaneous plotted series,331,254.65548846500002,203.67858685,0.648245442599138,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.08,12.901534477363745,g m^-2,instantaneous plotted series,331,255.54292987,203.70874615,0.6372686616468306,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.1,13.052670776327473,g m^-2,instantaneous plotted series,331,256.430371275,203.49918474999998,0.6702970159840415,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.12,13.315076898128847,g m^-2,instantaneous plotted series,331,257.31781268,203.1353397,0.7096669438820522,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.14,13.642149862348052,g m^-2,instantaneous plotted series,331,258.205254085,202.6818294,0.7297861260945361,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.16,13.915197081190708,g m^-2,instantaneous plotted series,331,259.09269549,202.3032297,0.6581685099877661,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.18,13.980729835925166,g m^-2,instantaneous plotted series,331,259.980136895,202.2123638,0.6338227900329158,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.2,13.915055040270571,g m^-2,instantaneous plotted series,331,260.8675783,202.30342665,0.6382072351602343,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.22,13.835124189930198,g m^-2,instantaneous plotted series,331,261.755019705,202.41425655,0.6381348263845008,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.24,13.754753513973462,g m^-2,instantaneous plotted series,331,262.64246111,202.5256963,0.6382668425836953,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.26,13.673552048283536,g m^-2,instantaneous plotted series,331,263.529902515,202.638288,0.6383384580361949,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.28,13.682147633470365,g m^-2,instantaneous plotted series,331,264.41734392,202.62636959999998,0.6379397770478621,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.3,13.785423534678564,g m^-2,instantaneous plotted series,331,265.304785325,202.4831701,0.6514998348310085,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.32,13.94436357405498,g m^-2,instantaneous plotted series,331,266.19222673,202.26278825,0.6475758777844397,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.34,14.026833671786363,g m^-2,instantaneous plotted series,331,267.079668135,202.1484375,0.6338699567055557,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.36,14.047602946334013,g m^-2,instantaneous plotted series,331,267.96710954,202.11963939999998,0.6431513337733386,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.38,14.093179763142714,g m^-2,instantaneous plotted series,331,268.85455094499997,202.05644385,0.646270211971731,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.4,14.12608929929462,g m^-2,instantaneous plotted series,331,269.74199235,202.01081240000002,0.6397342020968009,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.42,14.117996320440604,g m^-2,instantaneous plotted series,331,270.629433755,202.0220339,0.6336640532645947,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.44,14.03837562342697,g m^-2,instantaneous plotted series,331,271.51687516,202.13243375000002,0.6449181006893261,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.46,13.843796042328517,g m^-2,instantaneous plotted series,331,272.404316565,202.4022324,0.6834069349486976,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.48,13.494340436512239,g m^-2,instantaneous plotted series,331,273.29175797,202.88677785,0.7598223175908959,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.5,12.999684861357876,g m^-2,instantaneous plotted series,331,274.179199375,203.57265355,0.8481975168603957,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.52,12.410475288878075,g m^-2,instantaneous plotted series,331,275.06664078,204.3896352,0.9026555152223897,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.54,11.775718432850155,g m^-2,instantaneous plotted series,331,275.954082185,205.26977145,0.9019206454809603,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.56,11.169711430744869,g m^-2,instantaneous plotted series,331,276.84152359,206.11004394999998,0.8442533300712151,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.58,10.650694810073047,g m^-2,instantaneous plotted series,331,277.728964995,206.829698,0.7608044157020653,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.6,10.299537778327647,g m^-2,instantaneous plotted series,331,278.6164064,207.3166026,0.6928004590745249,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.62,10.102252027416425,g m^-2,instantaneous plotted series,331,279.503847805,207.59015355,0.6486656875555451,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.64,10.038108489855926,g m^-2,instantaneous plotted series,331,280.39128920999997,207.6790932,0.6264489947562312,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.66,10.054962569972798,g m^-2,instantaneous plotted series,331,281.278730615,207.6557238,0.6251361890343543,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.68,10.078584021869545,g m^-2,instantaneous plotted series,331,282.16617202,207.62297095,0.6372108932908948,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.7,10.055190974945678,g m^-2,instantaneous plotted series,331,283.053613425,207.6554071,0.6474617474183,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.72,9.946910718618248,g m^-2,instantaneous plotted series,331,283.94105483,207.8055455,0.6519896037513535,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.74,9.764670487197204,g m^-2,instantaneous plotted series,331,284.828496235,208.05823475,0.6549731842771489,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.76,9.596829938028563,g m^-2,instantaneous plotted series,331,285.71593764,208.2909578,0.6493131474999405,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.78,9.454148301196078,g m^-2,instantaneous plotted series,331,286.603379045,208.48879620000002,0.6491937162921579,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.8,9.31109236003487,g m^-2,instantaneous plotted series,331,287.49082045,208.6871536,0.6496794464760219,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.82,9.193305170418407,g m^-2,instantaneous plotted series,331,288.378261855,208.85047405,0.6346549500516905,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.84,9.237799822207265,g m^-2,instantaneous plotted series,331,289.26570326,208.78877899999998,0.6511002883991411,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.86,9.401909227936843,g m^-2,instantaneous plotted series,331,290.153144665,208.56122944999998,0.6675514684904426,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.88,9.6521933706286,g m^-2,instantaneous plotted series,331,291.04058607,208.2141924,0.6921502946190594,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.9,9.950284109336119,g m^-2,instantaneous plotted series,331,291.928027475,207.80086805000002,0.7094258817974898,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.92,10.240988503835728,g m^-2,instantaneous plotted series,331,292.81546888,207.3977854,0.7012950037286582,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.94,10.484567586682122,g m^-2,instantaneous plotted series,331,293.70291028500003,207.0600454,0.6498346493499143,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.96,10.56277775497476,g m^-2,instantaneous plotted series,331,294.59035169,206.95160134999998,0.6405207820894242,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,1.98,10.515012231466741,g m^-2,instantaneous plotted series,331,295.477793095,207.0178317,0.6367124338750381,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.0,10.370929513671861,g m^-2,instantaneous plotted series,331,296.3652345,207.21761279999998,0.6405508923124088,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.02,10.178099390618682,g m^-2,instantaneous plotted series,331,297.252675905,207.48498569999998,0.6759145017874644,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.04,9.927940989660456,g m^-2,instantaneous plotted series,331,298.14011731,207.8318484,0.69621146052602,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.06,9.655586017465144,g m^-2,instantaneous plotted series,331,299.027558715,208.20948825,0.6965249313863262,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.08,9.402948805922765,g m^-2,instantaneous plotted series,331,299.91500012,208.559788,0.6771802129569814,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.1,9.216994775993506,g m^-2,instantaneous plotted series,331,300.802441525,208.8176267,0.6459578229158404,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.12,9.12840051132929,g m^-2,instantaneous plotted series,331,301.68988293,208.94046905,0.6384935527296416,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.14,9.047760249711462,g m^-2,instantaneous plotted series,331,302.577324335,209.0522826,0.6389832855898415,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.16,8.998113973161937,g m^-2,instantaneous plotted series,331,303.46476574,209.12112075,0.6342933388947641,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.18,9.014834306192526,g m^-2,instantaneous plotted series,331,304.352207145,209.0979368,0.6386851402921419,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.2,9.170473363626794,g m^-2,instantaneous plotted series,331,305.23964855,208.882132,0.6845817024267828,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.22,9.518207241651078,g m^-2,instantaneous plotted series,331,306.127089955,208.39997384999998,0.7748345175049971,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.24,10.075170351967147,g m^-2,instantaneous plotted series,331,307.01453136,207.62770425,0.8994730269241902,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.26,10.707113074101333,g m^-2,instantaneous plotted series,331,307.901972765,206.75146999999998,0.9006827366849957,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.28,11.27544032347178,g m^-2,instantaneous plotted series,331,308.78941417,205.9634432,0.7874695243299665,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.3,11.645322452135819,g m^-2,instantaneous plotted series,331,309.676855575,205.4505749,0.6638077400599993,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.32,11.683928553994141,g m^-2,instantaneous plotted series,331,310.56429698,205.39704475,0.6552835179046435,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.34,11.4254771124848,g m^-2,instantaneous plotted series,331,311.451738385,205.75540635,0.7085171660860344,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.36,11.131215384456027,g m^-2,instantaneous plotted series,331,312.33917979,206.1634215,0.6858270035529417,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.38,10.911307228028447,g m^-2,instantaneous plotted series,331,313.226621195,206.46834005,0.6521459966101175,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.4,10.811809925413097,g m^-2,instantaneous plotted series,331,314.1140626,206.60630025,0.6460211084743208,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.42,10.923573988629393,g m^-2,instantaneous plotted series,331,315.001504005,206.4513313,0.6533850593307984,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.44,11.073171384747805,g m^-2,instantaneous plotted series,331,315.88894541,206.24390369999998,0.6457123975534601,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.46,11.039692026148531,g m^-2,instantaneous plotted series,331,316.776386815,206.29032525000002,0.6567621281837088,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.48,10.88392672213864,g m^-2,instantaneous plotted series,331,317.66382822,206.50630510000002,0.663613159505268,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.5,10.676710475448449,g m^-2,instantaneous plotted series,331,318.55126962500003,206.7936254,0.6614597196300169,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.52,10.426948952471214,g m^-2,instantaneous plotted series,331,319.43871103000004,207.13993779999998,0.6700126817227398,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.54,10.13462549341888,g m^-2,instantaneous plotted series,331,320.326152435,207.5452654,0.6965722062394117,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.56,9.794223400599723,g m^-2,instantaneous plotted series,331,321.21359384,208.0172575,0.7369798369956961,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.58,9.405860266153999,g m^-2,instantaneous plotted series,331,322.101035245,208.55575105,0.7791563261564991,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.6,8.970636645776702,g m^-2,instantaneous plotted series,331,322.98847665,209.15922005,0.80185279921536,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.62,8.48862033254469,g m^-2,instantaneous plotted series,331,323.875918055,209.8275705,0.7825308707990959,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.64,8.065911494461325,g m^-2,instantaneous plotted series,331,324.76335946,210.41368685,0.7214231649178044,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.66,7.74779457266116,g m^-2,instantaneous plotted series,331,325.650800865,210.85477895,0.695417524263368,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.68,7.54195265030407,g m^-2,instantaneous plotted series,331,326.53824227,211.14019365000001,0.6466539640590947,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.7,7.482533677180073,g m^-2,instantaneous plotted series,331,327.425683675,211.22258234999998,0.6575913673305632,2,filled vector outline midpoint
3,8,Mixed-SGS,25MS,LWP,time_h,2.72,7.465155066160851,g m^-2,instantaneous plotted series,331,328.31312508,211.24667905,0.6639727873540886,2,filled vector outline midpoint
