case_id,min_skewness_600_760m,max_skewness_600_760m,max_normalization_order_difference_600_760m,excluded_low_variance_levels
coarse_none_weno9,0.11384448126197745,0.3910115545327977,0.0010763311620838323,2
coarse_none_weno5,0.14416470621792973,0.38095640590730034,0.004708774270850813,2
coarse_smagorinsky_weno9,0.04666790074646693,0.3283735345297427,0.003237291588179883,2
coarse_smagorinsky_weno5,0.039190344097666724,0.2482612063317933,0.001897849895237641,2
coarse_smagorinsky_centered2,-0.05631489962805822,0.12666391039926947,0.00826988280995563,2
canonical_none_weno9,-0.019650889444084028,0.13110089431002708,0.002498634598349342,2
canonical_none_weno5,0.0031929105303361393,0.1899711695092222,0.00311178803222845,2
canonical_smagorinsky_weno9,-0.006233680532772158,0.1220681338421459,0.002617254520959157,2
canonical_smagorinsky_weno5,-0.0720441468832454,0.12935769004551012,0.0038122580175130247,2
canonical_smagorinsky_centered2,-0.023754042457562716,0.15362955562609168,0.0005393313285001998,2
fine_none_weno9,-0.1503303312283367,-0.0006608530452843864,0.0016720408395051456,2
fine_none_weno5,-0.13344563495991416,0.023473453624284983,0.0017062067973465794,2
fine_smagorinsky_weno9,-0.13943798971875163,0.0056613307618348105,0.0017179856603095206,2
fine_smagorinsky_weno5,-0.05384500731044007,0.07595162570458001,0.0008144096401655337,2
fine_smagorinsky_centered2,-0.1205784239808946,0.05581788079452849,0.001338707503474229,2
