time_s,z_m,variable,value,location,units,window_start_s,window_end_s,source_times_s
28800.0,6.25,buoyancy_mean,0.00179493384,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,18.75,buoyancy_mean,0.0116883945,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,31.25,buoyancy_mean,0.0132092703,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,43.75,buoyancy_mean,0.01559859,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,56.25,buoyancy_mean,0.0181625383,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,68.75,buoyancy_mean,0.0208530407,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,81.25,buoyancy_mean,0.0237913672,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,93.75,buoyancy_mean,0.0270430669,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,106.25,buoyancy_mean,0.0307106022,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,118.75,buoyancy_mean,0.0349155553,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,131.25,buoyancy_mean,0.0395565685,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,143.75,buoyancy_mean,0.0445537008,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,156.25,buoyancy_mean,0.0495082065,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,168.75,buoyancy_mean,0.0564249828,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,181.25,buoyancy_mean,0.0667422563,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,193.75,buoyancy_mean,0.0780204684,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,206.25,buoyancy_mean,0.0882757306,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
28800.0,218.75,buoyancy_mean,0.0965614356,Center,m s^-2,25200.0,28800.0,27000.0;28800.0
